avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240919 07:45:01,27901,,16.0795,,0.166333,231.727,322.114,70.125,114.516
20240919 07:46:01,27961,,16.1607,,0.2,230.387,317.312,66.2106,101.066
20240919 07:47:01,28021,,15.529,,0.325167,233.367,326.746,72.8065,156.261
20240919 07:48:01,28081,,15.4798,,0.3025,230.529,318.805,78.1918,172.175
20240919 07:49:01,28141,,14.9097,,0.244667,231.149,312.883,76.0829,113.406
20240919 07:50:01,28201,,14.7603,,0.623167,236.492,319.851,73.2779,242.091
20240919 07:51:01,28261,,14.13,,0.169333,236.966,329.261,66.1473,83.9175
20240919 07:52:01,28321,,14.591,,0.402,234.905,327.75,69.7701,126.787
20240919 07:53:01,28381,,14.8893,,0.361,234.16,324.126,68.8013,119.575
20240919 07:54:01,28441,,15.7583,,0.506333,233.16,322.128,69.2708,184.943
20240919 07:55:01,28501,,16.381,,0.339667,235.761,333.78,67.213,92.5179
20240919 07:56:01,28561,,15.9188,,0.299333,232.114,322.51,66.4769,113.151
20240919 07:57:01,28621,,15.3107,,0.476833,234.891,327.193,69.9577,121.118
20240919 07:58:01,28681,,14.4202,,0.248333,238.002,325.83,61.2879,84.2012
20240919 07:59:01,28741,,15.2005,,0.8415,237.805,323.84,75.5332,233.83
20240919 08:00:01,28801,,15.6195,,1.12983,235.259,327.52,74.6973,321.66
20240919 08:01:01,28861,,15.53,,0.4625,236.438,328.632,68.2145,124.079
20240919 08:02:01,28921,,15.9812,,0.3505,230.966,317.674,70.9469,99.662
20240919 08:03:01,28981,,15.9905,,0.518167,229.733,324.193,65.1929,137.393
20240919 08:04:01,29041,,16.6482,,0.376167,229.578,323.714,71.4604,98.8402
20240919 08:05:01,29101,,15.5193,,0.592333,229.509,316.491,76.8686,159.821
20240919 08:06:01,29161,,15.7313,,0.6365,228.083,314.506,71.0292,171.874
20240919 08:07:01,29221,,16.2503,,0.458167,231.503,323.378,64.2755,160.09
20240919 08:08:01,29281,,14.1212,,0.443,234.389,330.052,74.446,117.95
20240919 08:09:01,29341,,15.3115,,0.390833,230.988,318.066,73.1125,125.704
20240919 08:10:01,29401,,15.5993,,0.278833,232.379,318.381,63.7258,107.412
20240919 08:11:01,29461,,14.7498,,0.292667,238.361,325.712,70.3839,126.992
20240919 08:12:01,29521,,14.8585,,0.288833,235.92,321.408,72.5427,118.922
20240919 08:13:01,29581,,14.5605,,0.395667,234.412,327.291,73.2681,112.728
20240919 08:14:01,29641,,15.6488,,1.30883,234.954,321.797,84.4394,272.26
20240919 08:15:01,29701,,16.4307,,0.291667,231.935,321.286,71.5453,100.826
20240919 08:16:01,29761,,15.9683,,0.3445,231.575,319.097,72.0482,110.879
20240919 08:17:01,29821,,15.5723,,0.234,235.721,330.045,69.2969,94.0982
20240919 08:18:01,29881,,15.8293,,0.4235,235.267,321.604,72.0336,121.495
20240919 08:19:01,29941,,16.7302,,0.237833,231.934,314.862,69.8474,102.549
20240919 08:20:01,30001,,18.3502,,0.430167,231.242,323.086,75.0733,139.582
20240919 08:21:01,30061,,16.3702,,0.439333,238.076,322.537,77.2976,143.071
20240919 08:22:01,30121,,17.0783,,0.243333,232.87,314.859,70.8625,151.012
20240919 08:23:01,30181,,17.28,,0.408833,236.474,327.047,78.4719,118.781
20240919 08:24:01,30241,,17.1305,,0.376,230.81,320.042,74.6021,173.121
20240919 08:25:01,30301,,18.3713,,0.228,229.448,316.515,66.6698,110.422
20240919 08:26:01,30361,,17.6598,,0.173833,233.126,319.136,60.9717,98.1565
20240919 08:27:01,30421,,18.0795,,0.226667,233.111,320.787,70.5566,104.266
20240919 08:28:01,30481,,17.3498,,0.315833,235.23,322.076,72.6594,107.908
20240919 08:29:01,30541,,17.009,,0.2815,232.919,324.501,76.0743,108.659
20240919 08:30:01,30601,,16.8502,,0.2255,235.067,319.807,79.3718,115.526
20240919 08:31:01,30661,,16.5902,,0.426333,238.497,333.187,76.3123,155.501
20240919 08:32:01,30721,,16.7298,,0.415,237.594,328.043,82.7675,142.838
20240919 08:33:01,30781,,15.6702,,0.159833,238.7,320.861,61.5759,90.6894
20240919 08:34:01,30841,,17.4198,,0.322167,236.469,324.863,69.6973,215.422
20240919 08:35:01,30901,,18.2895,,0.4085,230.703,319.824,83.4606,160.85
