seconds,tamb,rh,ws,wd
60,-3.259,51.92,3.115,108.3
60,-3.139,51.8,3.046,101.1
60,-3.223,51.43,3.089,103.9
60,-3.008,51.35,3.009,108.5
60,-3.175,51.39,3.035,109.9
60,-3.171,51.33,3.033,111.1
60,-3.08,51.45,2.992,105.7
60,-3.225,51.43,2.95,110.4
60,-3.12,51.52,3.035,110.9
60,-3.259,51.49,3.113,104.4
60,-3.183,51.56,3.01,97.3
60,-3.256,51.56,3.113,97.6
60,-3.183,51.57,3.227,110.2
60,-3.275,51.95,3.322,105.1
60,-3.346,52.19,3.538,108.7
60,-3.348,52.21,3.611,105.8
60,-3.405,52.08,3.561,113.7
60,-3.304,52.23,3.368,116.6
60,-3.448,52.23,3.182,104.1
60,-3.42,52.46,3.112,111.5
60,-3.435,52.74,2.929,110
60,-3.589,52.75,2.94,111.4
60,-3.498,52.79,2.773,116.4
60,-3.577,52.91,2.819,126.2
60,-3.547,53.4,2.664,118.5
60,-3.668,53.86,2.506,120.3
60,-3.646,53.94,2.458,116.9
60,-3.723,54.55,2.167,126.6
60,-3.726,55.16,2.426,113.2
60,-3.818,54.31,2.453,122
60,-3.579,53.78,2.339,120.2
60,-3.642,53.4,2.179,110
60,-3.761,53.5,1.996,114.5
60,-3.724,53.89,1.838,111.3
60,-3.812,53.77,1.838,106.8
60,-3.72,53.46,1.769,105.9
60,-3.815,53.06,1.865,114.7
60,-3.615,52.52,2.306,109.5
60,-3.541,51.96,1.999,95.8
60,-3.62,51.91,1.815,102.5
60,-3.5,51.88,1.717,94.8
60,-3.486,51.46,1.855,98.5
60,-3.367,51.23,1.571,80.3
60,-3.449,51.07,1.361,90
60,-3.257,51.23,1.506,76.15
60,-3.399,51.39,1.428,78.54
60,-3.445,51.23,1.607,80.9
60,-3.308,50.74,1.477,79.03
60,-3.362,50.48,1.22,82.5
60,-3.22,50.22,1.013,71.5
60,-3.302,50.02,0.809,75.35
60,-3.23,50.09,0.763,58.86
60,-3.302,50.13,0.697,34.78
60,-3.225,50.14,0.614,40.26
60,-3.314,50.16,0.722,21.93
60,-3.126,50.53,0.91,9.48
60,-3.242,50.84,0.817,17.3
60,-3.316,51.1,1.331,27.41
60,-3.219,51.14,1.524,36.22
60,-3.254,51.06,1.459,34.41
60,-3.192,51.01,1.622,39.79
60,-3.264,51.36,1.78,48.4
60,-3.074,51.73,1.898,53.52
60,-3.248,51.89,1.821,69.05
60,-3.271,52.37,1.689,71.62
60,-3.261,52.89,1.677,75.92
60,-3.441,53.34,1.949,73.49
60,-3.47,54.24,2.092,83
60,-3.628,55.04,2.086,84.4
60,-3.712,55.64,1.96,90.7
60,-3.684,56,1.924,89.7
60,-3.816,56.89,1.614,95
60,-3.852,57.27,1.717,82
60,-3.999,57.3,1.797,81.8
60,-3.906,57.51,1.927,86.5
60,-3.988,57.56,1.842,92.3
60,-3.918,58.05,1.89,82.9
60,-4.031,58.4,2.032,74.61
60,-3.962,58.93,2.218,73.11
60,-3.942,58.38,2.331,83.5
60,-3.772,58.4,1.759,90.8
60,-3.946,58.48,1.591,101.7
60,-3.995,58.7,1.557,110.7
60,-4.089,58.77,1.591,114.7
60,-3.991,58.59,1.72,120.6
60,-4.045,58.19,1.777,119.9
60,-3.957,58.51,1.743,121.5
60,-4.001,58.41,1.689,123.4
60,-3.819,58.06,1.78,126
60,-3.849,57.78,1.741,120
60,-3.714,57.07,1.676,121.3
60,-3.629,57.1,1.787,116.3
60,-3.676,56.66,1.447,115.8
60,-3.492,56.03,1.431,109.4
60,-3.455,55.36,1.411,110.2
60,-3.262,55.06,1.38,115.1
60,-3.396,55.61,1.78,116.8
60,-3.459,56.1,1.684,115.2
60,-3.534,56.07,1.596,105
60,-3.485,56.49,1.444,102.6
60,-3.636,55.78,1.398,100.6
60,-3.447,55.36,1.346,98.2
60,-3.257,53.69,1.302,87.5
60,-3.103,53.51,1.214,93.7
60,-3.163,54.49,1.646,111.7
60,-3.484,55.61,1.834,121.3
60,-3.428,55.53,1.921,121
60,-3.5,55.68,2.042,116.7
60,-3.489,56.11,2.048,104.6
60,-3.624,56.13,1.86,91.1
60,-3.595,56.04,1.56,86.3
60,-3.629,55.81,1.527,82.1
60,-3.531,54.89,1.573,88.8
60,-3.36,55.08,1.865,108.1
60,-3.545,55.36,1.869,96.8
60,-3.537,56.17,1.784,102.7
60,-3.805,56.94,1.901,112.3
60,-3.869,57.72,1.981,114
60,-3.996,57.8,2.133,119.4
60,-3.899,58.18,2.265,112.8
60,-4.09,58.47,2.246,112
60,-4.044,58.54,2.215,110.8
60,-4.123,58.92,2.228,111.1
60,-4.199,59.24,2.262,115.2
60,-4.263,58.96,2.282,118.2
60,-4.193,58.84,2.445,121.4
60,-4.27,58.9,2.527,124
60,-4.185,58.94,2.383,126.8
60,-4.319,59.38,2.349,125.7
60,-4.274,59.81,2.401,129.1
60,-4.411,59.91,2.357,128.3
60,-4.321,60.08,2.414,119.6
60,-4.458,60.13,2.393,120.4
60,-4.353,60.19,2.383,120.3
60,-4.503,60.33,2.212,124.2
60,-4.457,60.91,2.094,129.4
60,-4.501,61.58,1.869,123.8
60,-4.494,62.37,1.893,123.2
60,-4.725,62.46,2.267,126.6
60,-4.771,61.79,2.43,123.9
60,-4.544,61.01,2.377,122.3
60,-4.504,60.06,2.336,120.2
60,-4.268,59.36,2.114,122
60,-4.052,58.68,2.069,121.2
60,-4.215,58.69,2.354,123.6
60,-4.321,59.51,2.249,128.8
60,-4.359,60.77,2.283,129.7
60,-4.594,61.63,2.314,129.4
60,-4.568,62.36,2.265,127.5
60,-4.731,62.89,2.207,127.4
60,-4.67,63.16,2.314,126.9
60,-4.728,62.73,2.372,128.2
60,-4.546,62.1,2.207,128.6
60,-4.588,61.46,2.28,138.3
