coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
1,0,0,0,0,9.18252,12.5595,0,9.78158,38.4552,0,27.3777,53.567,0,51.2477,0,0,0,0,0,0,75.2801,0,0,0,0,0,0,0,90.2146,0,0,0,0,114.101,95.6257,0,0,0,0,0,115.989,0,125.734,0,0,0,0,0,136.961,0,137.687,0,0,138.801,142.852,0,0,0,0,0,100.354,0,0,189.182,0,0,0,194.126,171.091,176.923,192.384,0,0,0,0,0,0,0,195.285,194.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7059,0,2.94118,0,0,0,0,0,0,0,0,0,0,0,0,2.94118,0,0,2.94118,0,0,2.94118,2.94118,0,0,0,0,0,0,0,0,0,0,2.94118,0,0,0,0,0,0,0,2.94118,0,2.94118,0,0,2.94118,0,0,0,0,0,0,5.88235,0,0,0,5.88235,0,0,5.88235,0,0,0,0,5.88235,0,2.94118,2.94118,0,0,5.88235,0,0,0,0,0,0,0,0,0,0,0,0,2.94118,0,0,0,0,0,2.94118,2.94118,5.88235,5.88235,2.94118,0
301,0,0,0,0,10.4103,38.2059,7.86673,0,0,0,0,0,0,0,0,0,71.453,33.142,0,0,0,0,0,85.5748,78.2564,0,0,95.0437,0,0,105.234,0,0,55.0719,108.424,0,0,0,0,0,0,0,131.701,117.63,0,0,0,168.65,0,0,0,0,153.594,0,0,169.574,0,0,135.981,0,0,0,0,174.505,192.824,0,183.336,0,0,188.236,0,0,199.274,0,194.532,0,0,0,0,191.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22581,3.22581,3.22581,0,0,0,0,0,0,0,0,0,0,3.22581,0,0,3.22581,0,0,0,0,0,0,0,3.22581,0,0,0,0,0,0,0,3.22581,0,0,0,3.22581,0,0,3.22581,0,0,3.22581,0,0,0,3.22581,0,0,3.22581,0,3.22581,0,0,0,3.22581,0,0,0,0,0,0,3.22581,0,3.22581,0,0,0,0,0,0,0,0,3.22581,0,0,0,0,3.22581,0,0,6.45161,0,0,3.22581,0,0,3.22581,0,0,0,3.22581,3.22581,9.67742,3.22581,3.22581,6.45161
601,0,0,0,10.6242,12.2112,16.7582,7.71694,17.6524,9.83016,33.1104,0,19.0034,22.1004,56.1624,1.61997,31.4871,1.01976,56.7019,0,0,0,0,56.1308,65.5304,64.9951,0,0,0,96.2817,0,0,102.223,109.044,0,0,0,123.911,0,0,125.976,0,0,0,0,127.268,0,0,0,136.849,143.257,0,0,0,0,0,159.672,0,157.825,0,0,176.187,0,0,166.946,0,180.187,186.218,0,0,0,0,181.508,0,130.722,0,0,0,0,0,191.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6,6,2,0,0,0,0,4,0,0,0,4,0,0,2,0,0,2,0,0,4,0,0,0,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,4,0,4,2,0,0,2,0,0,4,4,0
901,0,0,0,9.84191,0,0,0,0,2.61764,5.38882,16.0776,51.059,51.8559,0,0,64.0008,60.8033,59.5114,0,66.3498,0,78.4164,0,0,0,0,0,91.3583,100.205,0,0,0,0,0,104.31,0,0,118.081,0,0,0,0,0,0,116.025,0,0,0,135.331,0,0,0,0,153.759,0,0,0,0,172.658,0,181.279,184.911,0,0,0,0,0,193.113,178.999,195.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0303,3.0303,3.0303,6.06061,6.06061,0,0,0,0,0,0,0,0,0,3.0303,0,0,0,0,0,0,0,0,0,6.06061,0,0,3.0303,0,6.06061,0,6.06061,3.0303,0,3.0303,0,0,0,0,0,0,3.0303,0,0,3.0303,3.0303,0,0,0,3.0303,0,0,0,0,0,0,3.0303,3.0303,3.0303,0,0,0,0,0,0,0,3.0303,0,0,0,0,0,0,0,0,3.0303,0,0,0,0,0,0,0,0,0,3.0303,3.0303,0,0,3.0303,3.0303,3.0303,0,0,0,3.0303,3.0303,0,0
1201,0,0,0,3.75569,0,20.6923,13.4023,46.3348,0,15.545,0,33.4353,0,0,0,0,66.4301,3.93068,0,0,60.4044,0,0,0,0,0,74.7374,0,0,78.165,0,0,0,0,0,0,105.263,109.272,0,0,0,0,0,0,0,0,123.991,0,0,152.794,0,0,161.693,0,0,0,0,145.096,175.312,0,165.607,0,186.825,0,184.917,0,0,195.902,190.204,0,0,179.094,187.91,0,0,0,0,157.84,0,192.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333,2.77778,0,0,2.77778,5.55556,0,0,0,0,0,0,0,2.77778,0,0,0,0,2.77778,0,0,0,2.77778,0,0,2.77778,0,0,0,2.77778,0,0,2.77778,0,0,0,2.77778,0,2.77778,0,0,0,0,0,0,0,0,0,0,0,0,2.77778,0,2.77778,0,0,0,0,0,0,2.77778,0,0,0,0,0,0,0,0,0,0,2.77778,0,0,0,2.77778,0,2.77778,2.77778,0,2.77778,2.77778,0,0,0,0,2.77778,2.77778,2.77778,0,2.77778,0,5.55556,5.55556,2.77778,0,2.77778,5.55556,0
1501,0,0,9.53981,9.3503,9.63857,9.92493,14.5204,6.95679,0,8.24792,7.46745,8.05621,0,0,5.33144,54.2851,0,0,63.6158,0,0.586241,0,0,0,0,0,0,0,0,0,0,0,0,111.27,76.0539,0,0,0,0,0,0,117.372,119.544,0,0,0,0,0,138.108,0,152.236,157.579,0,0,0,0,169.299,163.989,169.916,155.687,181.508,176.802,178.864,0,184.273,0,0,199.282,0,190.271,0,0,0,0,0,0,189.658,0,0,184.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34783,0,6.52174,6.52174,17.3913,6.52174,0,0,0,0,2.17391,0,0,0,2.17391,0,0,0,0,0,0,0,0,0,0,0,2.17391,2.17391,0,0,0,2.17391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17391,0,0,0,2.17391,0,2.17391,0,0,2.17391,0,0,0,0,0,0,0,2.17391,2.17391,0,0,2.17391,0,0,0,0,0,2.17391,2.17391,2.17391,0,0,2.17391,0,0,4.34783,0,0,0,4.34783,0,4.34783,0,4.34783,0,2.17391,2.17391,0,0,0,2.17391
1801,0,6.97783,9.42771,8.35178,11.3263,12.6338,32.3539,9.75129,8.66116,12.459,9.28888,23.3127,49.6213,0,0,70.2108,0,0,0,69.6366,0,33.6659,0,0,0,0,0,0,88.1477,91.3589,0,0,107.617,0,111.894,113.968,0,0,0,0,0,132.134,132.746,0,0,0,0,0,0,0,129.951,0,0,0,0,169.101,0,0,167.353,0,169.388,179.164,185.484,189.607,0,188.029,0,0,0,195.645,187.06,0,0,0,191.56,0,0,0,197.221,182.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88679,1.88679,5.66038,9.43396,9.43396,5.66038,0,0,0,0,1.88679,0,0,0,1.88679,3.77358,0,0,0,0,0,1.88679,0,0,0,0,1.88679,0,0,0,0,0,0,1.88679,1.88679,0,0,0,0,0,0,0,0,1.88679,1.88679,0,0,0,0,0,0,3.77358,0,0,1.88679,1.88679,1.88679,0,0,0,0,0,0,1.88679,0,3.77358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88679,3.77358,1.88679,0,1.88679,0,1.88679,0,0,3.77358,3.77358,3.77358,3.77358,0,1.88679,1.88679,1.88679
2101,0,0,0,8.58992,10.8184,10.4315,11.058,9.68713,7.93389,10.1019,19.005,10.5681,0,58.1794,28.8276,9.29952,0,0,7.44145,0,66.3235,0,0,0,73.9533,0,0,94.3836,0,0,0,0,86.7449,0,0,0,0,71.5345,0,0,0,0,133.029,137.84,0,135.008,0,0,145.736,154.941,137.513,0,149.186,0,0,160.394,169.985,0,177.451,0,174.114,0,164.26,188.051,191.403,171.691,191.217,0,0,0,0,0,0,0,0,0,0,0,0,180.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75439,3.50877,7.01754,10.5263,17.5439,7.01754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50877,0,0,0,0,1.75439,0,0,0,1.75439,0,1.75439,1.75439,0,0,0,0,0,0,1.75439,0,0,0,1.75439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75439,0,3.50877,3.50877,3.50877,0,0,1.75439,0,0,0,0,1.75439,0,1.75439,3.50877,1.75439,0,1.75439,1.75439,1.75439,0,1.75439,1.75439,0,1.75439,0,0,0,1.75439,3.50877,0,0,0,0
2401,0,0,0,0,10.1343,10.155,11.5136,8.35252,5.83033,0,31.1778,27.113,0,0,0,4.19808,17.2985,0,0,74.7042,0,67.6613,68.6369,0,0,0,66.0064,0,99.4923,0,0,0,0,104.121,0,0,108.248,0,114.111,0,0,0,0,0,81.6585,136.754,0,0,0,144.924,0,0,154.966,0,0,0,0,0,0,179.574,169.276,0,0,0,0,0,0,181.211,0,157.076,195.995,191.965,0,0,0,0,0,195.919,191.006,187.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09091,4.54545,9.09091,9.09091,2.27273,0,2.27273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27273,0,2.27273,2.27273,0,0,0,0,4.54545,2.27273,0,0,2.27273,0,0,2.27273,0,0,0,0,0,0,0,0,2.27273,0,0,2.27273,0,2.27273,2.27273,0,0,2.27273,0,0,0,0,0,0,0,0,0,2.27273,0,0,0,2.27273,0,0,2.27273,0,2.27273,0,0,0,2.27273,0,0,2.27273,0,0,2.27273,0,2.27273,2.27273,0,0,0,0,6.81818,0,4.54545,2.27273,0
2701,0,0,9.68249,9.29506,10.734,10.5944,12.2402,8.39548,6.95982,9.64772,0,0,3.68189,0,1.36789,0,0,75.7608,0,54.5802,0,0,0,0,0,0,64.6615,0,92.596,0,88.3987,108.205,0,111.992,0,118.405,116.775,0,0,0,0,0,0,114.326,0,0,0,144.701,0,0,156.841,0,0,0,0,0,168.089,168.816,158.735,0,0,0,167.672,189.012,0,0,0,181.408,0,174.424,196.365,0,0,0,0,0,0,0,0,149.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04082,4.08163,2.04082,8.16327,14.2857,12.2449,2.04082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04082,2.04082,2.04082,0,0,0,0,0,0,0,2.04082,2.04082,0,0,0,0,0,0,2.04082,0,2.04082,0,0,0,0,0,0,0,2.04082,2.04082,0,2.04082,2.04082,2.04082,0,0,0,0,0,0,0,0,0,0,0,2.04082,2.04082,2.04082,0,0,0,0,2.04082,0,0,2.04082,0,2.04082,2.04082,0,4.08163,2.04082,0,0,2.04082,0,0,0,2.04082,0,0,0,4.08163,2.04082
3001,0,0,8.32969,9.2446,14.9484,11.9858,10.9699,10.6215,7.79261,12.2608,6.02199,39.6424,0,0.280758,0.211893,0,56.9623,0,0,0,81.4165,0,0,0,86.7562,0,94.9731,0,64.2435,0,100.501,0,110.452,73.7108,105.184,0,115.901,0,0,0,0,122.176,132.999,0,0,0,148.018,0,141.339,0,0,0,157.117,0,0,0,0,172.358,155.061,0,166.237,0,0,171.162,0,184.851,0,0,196.647,0,0,0,0,191.921,0,184.003,0,0,0,179.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50877,0,3.50877,7.01754,14.0351,8.77193,5.26316,0,1.75439,0,1.75439,0,0,0,0,0,0,0,1.75439,1.75439,0,0,0,0,0,0,0,0,1.75439,0,0,0,1.75439,0,0,0,1.75439,0,0,0,1.75439,0,0,1.75439,0,0,0,1.75439,0,0,1.75439,0,1.75439,0,0,1.75439,0,1.75439,0,0,0,1.75439,0,0,0,0,1.75439,0,1.75439,0,0,0,1.75439,1.75439,3.50877,0,0,1.75439,1.75439,0,1.75439,0,0,1.75439,0,0,1.75439,0,0,0,1.75439,0,3.50877,0,0,3.50877,0,0,1.75439,1.75439
3301,0,8.60828,7.45448,8.16675,11.4524,15.8111,13.4258,9.8859,7.55206,6.78087,21.0387,5.31784,0,0,0,0,0,0,0,0,0,26.7719,68.6359,0,0,85.0652,0,0,0,92.8021,0,76.1161,0,0,0,0,0,0,0,0,0,0,137.263,125.235,0,0,144.196,0,143.374,153.652,140.389,145.053,159.855,162.953,0,170.811,0,148.982,0,0,167.106,184.253,0,0,183.292,0,0,0,0,186.344,0,0,0,198.006,168.968,0,0,0,0,184.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857,0,4.28571,14.2857,14.2857,7.14286,4.28571,2.85714,0,0,0,1.42857,1.42857,1.42857,0,0,0,0,0,0,0,0,0,1.42857,0,0,0,1.42857,0,0,0,0,0,0,1.42857,0,0,0,0,0,0,0,1.42857,0,0,0,1.42857,0,1.42857,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857,0,0,1.42857,1.42857,0,1.42857,1.42857,1.42857,0,2.85714,1.42857,2.85714,0,1.42857,0,1.42857,1.42857,1.42857,2.85714,0,1.42857,1.42857,1.42857,0,0,1.42857,0,0,0,1.42857,1.42857,1.42857,0,1.42857,0,1.42857,1.42857
3601,0,9.83802,9.33776,8.03776,7.42938,10.207,18.3859,6.55223,4.11378,26.5308,49.9677,44.3205,40.3318,0,3.80619,0,0,0,0,62.5823,72.879,0,0,84.3707,0,93.2843,0,0,87.8219,0,0,0,0,0,0,0,0,121.322,0,0,127.217,0,57.3763,138.653,141.052,0,116.914,0,0,0,0,151.597,157.145,0,0,136.471,0,164.012,174.036,160.177,182.626,0,187.839,177.836,0,191.292,0,0,0,0,0,187.299,0,0,0,0,0,0,0,193.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66667,5,1.66667,10,10,10,1.66667,1.66667,0,0,0,0,0,0,0,0,0,0,1.66667,0,0,0,1.66667,1.66667,1.66667,0,0,1.66667,3.33333,1.66667,0,1.66667,0,1.66667,0,0,0,0,0,1.66667,1.66667,0,0,3.33333,0,0,1.66667,0,0,0,0,0,0,0,0,0,0,0,1.66667,0,1.66667,0,0,1.66667,0,0,0,0,1.66667,1.66667,1.66667,0,0,0,0,1.66667,0,0,1.66667,0,1.66667,0,1.66667,0,0,0,0,1.66667,1.66667,0,0,3.33333,0,3.33333,0,1.66667,5,0,0,0
