coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
1,0,13.6292,11.8943,18.8553,23.8309,27.9772,33.8314,31.5005,37.3437,37.1749,43.008,42.919,44.5343,46.2909,50.1874,50.8546,53.2566,55.4914,57.888,60.2181,65.2034,68.5564,71.8179,65.4163,74.7782,74.5897,78.6551,79.3041,83.0365,88.8547,94.0187,94.3752,99.3543,104.286,106.319,101.515,103.008,103.889,109.294,115.356,121.107,114.974,130.656,123.337,124.448,127.183,135.226,137.427,138.051,143.709,143.625,151.162,145.059,151.25,150.197,157.567,153.247,158.35,163.221,165.8,173.595,168.366,171.013,177.887,181.038,176.692,173.594,178.272,184.626,183.564,185.37,0,0,190.325,0,0,199.858,0,0,94.1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047081,0.047081,0.235405,0.188324,0.94162,1.78908,1.93032,1.88324,1.17702,1.03578,1.17702,1.17702,1.31827,1.88324,1.22411,1.31827,1.22411,1.64783,1.41243,1.83616,2.40113,2.82486,3.10734,2.49529,2.68362,1.88324,2.54237,2.40113,1.93032,2.11864,2.63653,2.21281,1.41243,1.60075,1.69492,1.78908,1.36535,1.41243,1.31827,1.22411,0.847458,1.17702,0.894539,1.17702,1.17702,0.988701,1.08286,0.847458,1.03578,0.894539,1.08286,0.706215,0.94162,1.08286,0.706215,0.706215,0.706215,0.706215,0.659134,1.08286,0.753296,0.517891,0.894539,0.988701,0.612053,0.847458,0.376648,0.706215,0.564972,0.753296,0.564972,0.329567,0.282486,0.659134,0.235405,0.612053,0.517891,0.564972,0.423729,0.329567,0.47081,0.188324,0.517891,0.47081,0.376648,0.376648,0.47081,0.282486,0.188324,0.235405,0.329567,0.235405,0.188324,0.141243,0.094162,0.235405,0.282486,0.094162,0.188324,0.047081
301,0,9.64219,14.637,18.5304,23.8437,29.4733,32.2286,34.9191,33.3041,41.6975,39.8458,41.1371,46.0126,46.2679,45.7821,52.5946,52.2129,53.2718,57.327,60.0588,62.6737,64.0371,68.2118,67.6557,71.7533,81.9123,83.3343,87.4916,80.3012,91.245,89.3715,98.1376,99.9456,100.174,101.228,101.244,108.329,113.829,115.628,122.221,108.405,122.833,128.297,127.21,128.107,136.77,135.754,139.204,136.476,145.835,140.617,153.767,153.82,152.993,156.729,157.393,152.374,165.083,165.381,170.417,168.665,167.676,171.861,176.938,168.595,178.079,188.736,178.48,184.718,180.267,196.805,194.623,192.797,196.652,193.529,192.696,0,0,188.796,143.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135379,0.315884,0.451264,0.767148,1.62455,1.5343,1.66967,1.03791,0.902527,0.99278,1.17329,0.857401,1.30866,1.75993,1.39892,1.57942,2.21119,2.12094,2.25632,2.07581,2.79783,2.48195,2.30144,1.66967,1.85018,2.03069,2.07581,1.57942,1.5343,2.07581,1.57942,1.66967,1.75993,1.7148,1.44404,1.21841,1.17329,1.48917,1.21841,1.03791,1.08303,1.39892,1.39892,1.08303,1.21841,1.35379,1.5343,1.48917,1.08303,0.902527,1.17329,0.767148,1.30866,0.857401,0.676895,0.541516,0.99278,0.857401,0.722022,0.406137,0.541516,1.03791,0.767148,0.676895,0.451264,0.631769,0.631769,0.541516,0.361011,0.767148,0.451264,0.541516,0.586643,0.631769,0.767148,0.676895,0.586643,0.631769,0.270758,0.586643,0.315884,0.406137,0.49639,0.406137,0.361011,0.270758,0.631769,0.541516,0.225632,0.315884,0.225632,0.270758,0.361011,0.270758,0.135379,0.225632,0.180505,0.270758,0.225632
601,0,10.4885,10.8292,15.2472,22.3647,27.3946,32.2021,32.3225,35.8657,38.3231,34.5018,42.0113,43.0136,45.0774,47.2501,51.26,54.9186,57.6647,59.3585,60.8184,62.973,65.0376,68.0743,68.6265,73.7516,77.1078,81.9208,84.8035,84.3242,91.6937,88.9159,93.1899,97.3999,101.98,100.748,106.639,107.938,116.918,111.65,115.011,122.872,121.23,121.059,127.157,128.917,133.85,134.041,137.447,143.482,141.26,147.007,151.562,149.335,156.919,149.908,152.095,157.266,151.431,169.526,168.306,169.196,162.236,176.952,175.913,188.153,171.29,189.825,182.6,189.157,179.166,185.567,106.373,193.992,195.113,187.25,175.813,0,195.506,190.806,144.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223814,0.134288,0.0895255,0.358102,1.29812,2.32766,2.55148,1.25336,1.34288,1.07431,1.02954,0.984781,1.07431,1.70098,1.25336,1.47717,2.19338,1.70098,1.88004,2.37243,2.59624,2.41719,2.37243,1.61146,2.32766,2.19338,1.96956,1.88004,1.61146,1.52193,1.96956,1.47717,1.65622,1.74575,1.5667,1.25336,1.65622,1.61146,1.29812,1.38765,0.760967,1.25336,1.43241,0.760967,1.11907,1.11907,1.07431,0.850492,1.02954,1.02954,0.895255,1.16383,0.850492,1.02954,1.47717,0.895255,1.02954,0.984781,0.850492,1.11907,0.49239,0.581916,0.760967,0.80573,0.581916,0.581916,0.671441,0.402865,0.447628,0.760967,0.49239,0.80573,0.447628,0.358102,0.537153,0.537153,0.358102,0.49239,0.581916,0.447628,0.358102,0.49239,0.268577,0.268577,0.268577,0.358102,0.537153,0.358102,0.268577,0.134288,0.268577,0.402865,0.268577,0.0895255,0.313339,0.313339,0.0895255,0.179051,0.179051,0.268577
901,0,9.23455,11.0622,16.7076,23.9385,27.4526,30.9994,33.6445,35.0944,38.9279,36.9925,40.0429,39.0016,44.7818,50.0031,52.792,54.5197,56.448,57.6044,62.7785,64.8447,65.2148,67.2177,72.6754,78.79,81.2755,79.4841,83.2439,90.7991,95.9419,90.2145,89.4134,90.736,99.8864,103.78,110.757,109.885,111.312,113.538,118.584,116.377,124.267,126.701,125.253,127.416,124.326,135.644,137.286,143.448,141.968,140.264,151.937,151.046,154.275,143.081,158.805,165.055,161.383,161.257,172.014,171.942,165.143,171.075,181.318,179.873,182.633,189.81,188.132,183.94,166.87,192.72,191.398,189.405,191.58,188.849,183.468,0,167.268,179.728,180.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135685,0.135685,0.361827,0.452284,1.08548,1.62822,2.53279,1.71868,1.17594,0.949796,0.949796,1.58299,1.13071,1.13071,1.22117,1.22117,1.49254,1.67345,2.30665,2.44233,1.76391,2.17096,2.08051,2.26142,2.35188,1.99005,1.94482,1.67345,1.40208,1.35685,1.67345,1.89959,1.94482,1.53777,1.40208,2.08051,1.49254,1.40208,1.35685,1.31162,0.949796,1.31162,1.35685,1.67345,1.44731,0.85934,1.13071,1.17594,1.08548,1.08548,0.85934,1.04025,0.85934,0.587969,0.452284,0.587969,0.995025,0.814111,0.723654,0.949796,0.678426,0.85934,0.949796,0.452284,0.85934,0.995025,0.497512,0.587969,0.678426,0.723654,0.587969,0.497512,0.180914,0.633198,0.633198,0.678426,0.452284,0.723654,0.361827,0.633198,0.316599,0.497512,0.542741,0.452284,0.452284,0.316599,0.452284,0.27137,0.361827,0.452284,0.180914,0.407056,0.361827,0.497512,0.497512,0.180914,0.135685,0.316599,0,0.27137
1201,0,9.09297,11.2488,16.8017,22.5025,29.6366,32.1078,35.2039,35.6014,40.0137,41.4316,40.834,44.2722,43.0929,49.2025,48.1293,55.3281,54.118,57.8841,64.1453,63.4829,65.4129,66.9239,71.5113,77.0843,74.2725,84.3646,81.0048,84.3687,85.2109,94.046,95.9666,101.302,102.839,98.9928,104.422,108.045,108.984,118.463,115.09,118.916,119.568,119.08,124.567,127.814,126.464,131.895,139.638,141.18,141.493,145.015,149.14,145.461,150.72,156.982,156.877,164.694,162.367,156.305,163.838,164.699,172.865,176.17,166.657,177.897,179.966,186.174,193,173.996,194.361,191.836,191.287,178.013,180.527,123.963,167.906,0,0,194.76,124.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921234,0.368494,1.33579,1.47398,2.1649,1.28973,1.33579,0.875173,1.1976,1.05942,1.15154,0.829111,1.42791,1.33579,1.5661,1.47398,1.84247,2.02672,2.44127,2.57946,1.88853,1.61216,2.44127,2.1649,2.11884,2.1649,2.30309,1.52004,1.93459,1.38185,1.84247,1.5661,2.07278,2.11884,1.93459,1.1976,1.38185,1.61216,1.38185,1.38185,1.28973,0.829111,1.05942,1.5661,1.01336,1.05942,1.01336,0.598802,0.829111,0.967296,1.15154,1.10548,0.921234,1.01336,0.829111,0.967296,1.01336,0.829111,0.921234,0.736988,0.783049,0.460617,0.598802,0.460617,0.552741,0.506679,1.01336,0.598802,0.230309,0.598802,0.829111,0.368494,0.506679,0.783049,0.644864,0.460617,0.598802,0.552741,0.644864,0.230309,0.27637,0.644864,0.138185,0.322432,0.230309,0.506679,0.230309,0.414556,0.230309,0.0921234,0.322432,0.322432,0.27637,0.138185,0.230309,0.138185,0.230309,0.230309
1501,0,10.2719,14.3764,17.8222,26.0461,29.9308,26.7584,33.1762,36.1163,34.5772,41.5658,43.041,46.3793,46.3435,46.4085,49.7771,53.8202,53.438,59.3215,62.7397,66.8863,67.3097,68.8332,72.6754,71.4528,74.4958,80.5608,85.8516,85.5396,91.5356,91.7654,89.4428,96.1842,99.8066,103.656,102.131,107.293,110.824,117.21,112.786,120.098,121.029,120.429,124.464,124.564,126.21,136.222,141.777,140.199,139.915,137.696,143.53,153.229,153.682,155.41,158.729,152.544,164.501,163.871,162.105,170.822,176.322,170.714,170.68,177.548,179.826,182.335,183.124,191.33,172.981,0,187.376,182.273,165.26,190.686,194.136,192.75,0,119.706,165.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422833,0,0.169133,0.422833,1.09937,1.90275,1.2685,1.14165,0.803383,0.972516,0.930233,1.09937,1.35307,1.43763,1.43763,1.31078,1.64905,1.35307,2.0296,1.94503,1.7759,1.64905,1.94503,1.90275,2.32558,2.11416,3.08668,2.2833,2.32558,2.2833,1.60677,1.81818,1.22622,1.18393,1.35307,1.31078,1.05708,0.803383,1.14165,1.81818,1.47992,1.5222,1.60677,1.64905,1.47992,1.31078,0.761099,0.930233,0.930233,1.18393,0.803383,1.22622,0.972516,0.930233,1.05708,0.803383,0.972516,1.09937,0.845666,0.761099,0.845666,1.18393,0.761099,0.5074,0.676533,0.761099,0.338266,0.761099,0.465116,0.422833,0.761099,0.338266,1.05708,0.5074,0.761099,0.718816,0.549683,0.676533,0.634249,0.718816,0.549683,0.38055,0.422833,0.465116,0.761099,0.295983,0.295983,0.338266,0.591966,0.338266,0.295983,0.295983,0.169133,0.295983,0.211416,0.169133,0.211416,0.211416,0.338266,0.211416
1801,8.84123,9.11307,12.316,17.4665,24.0283,27.2334,31.7893,33.7509,35.7054,39.0505,40.6348,40.7498,42.1863,51.3783,49.2145,49.4329,53.0896,60.3235,59.6241,61.0928,67.0206,64.166,70.9906,71.6558,73.1934,75.3639,73.7048,83.8846,80.0479,87.7155,94.0591,96.1046,96.9842,100.375,103.923,106.059,110.74,111.335,112.29,120.294,121.815,121.523,123.721,126.709,129.791,133.623,133.264,132.723,136.608,142.556,139.226,143.8,151.387,153.895,148.662,157.282,160.522,160.331,162.554,166.799,165.084,175.352,176.845,171.745,183.545,181.324,184.031,186.665,171.71,185.166,185.012,185.573,188.681,190.502,0,176.46,187.384,175.368,185.084,151.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446429,0.0446429,0.223214,0.223214,1.16071,1.5625,2.00893,1.47321,0.714286,0.982143,0.625,1.02679,1.11607,1.5625,1.33929,1.60714,1.29464,1.51786,1.51786,1.65179,2.27679,2.72321,1.91964,2.23214,2.45536,1.69643,1.91964,2.1875,2.05357,1.91964,1.78571,1.78571,1.83036,1.42857,1.5625,1.65179,1.51786,1.07143,1.20536,1.51786,1.47321,1.25,1.11607,1.29464,1.16071,0.669643,1.16071,1.02679,0.982143,1.02679,0.848214,0.9375,1.07143,0.9375,1.29464,0.982143,0.803571,0.669643,0.714286,0.848214,1.20536,1.07143,0.758929,1.33929,0.848214,0.848214,0.714286,0.491071,0.758929,0.848214,0.491071,1.02679,0.535714,0.446429,0.3125,0.9375,0.267857,0.714286,0.401786,0.401786,0.625,0.401786,0.446429,0.401786,0.357143,0.3125,0.267857,0.3125,0.3125,0.357143,0.535714,0.357143,0.491071,0.446429,0.3125,0.223214,0.267857,0.133929,0.178571,0.133929
2101,7.53918,9.12172,12.8304,15.9477,23.1448,29.0339,31.1433,32.8819,36.3113,37.4825,39.3897,46.696,46.4173,46.2024,51.1037,51.1713,56.2193,54.2104,60.6321,61.5098,69.6455,64.3275,70.442,71.2243,75.9574,72.8824,81.8352,84.2182,89.433,76.4834,89.8693,93.1981,95.652,101.924,99.0222,109.368,105.863,104.521,113.061,119.807,115.847,123.956,114.52,127.256,126.117,133.928,137.855,138.556,138.112,141.097,143.577,150.341,151.594,154.022,156.97,159.543,157.751,160.24,167.649,163.213,173.477,164.672,178.848,168.047,175.376,183.383,186.66,182.753,187.271,189.792,196.911,175.355,191.616,0,140.029,189.155,0,156.782,154.339,141.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233754,0.0935016,0.140252,0.467508,1.12202,1.96353,2.01029,1.21552,0.888266,0.935016,0.748013,1.21552,1.12202,1.02852,1.02852,1.49603,1.72978,1.44928,1.72978,1.96353,1.63628,1.58953,2.01029,1.96353,2.38429,2.52454,2.15054,2.29079,2.43104,2.10379,1.87003,1.12202,2.01029,2.24404,1.58953,1.68303,1.91678,1.16877,1.07527,1.30902,1.77653,1.77653,1.02852,1.44928,1.07527,0.935016,1.30902,1.02852,1.54278,0.981767,1.02852,0.935016,0.981767,0.935016,0.981767,0.794764,0.607761,0.748013,0.794764,0.935016,0.841515,1.02852,0.654511,0.701262,0.701262,0.794764,0.794764,0.981767,0.701262,0.280505,0.467508,0.56101,0.514259,0.654511,0.327256,0.654511,0.374007,0.56101,0.607761,0.420757,0.420757,0.514259,0.327256,0.187003,0.514259,0.280505,0.374007,0.56101,0.327256,0.280505,0.280505,0.140252,0.467508,0.187003,0.280505,0.0467508,0.187003,0.233754,0.140252,0.327256
2401,0,9.0164,12.2796,18.4742,24.8304,25.7041,30.2041,32.0345,35.778,39.2772,41.4217,43.6601,43.9397,44.7411,47.5562,53.3641,50.3728,54.7029,57.5169,59.8229,67.2825,63.7888,69.1885,69.27,71.5035,77.115,79.1318,81.9115,88.7065,91.1042,88.8303,97.7675,101.974,94.2841,94.2544,107.666,112.385,113.59,117.13,109.433,118.887,120.861,125.703,120.796,129.034,133.45,134.032,134.222,141.839,142.106,148.29,143.42,149.942,154.832,153.667,151.02,158.922,160.877,166.224,159.079,162.127,171.287,179.494,176.783,165.929,185.973,182.156,186.455,183.696,189.978,187.486,198.446,193.388,183.535,192.967,180.749,194.916,199.339,184.977,166.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196464,0.0982318,0.294695,0.196464,1.12967,2.35756,1.71906,1.71906,0.933202,0.982318,0.933202,1.2279,0.884086,1.17878,1.03143,1.47348,2.30845,1.47348,2.1611,2.21022,2.40668,2.25933,2.21022,2.11198,2.4558,2.06287,1.91552,2.1611,1.8664,1.62083,1.52259,1.27701,2.11198,1.76817,1.8664,1.32613,1.76817,1.37525,0.785855,1.12967,1.66994,1.12967,1.08055,1.08055,1.08055,1.27701,1.27701,1.27701,1.03143,1.37525,0.884086,0.982318,1.03143,0.785855,1.12967,1.08055,0.540275,0.540275,0.736739,0.687623,0.834971,1.03143,0.834971,0.638507,0.687623,0.540275,0.638507,0.392927,0.491159,0.491159,1.03143,0.785855,0.638507,0.687623,0.294695,0.540275,0.638507,0.687623,0.392927,0.491159,0.343811,0.392927,0.687623,0.392927,0.343811,0.343811,0.196464,0.0982318,0.24558,0.294695,0.196464,0.392927,0.294695,0.24558,0.343811,0.24558,0.442043,0.147348,0.24558,0.147348
2701,0,10.5758,12.1564,18.8338,23.6282,27.9052,32.5349,31.8284,35.3975,41.9421,38.3961,41.7523,43.8461,42.1865,48.4156,50.8225,52.6835,56.9307,57.1879,56.0167,66.2637,69.239,70.4775,74.16,72.447,80.0557,86.0781,84.4966,88.6787,90.0658,96.0751,91.2899,96.8851,98.2062,106.687,103.282,104.481,115.314,115.032,114.345,113.897,120.381,130.833,124.071,129.781,134.232,132.051,128.627,141.575,143.641,144.015,148.803,147.031,153.635,155.711,158.011,157.959,168.156,160.24,165.103,167.557,172.68,174.232,174.85,184.045,176.951,179.543,188.27,188.384,181.81,183.347,173.556,0,0,185.95,0,168.474,168.99,191.325,155.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979912,0.195982,0.146987,0.587947,1.1269,1.66585,1.42087,1.66585,1.56786,1.32288,1.02891,0.685938,1.42087,1.42087,1.02891,1.17589,1.91083,1.81284,1.95982,1.86183,1.61685,2.15581,2.10681,2.64576,1.81284,2.93974,2.10681,2.05781,1.27389,1.71485,1.86183,1.76384,1.27389,1.42087,1.66585,1.37188,1.17589,1.86183,1.76384,1.22489,1.51886,1.22489,1.27389,1.22489,0.930916,1.22489,0.930916,1.0779,0.979912,0.979912,1.0779,0.930916,1.32288,1.0779,0.783929,0.979912,0.930916,0.587947,0.685938,0.636943,0.930916,0.881921,1.17589,0.538952,0.685938,0.489956,0.930916,0.685938,0.930916,0.832925,0.685938,0.783929,0.734934,0.783929,0.44096,0.44096,0.391965,0.391965,0.342969,0.734934,0.538952,0.44096,0.587947,0.342969,0.685938,0.293974,0.391965,0.146987,0.342969,0.293974,0.0489956,0.293974,0.342969,0.146987,0.146987,0.0979912,0.244978,0.146987,0.146987,0.195982
