seconds,tamb,rh,ws,wd
60,5.036,64.56,4.06,133.5
60,5.306,63.67,2.942,156.6
60,5.238,63.55,3.005,130.9
60,5.009,64.84,3.1,135.9
60,5.003,64.52,3.984,129.8
60,5.238,63.72,3.239,140.2
60,5.176,63.65,4.24,137.8
60,5.181,63.49,4.049,140.9
60,5.237,64.23,2.88,141.8
60,5.132,64.74,2.357,138.9
60,4.827,65.6,2.612,143
60,4.782,66.14,3.087,138.3
60,4.72,65.99,3.25,136.5
60,4.798,65.88,2.831,126
60,4.729,65.5,3.074,130.7
60,4.736,65.63,3.223,127.9
60,4.779,66.01,2.982,136.7
60,4.679,66.58,3.337,145
60,4.592,66.35,3.41,132.4
60,4.689,65.72,2.942,119.3
60,4.721,64.75,3.484,112.9
60,5.042,62.52,4.095,119.7
60,5.46,61.48,4.387,125.6
60,5.372,61.33,3.892,115.9
60,5.276,61.76,3.851,114.1
60,5.361,61.76,3.819,112.7
60,5.178,63.57,3.162,118.4
60,4.812,63.95,2.889,123.9
60,4.682,64.6,2.682,148.2
60,4.597,65.57,2.857,142.8
60,4.417,66.73,2.466,148.7
60,4.402,66.7,2.411,159.5
60,4.447,66.39,1.836,134.9
60,4.548,66.54,1.612,137.3
60,4.557,65.31,2.051,146.9
60,4.766,63.51,2.411,160.2
60,5.047,62.65,2.231,158.4
60,5.053,62.02,2.947,134.1
60,5.234,61.75,2.484,136.2
60,5.176,61.56,1.653,152.9
60,5.271,61.84,2.334,151.1
60,5.134,62.55,2.083,161.6
60,4.961,62.87,3.531,142.7
60,5.036,63.22,3.967,144.1
60,5.012,63.3,3.84,155.2
60,5.031,62.49,3.239,145.2
60,5.129,62.32,2.729,153.6
60,5.129,62.83,2.677,144.8
60,4.952,62.48,3.404,131.5
60,4.913,63.96,3.538,139.3
60,4.598,64.98,2.61,130
60,4.461,64.91,2.569,121.3
60,4.497,64.71,4.42,144.7
60,4.584,65.29,4.309,156
60,4.451,66.22,3.551,145.6
60,4.324,66.63,3.1,142.7
60,4.315,67.05,2.623,143.7
60,4.342,65.85,3.254,134.9
60,4.505,65.27,3.412,145.8
60,4.498,65.27,4.4,145
60,4.642,64.47,5.49,144.5
60,4.777,64.36,4.655,147.9
60,4.686,64.91,3.948,144.3
60,4.538,65.17,4.074,144.2
60,4.538,65.15,4.515,142.4
60,4.829,63.54,5.013,136.3
60,4.871,63.25,4.046,143.1
60,4.71,64.11,3.348,151
60,4.491,64.56,4.578,150.1
60,4.456,64.93,4.89,147.9
60,4.686,64.39,5.013,154
60,4.681,64,4.26,161.7
60,4.673,64.2,3.913,143.1
60,4.675,64.33,4.049,142.8
60,4.584,64.61,4.24,142.7
60,4.587,64.19,5.338,154.6
60,4.678,63.94,5.346,145.1
60,4.706,64.06,5.529,137.3
60,4.634,64.3,5.63,140.5
60,4.597,64.29,5.263,145.2
60,4.685,64.39,5.101,144.2
60,4.633,65.02,4.444,141
60,4.446,64.98,4.467,135.9
60,4.411,66.05,4.524,146.4
60,4.324,66.89,4.371,147.4
60,4.359,67.5,4.248,157
60,4.221,67.16,4.144,144.8
60,4.279,66.86,4.292,158.7
60,4.347,66.52,4.697,138.2
60,4.31,66.22,4.134,140.4
60,4.324,65.98,3.997,138
60,4.363,65.46,4.204,140.3
60,4.399,65.73,3.526,145.1
60,4.453,65.6,4.015,148.8
60,4.46,65.04,3.598,139.5
60,4.54,64.74,3.982,144.7
60,4.571,65.1,3.762,144.6
60,4.415,65.17,3.838,134.4
60,4.457,64.94,4.283,141.7
60,4.354,65.56,4.972,129.5
60,4.405,65.31,5.677,134.7
60,4.54,65.06,5.398,140
60,4.456,64.94,4.889,146.6
60,4.355,65.89,3.783,127.3
60,4.223,66.12,3.358,126.4
60,4.219,66.89,2.981,143.6
60,4.045,67.08,3.574,136.1
60,4.127,65.79,3.98,150.2
60,4.276,65.3,3.735,142.3
60,4.319,65.2,4.005,135.5
60,4.309,65.34,4.046,128.4
60,4.315,65.89,3.67,142
60,4.278,66.07,3.923,144.8
60,4.251,66.16,4.278,132.4
60,4.182,66.15,3.696,133.5
60,4.234,66.74,3.389,122
60,3.988,66.83,3.247,122.9
60,3.958,66.89,3.595,131.1
60,3.903,67.11,4.008,135.9
60,4.134,66.91,4.126,132.4
60,4.005,66.95,4.093,140.1
60,4.002,67.09,4.511,137.7
60,4.095,66.53,5.493,128.8
60,4.126,66.44,4.533,144.8
60,4.047,66.85,4.312,138.9
60,4.094,67,4.305,142.1
60,4.079,66.99,4.459,151.7
60,4.096,66.82,5.194,144.8
60,3.99,66.92,5.346,134.8
60,4.092,66.34,5.686,140.5
60,4.274,65.46,5.553,138.4
60,4.262,65.27,5.503,143.6
60,4.14,66.18,4.782,144.3
60,4.134,66.72,6.056,145.5
60,4.133,66.67,6.43,137.7
60,4.049,66.99,5.638,145.6
60,4.046,67,4.995,142.2
60,4.078,67,5.813,139.5
60,3.959,67.28,5.8,135.4
60,3.95,67.18,6.172,140.4
60,3.947,66.9,5.726,136
60,4.092,66.69,5.642,136.8
60,4.069,66.71,5.789,135.9
60,3.95,66.64,5.826,132
60,4.095,65.78,5.663,134.7
60,4.127,65.24,5.442,134.6
60,4.271,65.24,5.869,143.2
60,4.266,65.47,5.64,144.8
60,4.036,66.14,5.513,137
60,3.993,66.31,6.024,125
60,4.005,66.4,5.81,141.2
60,3.992,66.56,5.766,135.8
60,3.855,67.32,5.326,156.8
60,3.823,67.47,5.369,138
60,3.809,67.73,4.946,132.5
60,3.815,67.87,5.029,138.1
60,3.701,68.59,4.815,139.6
60,3.74,68.74,4.823,140.5
60,3.733,68.97,4.974,137.7
60,3.71,68.74,5.06,143.9
60,3.685,68.64,4.753,139.7
60,3.624,68.91,4.81,149.3
60,3.639,68.87,4.972,134.6
60,3.626,68.58,5.054,134.2
60,3.703,68.37,5.049,138
60,3.671,68.41,5.103,134.3
60,3.776,68.74,4.539,143.3
60,3.703,68.33,5.055,139.7
60,3.636,68.38,3.984,134.4
60,3.489,69.22,3.804,132.7
60,3.364,69.56,4.131,142.7
60,3.351,69.49,4.087,134.2
60,3.411,69.91,3.655,131.3
60,3.385,69.69,4.292,139.8
60,3.364,69.71,4.204,134.4
60,3.312,69.27,4.614,143.2
60,3.752,67.54,4.903,149.1
60,3.864,66.44,4.631,127
60,4.08,65.55,5.313,139.6
60,4.123,65.74,4.666,129.4
60,3.859,66.36,4.588,126.1
60,3.628,67.45,4.482,131.9
60,3.594,68.06,4.198,129.2
60,3.578,68,4.297,129.8
60,3.777,67.21,4.363,134
60,3.942,65.72,4.497,131
60,4.096,65.71,3.19,137.4
60,3.847,66.64,3.105,135.8
60,3.616,67.68,3.12,120.7
60,3.502,67.73,3.517,121.6
60,3.532,67.64,3.711,123.5
60,3.501,67.9,3.881,119.6
60,3.626,67.54,4.216,122.8
60,3.817,66.67,4.568,120.4
60,4,66.37,4.051,134.2
60,3.888,66.06,4.196,125
60,3.867,65.71,3.985,117.4
60,3.95,65.94,3.696,127.5
60,3.942,65.96,3.701,123.8
60,3.817,66.13,3.574,120.8
60,3.76,66.34,3.838,125.6
60,3.882,66,3.913,122.3
60,3.811,65.84,3.623,129.4
60,3.763,65.92,4.366,125
60,3.958,65.2,4.034,122.1
60,4.038,64.42,4.372,119.4
60,4.188,64.15,4.34,116.9
60,4.143,64.09,4.418,119.4
60,4.209,64.3,4.363,124.5
60,4.127,64.36,3.842,130.7
60,4.094,64.55,3.918,127.6
60,4.124,64.65,3.474,136.4
60,3.942,65.24,3.569,130.4
60,4.045,65.01,3.843,131.6
60,4.081,64.75,3.489,130.8
60,4.124,65.1,3.446,140.6
60,3.993,64.82,3.597,137.5
60,4.091,64.9,3.224,121.9
60,4.134,64.98,3.19,135.2
60,4.068,64.54,3.515,122.3
60,4.141,65.07,3.5,123.4
60,3.957,64.93,3.655,127.4
60,3.898,65.33,2.844,147.6
60,3.672,66.7,2.445,139.7
60,3.456,68.08,2.051,140.3
60,3.31,68.51,1.829,154.6
60,3.268,68.06,1.873,133
60,3.406,67.6,1.679,149.3
60,3.443,67.25,1.73,133.2
60,3.554,67.35,1.751,150.3
