seconds,tamb,rh,ws,wd
60,3.31,82.2,14.06,154.6
60,3.461,83,13.18,156.5
60,3.641,82.1,16.11,152.7
60,3.539,81.2,16.39,145.3
60,3.597,81.3,15.11,155.8
60,3.561,80.7,15.13,135.2
60,3.528,81.2,13.67,136
60,3.46,81.3,14.61,158.1
60,3.411,82.2,14.51,156.6
60,3.219,82.7,16.51,157.9
60,3.132,84.1,14.71,140.6
60,3.038,84.4,16.26,148.2
60,3.14,83.3,14.03,143.4
60,3.22,83.3,13.05,140.5
60,3.138,83.4,13.05,150.8
60,3.188,82.3,16.53,144.9
60,3.212,82.3,15.38,142
60,3.091,82.8,15.63,151.8
60,3.27,81.2,17.37,147.3
60,3.374,80.7,16.02,148.4
60,3.219,80.6,14.59,143.1
60,3.235,80,13.92,135.8
60,3.343,80.3,12.41,151.6
60,3.456,79.67,14.81,138.7
60,3.548,77.82,18.58,143.7
60,3.535,77.63,14.68,152.1
60,3.421,78.61,13.72,152.4
60,3.272,80.1,14.31,142.3
60,3.392,79.48,15.57,150.2
60,3.372,79,17.09,143.9
60,3.542,77.28,17.74,143
60,3.587,77.49,16.14,150
60,3.373,78.09,12.83,174.3
60,3.384,78.54,11.53,156
60,3.313,79.2,12.86,126.2
60,3.723,77.75,17.76,140.3
60,3.654,78.07,15.9,140.3
60,3.48,78.52,16.66,146.7
60,3.46,77.9,15.4,150.4
60,3.275,79.74,11.78,146.4
60,3.312,80.5,15.52,155.6
60,3.644,80.1,17.42,154.1
60,3.779,78.42,13.88,159.3
60,3.538,78.81,13.46,160.4
60,3.642,80.5,14.86,141.2
60,3.508,79.39,13.67,162.7
60,3.59,79.35,12.58,155
60,3.633,78.56,13.63,132.9
60,3.645,78.09,15.82,141.1
60,3.643,77.43,16.46,142.7
60,3.402,78.55,14.23,144
60,3.367,79.07,15.2,143.7
60,3.467,78.58,12.72,121.7
60,3.45,79.69,12.83,152.4
60,3.58,79.01,15.64,136.5
60,3.6,78.57,16.03,144.6
60,3.775,78.02,18.04,128.6
60,3.63,77.45,17.87,137.9
60,3.821,77.54,15.8,142.3
60,3.874,77.11,14.39,145.3
60,4.133,76.5,14.08,147.4
60,4.045,74.49,17.12,141
60,3.952,75.29,17.9,140.9
60,4.089,76.27,15.75,145
60,4.256,74.71,17.28,138.4
60,3.918,74.72,18.94,137.4
60,3.685,76.3,15.71,147.5
60,3.356,78.03,15.14,143.2
60,3.509,77.29,16.11,143.7
60,3.416,78.12,15.22,125.8
60,3.268,79.25,11.85,160.2
60,3.177,79.89,14.55,146.2
60,3.19,79.03,15.3,141.3
60,3.223,79.06,16.58,146.9
60,3.3,79.13,15.7,146.5
60,3.374,79.27,14.7,153.8
60,3.179,79.19,12.35,149.1
60,3.36,80.2,13.91,154.1
60,3.464,78.06,18.82,143.9
60,3.408,77.24,17.56,150.8
60,3.399,77.81,16.12,141.6
60,3.278,77.93,16.37,147.7
60,3.23,78.57,14.26,146.5
60,3.23,77.63,14.84,140.3
60,3.275,78.35,13.28,142.2
60,3.326,78.12,18.38,144.6
60,3.528,77.27,17.66,150.9
60,3.544,78.02,14.57,148.5
60,3.327,79.13,14.83,158.3
60,3.356,78.77,15.2,150
60,3.388,78.57,13.39,142.9
60,3.509,78.17,17.61,143.2
60,3.43,77.89,17.72,147.3
60,3.355,78.52,15.39,170.9
60,3.231,78.75,12.95,153.8
60,3.142,80.2,10.65,140.4
60,3.037,80.3,10.04,155.4
60,3.46,78.42,14.42,148.6
60,3.493,77.49,16.11,146
60,3.402,77.82,15.72,133.7
60,3.409,78.36,15.32,147.1
60,3.374,78.18,12.23,149.4
60,3.467,77.53,14.84,137.3
60,3.55,77.52,18.62,140.5
60,3.632,76.94,19.13,145.1
60,3.552,77.21,14.29,159.2
60,3.628,77.61,15.18,143.2
60,3.635,77.45,14.46,139
60,3.71,78.34,12.72,165
60,3.728,77.66,14.22,162.1
60,3.585,77.13,17.45,148.6
60,3.59,77.32,17.62,140.1
60,3.418,77.86,16.08,152.5
60,3.363,78.54,15.3,152
60,3.361,78.94,13.47,143.4
60,3.464,79.31,12.53,144.2
60,3.553,79.69,15.58,131.6
60,3.403,79.75,13.78,147
60,3.445,80.4,15.02,134.5
60,3.505,79.48,14.66,166.8
60,3.403,78.97,13.13,147.9
60,3.543,79.27,13.38,145.7
60,3.556,79.75,13.6,139.2
60,3.589,77.63,15.28,148.5
60,3.661,76.59,17.07,150
60,3.551,75.5,18.72,147.8
60,3.594,76.88,12.95,156.9
60,3.452,79.28,12.53,134.3
60,3.224,79.2,13.78,139.9
60,3.282,79.03,14.49,147.7
60,3.635,78.53,14.58,142.7
60,3.633,78.42,13.75,151.4
60,3.478,78.28,15.66,147.4
60,3.503,78.65,15.2,141
60,3.265,78.49,15.05,143.6
60,3.357,78.99,13.83,135.4
60,3.319,78.51,14.51,139.8
60,3.358,78.42,13.67,148.8
60,3.403,78.69,15.13,151.2
60,3.411,78.25,13.32,131.7
60,3.436,78.11,12.71,147.6
60,3.323,77.83,16.01,144.7
60,3.501,77.2,14.33,154.1
60,3.448,77.12,15.03,142.2
60,3.454,76.77,15.39,145.2
60,3.464,77.47,14.65,157.4
60,3.359,78.06,12.97,146.4
60,3.345,78.31,15.19,144.4
60,3.235,78.68,15.7,155.4
60,3.273,78.97,14.72,153.4
60,3.266,78.39,14.17,148.9
60,3.235,77.89,14.37,145.9
60,3.319,77.79,17.16,158.2
60,3.493,77.19,15.52,144.2
60,3.322,78.03,12.68,161.1
60,3.324,78.35,14.79,145.6
60,3.493,76.79,14.72,154.4
60,3.63,75.95,15.5,152.9
60,3.586,75.57,16.49,142.5
60,3.413,76.72,13.69,146.4
60,3.534,76.44,14.57,147.6
60,3.498,76.09,14.64,159.2
60,3.479,76.54,16,149.6
60,3.58,75.22,15.44,157.8
60,3.492,76.37,13.68,154.3
60,3.443,76.87,14.48,143.2
60,3.599,75.46,16.4,147.9
60,3.504,75.75,14.77,150.9
60,3.493,76.02,16.37,141.1
60,3.454,76.35,15.53,137.8
60,3.555,76.83,15.18,134.2
60,3.537,76.93,14.29,143.2
60,3.402,76.75,15.19,147.8
60,3.439,77.63,13.98,164.3
60,3.465,77.44,14.9,153.8
60,3.368,77.18,14.21,135.5
60,3.728,75.84,15.54,139.8
60,3.908,73.98,15.54,154.3
60,4.06,72.9,14.85,146.2
60,3.732,74.51,12.79,151.5
60,3.493,76.34,12.33,147.1
60,3.407,77.16,13.79,168.9
60,3.587,76.16,14.02,161.7
60,3.682,75.52,15.04,160.1
60,3.571,76.27,14.25,140.5
60,3.406,77.03,13.32,134
60,3.553,77.12,15.01,145.7
60,3.552,76.43,12.64,142.5
60,3.54,75.56,14.48,159.7
60,3.586,75.5,14.63,147.4
60,3.7,75.96,13.89,145.6
60,3.735,76.53,12.05,163.6
60,3.633,75.85,13.07,156.3
60,3.722,75.37,15.58,154.2
60,3.868,74.79,15.32,174.5
60,3.874,74.35,14.33,139.2
60,3.958,75.07,13.35,144.5
60,3.767,75.7,13.86,146.6
60,3.824,75.15,15.52,116.5
60,3.646,75.75,15.04,143.2
60,3.723,76.07,14.95,146.4
60,3.676,76.83,14.09,148.3
60,3.547,77,14.1,139.8
60,3.644,76.63,13.25,152
60,3.595,75.85,13.54,145.1
60,3.816,75.53,15.08,149.6
60,3.941,75.42,13.43,142.5
60,3.835,75.04,15.24,151.8
60,3.823,75.27,13.94,150.3
60,3.678,75.92,14.18,153.9
60,3.631,76.67,13.21,139
60,3.82,75.87,14.34,145.7
60,3.782,75.68,13.09,153.2
60,3.816,76.28,12.41,148.1
60,3.721,76.64,13.86,151.3
60,3.728,76.8,15.43,146.3
60,3.599,77.25,14.09,150.3
60,3.595,76.85,12.8,165.3
60,3.584,77.71,12.17,151.6
60,3.634,77.65,14.43,148.9
60,3.6,78.35,14.57,156.6
60,3.55,77.83,12.81,144.8
60,3.621,77.9,14.86,141.2
60,3.636,78.07,12.42,147.8
60,3.725,78.17,13.9,141.9
60,3.597,78.79,14.9,148.9
60,3.589,78.4,15.77,153.8
60,3.634,78.94,13,148.5
60,3.555,78.61,12.9,151.9
60,3.543,79.16,12.01,151.6
60,3.58,79.47,14.69,163.8
60,3.507,79.27,13.13,155.9
60,3.643,79.06,14.97,149.8
60,3.742,77.99,15.04,147.5
60,3.803,77.96,14.7,144.7
60,3.599,78.84,13.46,142.2
60,3.552,79.74,11.97,141
