avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240813 00:01:00,60,,2.91,,0.249833,260.136,378.01,96.1362,175.858
20240813 00:02:00,120,,2.78017,,0.3195,280.576,401.469,89.0067,142.515
20240813 00:03:01,181,,3.08983,,0.0593333,278.615,378.044,65.1189,100.467
20240813 00:04:00,240,,3.66016,,0.0683333,275.142,391.497,69.1268,86.6277
20240813 00:05:00,300,,3.76983,,0.1785,286.912,405.24,79.322,109.324
20240813 00:06:01,361,,,,0.0898333,277.439,395.64,86.0076,103.247
20240813 00:07:00,420,,3.5105,,0.306167,282.509,393.331,94.7627,168.895
20240813 00:08:01,481,,4.19983,,0.151333,279.209,400.379,75.1252,108.619
20240813 00:09:01,541,,4.17917,,0.277667,277.885,399.031,82.7703,121.425
20240813 00:10:01,601,,5.13017,,0.167,275.409,394.009,92.5277,132.795
20240813 00:11:01,661,,4.7595,,0.286667,271.295,393.526,84.5271,216.145
20240813 00:12:01,721,,3.4395,,0.264333,278.291,399.968,86.9645,153.359
20240813 00:13:01,781,,3.74,,0.385333,262.986,379.599,90.5971,224.44
20240813 00:14:01,841,,3.8795,,0.405167,264.396,379.814,86.026,156.576
20240813 00:15:01,901,,3.95983,,0.408333,277.399,390.648,101.799,175.336
20240813 00:16:01,961,,3.84016,,0.155333,269.586,390.642,79.0863,101.228
20240813 00:17:01,1021,,3.37,,0.231667,257.008,365.252,84.0564,167.895
20240813 00:18:01,1081,,3.22983,,0.269833,267.226,381.752,95.7175,169.303
20240813 00:19:01,1141,,3.48017,,0.1605,261.615,381.698,83.1605,116.525
20240813 00:20:01,1201,,4.07983,,0.258333,266.207,385.758,96.6514,197.71
20240813 00:21:01,1261,,3.86966,,0.202833,273.533,390.175,79.0449,116.17
20240813 00:22:01,1321,,4.13017,,0.180167,266.429,372.813,83.0691,115.238
20240813 00:23:01,1381,,4.89933,,0.2825,265.281,376.762,84.0216,128.528
20240813 00:24:01,1441,,5.59083,,0.401,265.404,382.79,87.0287,187.502
20240813 00:25:01,1501,,5.7295,,0.3455,262.357,382.121,87.7844,156.136
20240813 00:26:01,1561,,5.72017,,0.374167,255.365,378.994,94.6767,137.671
20240813 00:27:01,1621,,5.61067,,0.404333,268.631,386.698,92.8342,140.048
20240813 00:28:01,1681,,6.111,,0.358333,260.49,384.041,89.7211,209.424
20240813 00:29:01,1741,,5.53033,,0.365167,268.191,382.662,85.3065,119.065
20240813 00:30:01,1801,,5.61933,,0.413667,272.266,389.561,79.0034,246.062
20240813 00:31:01,1861,,4.9395,,0.985833,278.886,394.391,102.612,335.165
20240813 00:32:01,1921,,,,0.263,269.66,397.09,79.2598,116.476
20240813 00:33:01,1981,,4.76983,,0.158,262.455,383.743,82.8072,119.596
20240813 00:34:00,2040,,,,0.288333,258.005,370.151,84.1009,131.847
20240813 00:35:01,2101,,4.23983,,0.416167,273.711,386.204,76.7916,205.122
20240813 00:36:01,2161,,4.45966,,0.224833,272.962,395.636,78.7844,130.76
20240813 00:37:00,2220,,5.899,,2.07067,265.633,381.235,100.953,506.868
20240813 00:38:00,2280,,,,0.150833,271.706,393.12,69.1864,102.288
20240813 00:39:01,2341,,4.49967,,0.324333,268.051,383.492,93.2537,164.798
20240813 00:40:01,2401,,4.77983,,0.625333,272.81,391.858,91.268,214.569
20240813 00:41:01,2461,,6.38984,,0.677167,267.373,387.668,98.3549,219.782
20240813 00:42:01,2521,,6.81983,,0.765167,262.075,394.371,93.2971,245.868
20240813 00:43:01,2581,,6.64034,,0.556667,262.66,381.467,89.6669,209.865
20240813 00:44:00,2640,,7.04067,,1.88767,256.521,378.142,104.088,451.306
20240813 00:45:01,2701,,6.84,,0.689667,266.168,384.776,95.9762,217.89
20240813 00:46:01,2761,,6.9595,,0.614667,270.656,394.984,101.017,185.763
20240813 00:47:01,2821,,8.13983,,0.623,275.652,388.893,88.5032,225.115
20240813 00:48:00,2880,,7.2015,,1.75283,267.437,386.871,106.528,446.827
20240813 00:49:00,2940,,6.53983,,0.649833,269.052,392.391,88.3141,206.053
20240813 00:50:01,3001,,6.419,,0.313333,271.628,387.374,86.2696,127.887
20240813 00:51:01,3061,,6.73,,0.405833,267.322,388.141,87.5504,128.416
20240813 00:52:00,3120,,6.81,,0.228,271.76,399.005,71.4643,141.228
20240813 00:53:01,3181,,6.669,,0.839,272.882,394.37,102.147,235.983
20240813 00:54:01,3241,,5.83917,,1.0005,265.958,381.245,90.2367,338.23
20240813 00:55:01,3301,,5.2395,,0.769833,267.383,380.042,106.32,207.075
20240813 00:56:01,3361,,5.0805,,0.426667,272.336,390.735,80.1109,197.305
20240813 00:57:01,3421,,,,0.404333,272.855,388.131,86.8742,148.159
20240813 00:58:01,3481,,4.15983,,0.885667,263.891,385.193,117.374,245.274
20240813 00:59:01,3541,,5.1095,,0.465,274.763,398.024,90.6045,214.451
20240813 01:00:01,3601,,5.67933,,1.68117,278.932,393.559,109.448,550.455
20240813 01:01:01,3661,,5.69933,,0.176667,267.682,391.259,74.4321,126.869
20240813 01:02:01,3721,,5.33017,,0.888833,266.284,384.109,105.089,278.751
20240813 01:03:01,3781,,5.18983,,0.347167,276.447,388.552,94.17,168.744
20240813 01:04:01,3841,,4.9085,,0.333,263.837,378.483,98.5662,147.678
20240813 01:05:01,3901,,6.21883,,0.928667,286.492,397.792,91.2772,358.515
20240813 01:06:01,3961,,6.1395,,0.3395,285.504,405.704,85.9736,208.265
20240813 01:07:01,4021,,5.94017,,0.545333,275.295,395.858,90.65,248.354
20240813 01:08:01,4081,,5.23033,,0.338667,286.111,405.11,88.6032,135.038
20240813 01:09:01,4141,,4.72,,0.186,284.091,398.983,77.4826,118.284
20240813 01:10:00,4200,,5.259,,3.00617,276.087,390.847,122.1,519.532
20240813 01:11:00,4260,,5.34883,,0.2155,283.519,397.255,77.2654,104.393
20240813 01:12:01,4321,,4.90017,,0.2895,284.194,402.028,81.9742,135.415
20240813 01:13:01,4381,,4.41033,,0.262,271.863,384.431,79.1935,149.745
20240813 01:14:01,4441,,4.05,,0.706333,277.939,392.424,92.6596,245.27
20240813 01:15:01,4501,,,,0.484167,278.404,393.568,87.4844,223.54
20240813 01:16:00,4560,,5.77,,0.150167,290.008,406.116,81.5117,116.415
20240813 01:17:01,4621,,6.61967,,2.259,288.804,400.395,129.893,475.83
20240813 01:18:01,4681,,5.33,,0.8065,273.39,394.551,95.2555,259.956
20240813 01:19:01,4741,,6.259,,0.314,277.252,392.445,89.4863,152.668
20240813 01:20:01,4801,,4.88983,,0.616,288.381,402.113,79.0736,342.741
20240813 01:21:01,4861,,4.85,,0.600833,286.052,394.476,89.0317,205.925
20240813 01:22:01,4921,,4.82017,,0.225667,278.963,392.22,79.3228,123.492
20240813 01:23:01,4981,,5.86967,,3.0535,282.153,397.903,115.094,518.188
20240813 01:24:01,5041,,8.08983,,1.20833,282.954,396.997,96.5411,437.086
20240813 01:25:01,5101,,6.43883,,0.347667,290.313,403.483,97.0347,173.668
20240813 01:26:01,5161,,4.89983,,0.323833,286.912,409.904,93.172,151.572
20240813 01:27:01,5221,,5.48983,,2.01917,291.765,394.46,104.901,503.269
20240813 01:28:01,5281,,6.86967,,0.737667,294.392,404.62,103.62,242.126
20240813 01:29:00,5340,,6.73017,,2.36817,295.421,404.888,108.7,490.745
20240813 01:30:01,5401,,5.05033,,0.429167,300.765,410.928,90.3808,256.668
20240813 01:31:01,5461,,3.72983,,0.4525,303.768,410.621,85.6387,307.381
20240813 01:32:00,5520,,3.85933,,0.185,302.873,411.218,83.5511,129.27
20240813 01:33:01,5581,,4.4005,,2.93283,294.021,400.263,131.54,468.013
20240813 01:34:00,5640,,4.22033,,0.156,304.957,409.099,78.1928,136.331
20240813 01:35:01,5701,,4.4295,,0.111667,313.115,417.512,78.6447,133.284
20240813 01:36:00,5760,,3.0595,,0.508333,279.694,397.907,95.2817,293.826
20240813 01:37:01,5821,,2.94,,2.5745,290.973,399.001,126.32,496.093
20240813 01:38:01,5881,,,,0.246833,304.342,413.625,84.5783,184.152
20240813 01:39:01,5941,,4.78,,0.112333,296.783,409.846,76.1343,99.3929
20240813 01:40:00,6000,,4.19983,,0.174833,285.876,404.248,76.771,126.801
20240813 01:41:01,6061,,4.63,,0.244667,295.173,412.335,86.9767,229.923
20240813 01:42:00,6120,,4.1495,,0.158667,293.917,404.081,97.3147,153.078
20240813 01:43:01,6181,,4.5905,,0.655833,296.426,412.976,113.473,350.793
20240813 01:44:01,6241,,5.44967,,0.153333,295.12,400.532,74.2471,128.995
20240813 01:45:01,6301,,4.69966,,0.0683333,286.999,405.1,62.3252,89.2423
20240813 01:46:01,6361,,4.08966,,0.8985,288.185,395.144,89.2812,448.183
20240813 01:47:01,6421,,4.34967,,0.041,296.613,407.255,72.3325,95.7981
20240813 01:48:01,6481,,5.25933,,0.158833,288.188,392.47,83.4565,162.738
20240813 01:49:00,6540,,5.05983,,0.0333333,289.172,405.373,65.8521,89.3205
20240813 01:50:00,6600,,4.22983,,0.0966667,292.065,402.205,85.1883,117.506
20240813 01:51:01,6661,,,,0.0863333,292.334,409.768,81.3354,109.791
20240813 01:52:01,6721,,,,0.069,304.082,411.889,68.0869,96.8456
20240813 01:53:00,6780,,3.45,,2.04717,305.742,410.421,125.635,510.66
20240813 01:54:01,6841,,4.36017,,0.196667,279.647,398.162,96.7512,147.443
20240813 01:55:01,6901,,3.66983,,0.00883333,289.998,410.066,50.6649,52.4454
20240813 01:56:01,6961,,,,0.0761667,299.971,413.395,74.9422,93.6084
20240813 01:57:01,7021,,,,0.0476667,288.628,404.864,59.4375,77.2463
20240813 01:58:00,7080,,,,0.562,298.53,408.039,96.7918,359.678
20240813 01:59:01,7141,,4.09066,,0.0858333,295.115,401.566,87.5471,128.459
20240813 02:00:01,7201,,3.78,,0.12,296.941,408.337,86.9707,134.181
20240813 02:01:01,7261,,,,0.159667,284.681,401.207,84.579,126.653
20240813 02:02:01,7321,,3.18,,0.414,284.885,397.38,99.0918,226.452
20240813 02:03:00,7380,,4.01983,,0.184,301.947,410.345,90.0027,160.06
20240813 02:04:01,7441,,4.71,,0.289833,296.357,407.254,83.7269,276.276
20240813 02:05:00,7500,,4.23033,,0.350167,285.547,403.132,87.324,304.199
20240813 02:06:01,7561,,3.56,,0.0596667,290.458,407.028,72.5033,90.0828
20240813 02:07:01,7621,,3.19967,,2.124,282.856,397.313,163.646,492.656
20240813 02:08:01,7681,,4.98983,,0.0543333,289.079,401.146,71.6462,85.472
20240813 02:09:00,7740,,4.76967,,0.0328333,303.399,416.361,62.3941,75.1342
20240813 02:10:01,7801,,4.07033,,0.0988333,295.45,406.634,79.0733,94.1853
20240813 02:11:01,7861,,3.19,,0.813333,299.454,410.016,156.862,439.689
20240813 02:12:00,7920,,3.81,,0.477833,295.881,403.59,95.3544,223.546
20240813 02:13:00,7980,,,,0.151333,290.913,405.966,91.9826,138.359
20240813 02:14:01,8041,,3.14967,,0.052,301.515,411.255,71.5327,93.1917
20240813 02:15:01,8101,,,,0.134667,283.373,401.236,82.2104,121.126
20240813 02:16:01,8161,,,,0.094,289.519,392.363,81.4191,98.7586
20240813 02:17:01,8221,,2.77983,,0.0271667,292.121,416.969,59.9067,65.0334
20240813 02:18:01,8281,,2.30983,,0.0186667,290.712,407.793,54.9079,59.0968
20240813 02:19:01,8341,,2.31,,0.116167,286.094,399.561,78.6406,136.291
20240813 02:20:00,8400,,,,0.0308333,293.901,410.559,66.3334,82.7187
20240813 02:21:01,8461,,,,0.0998333,290.449,392.838,80.3126,116.531
20240813 02:22:01,8521,,,,0.018,283.264,403.528,51.3945,58.9115
20240813 02:23:01,8581,,2.90983,,0.0613333,294.809,410.598,69.2657,93.6218
20240813 02:24:01,8641,,,,0.144667,293.995,415.811,84.9963,234.789
20240813 02:25:00,8700,,3.58967,,2.323,304.651,408.942,142.08,501.534
20240813 02:26:00,8760,,4.79917,,0.0645,288.055,407.258,68.8397,102.636
20240813 02:27:00,8820,,5.2095,,0.28,283.374,412.871,84.2436,250.32
20240813 02:28:00,8880,,3.31017,,1.06567,298.551,421.812,140.695,473.649
20240813 02:29:01,8941,,,,0.0543333,284.565,402.878,61.1198,83.5762
20240813 02:30:00,9000,,,,0.0701667,276.982,393.357,81.9923,119.406
20240813 02:31:01,9061,,,,0.128167,281.32,415.85,82.166,179.218
20240813 02:32:01,9121,,,,0.129333,286.964,405.199,87.3088,131.495
20240813 02:33:01,9181,,3.36,,0.179833,276.681,400.07,90.0116,211.163
20240813 02:34:01,9241,,2.81983,,0.017,283.46,409.389,58.6421,65.6847
20240813 02:35:00,9300,,,,0.385,283.049,410.917,127.869,248.497
20240813 02:36:01,9361,,,,0.0931667,296.768,412.475,71.5615,122.692
20240813 02:37:01,9421,,3.76983,,0.43,300.359,409.423,85.8327,300.633
20240813 02:38:01,9481,,,,0.0276667,304.95,417.477,63.3375,76.615
20240813 02:39:01,9541,,,,0.174333,287.148,406.339,78.7596,158.611
20240813 02:40:00,9600,,,,0.140667,283.176,396.101,95.2354,156.828
20240813 02:41:01,9661,,,,0.0963333,286.06,405.691,93.2047,135.771
20240813 02:42:01,9721,,2.90017,,0.161833,295.25,410.781,78.8998,196.425
20240813 02:43:01,9781,,3.19017,,0.085,313.282,420.604,76.9599,135.808
20240813 02:44:00,9840,,,,0.136667,296.508,407.172,84.3126,122.688
20240813 02:45:01,9901,,,,0.185167,286.864,398.564,88.702,205.107
20240813 02:46:01,9961,,,,0.0571667,310.349,425.525,75.6413,81.505
20240813 02:47:01,10021,,3.3005,,0.0271667,302.387,406.873,79.8689,88.6194
20240813 02:48:00,10080,,,,0.0823333,300.907,413.511,78.0152,99.9705
20240813 02:49:01,10141,,3.05967,,0.0928333,307.155,422.847,94.4141,130.894
20240813 02:50:01,10201,,,,0.158667,292.61,406.156,81.7105,221.436
20240813 02:51:00,10260,,3.02983,,0.077,298.126,415.861,66.7814,136.979
20240813 02:52:00,10320,,2.49,,0.0326667,309.385,417.297,63.5282,80.2243
20240813 02:53:01,10381,,,,0.021,289.004,401.4,53.7877,63.8354
20240813 02:54:01,10441,,,,0.0523333,294.456,412.189,69.3014,108.701
20240813 02:55:01,10501,,,,0.0193333,294.919,405.385,62.5003,96.8314
20240813 02:56:01,10561,,,,0.0538333,308.504,412.416,71.1205,107.614
20240813 02:57:00,10620,,,,0.0195,310.414,415.562,53.2946,67.932
20240813 02:58:01,10681,,,,0.0403333,302.38,412.475,75.7301,98.1653
20240813 02:59:00,10740,,,,0.0615,294.684,404.963,73.7163,89.992
20240813 03:00:01,10801,,,,0.305167,297.152,407.716,97.4801,287.864
20240813 03:01:01,10861,,,,0.041,303.125,413.964,64.8577,90.2555
20240813 03:02:01,10921,,,,0.00816667,312.937,421.661,52.4423,56.608
20240813 03:03:00,10980,,,,0.201167,293.427,410.098,108.41,167.041
20240813 03:04:01,11041,,,,0.392167,303.766,413.401,120.058,350.56
20240813 03:05:00,11100,,,,0.0126667,304.767,407.57,62.2616,65.338
20240813 03:06:01,11161,,2.26,,0.0371667,300.179,419.904,67.4239,82.9427
20240813 03:07:01,11221,,,,0.5565,301.264,412.91,141.249,382.218
20240813 03:08:01,11281,,,,0.664833,307.163,416.162,132.16,409.947
20240813 03:09:00,11340,,,,0.0471667,304.617,408.795,78.1339,91.6587
20240813 03:10:01,11401,,,,0.123667,303.142,416.018,94.4031,134.687
