coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
2,0,0,0,24.5139,0,44.1118,22.997,0,0,0,42.904,59.0178,0,0,56.5991,57.1406,0,0,75.6528,0,65.3926,0,0,0,86.4803,0,73.9397,0,100.453,0,0,0,101.884,0,0,118.152,0,0,0,0,102.124,0,0,0,141.825,0,134.475,0,0,0,0,127.51,0,0,0,0,0,0,160.909,152.196,0,0,0,0,0,0,0,166.355,0,0,194.136,0,133.546,0,0,198.051,0,0,0,189.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38095,2.38095,0,0,0,0,0,0,2.38095,2.38095,0,0,0,0,2.38095,2.38095,0,0,0,0,0,7.14286,2.38095,0,0,0,0,0,0,4.7619,2.38095,2.38095,0,2.38095,0,0,2.38095,0,2.38095,0,0,0,0,4.7619,2.38095,0,0,0,0,0,0,0,2.38095,2.38095,0,0,2.38095,2.38095,0,2.38095,0,0,0,2.38095,0,0,2.38095,0,0,2.38095,2.38095,0,0,2.38095,0,0,4.7619,0,0,0,0,0,0,0,0,2.38095,0,2.38095,2.38095,2.38095,7.14286,4.7619,2.38095
302,0,0,0,0,0,0,24.6856,0,51.5051,54.5582,0,47.9741,49.507,43.7554,0,0,46.3318,0,56.8748,0,70.6111,0,0,0,91.952,0,0,0,91.5955,75.9598,0,0,0,108.28,0,119.255,112.126,124.955,0,0,0,135.205,0,0,0,0,136.511,0,0,0,137.663,0,0,0,0,0,0,156.553,0,154.212,0,173.864,0,0,176.767,195.332,178.513,0,170.162,0,0,184.84,0,0,0,0,0,177.546,0,185.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96078,0,0,0,0,0,1.96078,0,0,1.96078,0,3.92157,1.96078,1.96078,1.96078,1.96078,0,0,3.92157,0,1.96078,0,0,0,1.96078,3.92157,0,0,0,0,0,0,0,3.92157,0,0,0,0,0,0,0,0,1.96078,0,1.96078,0,0,1.96078,0,0,1.96078,1.96078,0,0,0,1.96078,1.96078,1.96078,0,0,0,3.92157,0,0,0,3.92157,0,1.96078,1.96078,0,0,0,0,0,1.96078,1.96078,9.80392,3.92157,0,1.96078,1.96078,0,5.88235,5.88235,0,1.96078,3.92157,0
602,0,0,0,0,35.4794,0,0,0,0,15.997,0,48.3541,0,64.5243,54.695,61.745,0,43.2222,61.4205,0,31.1844,76.9513,0,58.1003,82.1348,90.577,56.9681,0,89.7157,0,104.389,0,0,103.608,107.853,92.4083,0,121.283,119.545,0,121.432,120.622,136.301,0,129.445,143.408,0,131.503,0,0,0,151.509,149.015,0,0,0,149.941,0,161.393,152.508,176.066,155.787,181.648,0,0,0,177.891,0,191.406,198.716,185.482,0,0,0,0,0,0,197.858,191.6,175.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31579,0,0,0,0,1.31579,0,0,0,0,0,0,0,2.63158,0,1.31579,0,1.31579,0,0,2.63158,1.31579,0,1.31579,0,0,1.31579,2.63158,2.63158,0,2.63158,0,1.31579,0,0,0,2.63158,0,0,0,0,1.31579,2.63158,1.31579,1.31579,1.31579,1.31579,0,3.94737,0,0,1.31579,1.31579,0,2.63158,0,0,1.31579,3.94737,0,0,0,1.31579,1.31579,0,0,1.31579,0,0,1.31579,0,1.31579,2.63158,0,2.63158,0,1.31579,0,2.63158,1.31579,0,1.31579,1.31579,2.63158,2.63158,1.31579,2.63158,5.26316,0,1.31579,0,1.31579,1.31579,2.63158,2.63158,0,5.26316,1.31579
902,0,0,0,0,13.0092,0,41.086,0,20.0352,0,0,43.9504,0,0,44.9467,63.5121,35.9174,66.2318,0,66.4179,62.7717,82.0459,76.9874,0,0,0,88.6209,0,0,93.4211,95.1412,0,0,67.3282,0,97.56,114.409,100.061,0,0,126.062,0,0,0,143.761,139.479,0,0,149.164,0,0,134.623,0,133.747,130.413,0,0,0,172.771,0,0,0,0,0,0,0,191.226,0,190.932,0,0,0,0,0,171.045,0,0,0,172.82,187.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75439,0,0,0,3.50877,0,0,0,0,0,0,1.75439,0,1.75439,1.75439,1.75439,3.50877,1.75439,1.75439,0,0,0,0,3.50877,0,0,1.75439,7.01754,0,0,0,0,1.75439,3.50877,0,5.26316,0,0,1.75439,1.75439,0,3.50877,0,0,1.75439,1.75439,0,0,0,0,1.75439,3.50877,0,0,0,0,0,1.75439,0,1.75439,0,1.75439,0,1.75439,0,1.75439,0,1.75439,0,3.50877,0,0,1.75439,1.75439,0,0,0,1.75439,0,1.75439,1.75439,0,0,0,3.50877,0,1.75439,3.50877,1.75439,1.75439,0,0,1.75439,5.26316
1202,0,0,0,0,0,0,0,0,0,39.7245,39.3872,0,0,37.3742,58.7039,0,55.6146,55.6349,47.2914,55.6516,57.8645,0,76.9621,81.1647,0,92.8012,92.7126,71.7778,0,97.8787,0,0,0,0,0,111.789,115.232,0,0,97.073,123.497,0,0,0,0,143.905,135.309,0,0,0,0,0,139.263,147.663,163.892,163.514,153.095,0,99.2901,0,181.755,0,174.703,183.426,184.305,175.496,0,0,0,178.458,0,183.835,0,0,189.908,0,195.398,0,0,185.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36986,0,0,0,0,0,0,0,0,4.10959,0,0,0,0,0,1.36986,1.36986,0,1.36986,2.73973,0,2.73973,1.36986,0,2.73973,1.36986,1.36986,0,1.36986,1.36986,0,0,1.36986,2.73973,0,2.73973,0,1.36986,0,0,0,0,0,2.73973,1.36986,1.36986,1.36986,1.36986,0,0,0,0,1.36986,0,1.36986,0,1.36986,0,0,0,0,1.36986,0,0,1.36986,0,2.73973,0,1.36986,1.36986,0,0,0,2.73973,0,0,1.36986,2.73973,1.36986,0,1.36986,0,4.10959,0,0,0,4.10959,4.10959,1.36986,1.36986,6.84932,1.36986,2.73973,2.73973,2.73973,2.73973,2.73973
1502,0,0,23.8767,32.9655,0,0,0,41.7828,44.0094,39.0845,36.6464,28.9213,45.6475,51.6962,37.9457,65.1676,55.9085,52.2071,0,41.8657,0,74.3522,76.327,71.0522,85.6415,69.3967,0,78.2953,75.6075,75.9064,0,0,110.753,0,97.0276,118.386,123.911,106.5,98.7451,130.562,0,0,0,0,130.511,142.772,124.675,0,0,149.78,0,0,158.645,148.023,0,105.603,173.005,155.993,0,173.564,0,157.488,0,190.791,176.559,0,0,0,179.646,0,191.852,193.118,195.239,147.938,0,193.328,0,0,0,185.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03093,1.03093,0,3.09278,0,2.06186,1.03093,0,1.03093,3.09278,0,2.06186,2.06186,2.06186,0,3.09278,0,3.09278,1.03093,1.03093,1.03093,0,3.09278,2.06186,3.09278,1.03093,1.03093,0,0,1.03093,3.09278,1.03093,1.03093,1.03093,1.03093,1.03093,1.03093,0,1.03093,0,0,2.06186,1.03093,1.03093,1.03093,0,0,0,1.03093,0,2.06186,0,2.06186,0,1.03093,0,1.03093,0,1.03093,1.03093,1.03093,1.03093,0,1.03093,0,0,2.06186,1.03093,1.03093,0,0,0,0,3.09278,0,2.06186,0,1.03093,1.03093,1.03093,1.03093,2.06186,3.09278,1.03093,2.06186,6.18557,1.03093,2.06186,2.06186
1802,0,0,0,0,25.7766,0,0,34.7894,0,53.9871,33.4644,48.0264,49.1361,0,0,52.0915,67.1817,67.3294,72.937,81.0608,74.1848,0,0,86.209,89.8225,69.2734,0,0,92.008,0,0,0,92.1947,90.6404,0,0,119.599,0,0,121.907,121.994,104.049,133.349,0,143.125,89.4958,0,123.588,0,149.316,153.034,0,134.826,162.425,140.435,159.531,136.559,0,106.698,0,99.2444,181.875,0,0,186.396,0,0,0,0,193.017,183.38,183.128,0,191.535,0,198.709,0,0,0,185.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28205,0,0,0,0,0,0,1.28205,1.28205,0,0,0,1.28205,0,0,0,1.28205,1.28205,0,2.5641,0,1.28205,2.5641,1.28205,1.28205,2.5641,0,0,2.5641,0,0,1.28205,0,0,2.5641,2.5641,1.28205,1.28205,2.5641,2.5641,1.28205,0,0,2.5641,0,0,0,0,2.5641,2.5641,0,0,0,2.5641,1.28205,2.5641,2.5641,0,0,0,0,1.28205,1.28205,1.28205,0,0,1.28205,0,0,1.28205,1.28205,2.5641,1.28205,0,1.28205,1.28205,1.28205,2.5641,0,0,0,1.28205,1.28205,1.28205,0,1.28205,3.84615,1.28205,2.5641,1.28205,1.28205,2.5641,5.12821,2.5641,2.5641
2102,0,0,0,13.7583,0,0,0,0,31.1456,0,40.4945,50.0715,0,50.0521,60.8513,60.7001,58.2653,68.8098,64.4958,72.6088,78.0453,75.9039,0,0,59.0352,0,86.2239,0,0,83.409,69.8318,96.2102,112.311,112.134,106.192,0,122.941,107.338,111.835,116.574,0,0,0,0,0,0,0,0,151.703,148.552,0,106.45,156.725,161.885,150.324,168.975,0,134.641,0,107.385,0,0,0,163.608,183.53,179.367,0,0,0,195.545,179.24,0,191.366,176.936,0,198.575,0,0,191.067,169.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14943,0,0,1.14943,1.14943,0,0,1.14943,1.14943,0,0,0,0,0,0,0,0,1.14943,0,1.14943,1.14943,1.14943,0,2.29885,0,0,4.5977,2.29885,4.5977,2.29885,1.14943,1.14943,2.29885,2.29885,1.14943,3.44828,0,2.29885,0,1.14943,1.14943,1.14943,0,0,1.14943,0,2.29885,0,0,0,1.14943,4.5977,1.14943,1.14943,1.14943,2.29885,1.14943,0,0,1.14943,0,0,1.14943,0,0,1.14943,0,0,0,1.14943,0,1.14943,0,2.29885,1.14943,1.14943,0,1.14943,1.14943,4.5977,0,0,1.14943,0,0,0,0,4.5977,1.14943,1.14943,1.14943,2.29885,0,3.44828,1.14943,1.14943,4.5977,1.14943
2402,0,0,0,0,0,0,34.7456,27.2513,37.0806,38.2412,40.8297,36.7926,32.3434,52.5158,50.4756,0,59.6112,59.5565,69.9612,71.3879,66.9825,60.4818,71.067,0,0,0,65.1351,72.3128,0,95.6738,101.866,105.638,0,103.515,0,104.854,0,0,0,121.895,116.702,0,124.485,0,126.668,0,145.934,136.096,0,124.555,138.568,140.459,0,0,128.359,147.487,0,174.205,0,170.529,172.393,0,164.071,147.802,178.79,0,191.954,171.024,0,124.896,191.228,191.003,169.168,0,0,177.15,0,0,173.935,159.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917431,0.917431,0,0.917431,0,0,0,0,1.83486,1.83486,1.83486,2.75229,0,0.917431,0.917431,0,0.917431,1.83486,0.917431,0.917431,0.917431,0.917431,0,2.75229,4.58716,2.75229,0,0.917431,0,0.917431,2.75229,1.83486,0,0.917431,0.917431,0,0.917431,0.917431,0.917431,0,0,2.75229,1.83486,1.83486,0.917431,0.917431,0,0.917431,0.917431,0.917431,0,0,1.83486,0.917431,2.75229,1.83486,0,0,3.66972,0,0.917431,0,0,1.83486,2.75229,0.917431,0.917431,0.917431,0,1.83486,0,1.83486,0,0.917431,0.917431,1.83486,3.66972,0.917431,1.83486,1.83486,4.58716,0,0,0,1.83486,0.917431,0.917431,2.75229,0,0,0.917431,1.83486
2702,0,0,9.20828,0,38.0961,45.701,0,27.3016,0,54.3625,37.1882,47.153,49.1658,46.2246,57.595,57.4782,0,52.6358,74.3868,59.6869,79.0198,85.8108,0,74.0754,91.9895,0,82.5284,65.4542,95.7377,102.316,88.4564,107.234,96.6361,112.092,117.312,106.586,111.329,0,122.176,124.052,0,127.613,0,137.053,117.482,0,124.323,0,0,142.557,115.609,0,134.473,159.661,159.401,0,0,0,167.729,0,180.722,182.844,0,182.492,167.615,159.629,97.3005,139.564,164.273,0,0,180.518,174.673,162.938,171.064,138.983,0,0,140.241,174.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0202,0,0,0,0,0,0,0,0,1.0101,0,1.0101,2.0202,1.0101,2.0202,1.0101,1.0101,1.0101,2.0202,0,2.0202,0,1.0101,3.0303,1.0101,1.0101,0,1.0101,0,0,1.0101,2.0202,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,0,1.0101,2.0202,0,0,1.0101,0,0,4.0404,0,3.0303,0,0,3.0303,1.0101,2.0202,0,1.0101,1.0101,1.0101,1.0101,2.0202,0,2.0202,1.0101,1.0101,3.0303,2.0202,1.0101,0,1.0101,0,0,2.0202,0,0,2.0202,3.0303,1.0101,0,1.0101,1.0101,3.0303,2.0202,2.0202,1.0101,0,3.0303,3.0303,0,2.0202,0,1.0101,1.0101,3.0303,0,1.0101
