avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240829 00:01:01,61,,6.33967,,0.5375,222.241,338.479,60.4561,75.3345
20240829 00:02:01,121,,8.55033,,0.199667,215.317,325.81,70.4017,105.772
20240829 00:03:01,181,,8.19883,,0.0741667,216.555,348.024,77.4055,133.892
20240829 00:04:01,241,,8.45083,,0.201667,210.496,325.752,64.4308,91.8519
20240829 00:05:01,301,,7.87983,,2.33517,210.052,334.16,64.6028,456.1
20240829 00:06:01,361,,8.17983,,0.748167,214.945,336.225,60.6635,116.884
20240829 00:07:01,421,,8.04017,,0.205,217.659,352.149,67.2263,153.813
20240829 00:08:01,481,,7.27,,0.0298333,211.744,325.686,56.3708,74.6305
20240829 00:09:01,541,,8.30917,,0.071,211.173,335.002,67.4088,84.8918
20240829 00:10:01,601,,8.37017,,0.1965,212.073,335.626,86.3776,190.804
20240829 00:11:01,661,,9.62033,,0.0998333,211.469,333.311,79.9613,104.492
20240829 00:12:01,721,,9.11133,,0.3645,199.841,318.955,65.6128,88.311
20240829 00:13:01,781,,8.78017,,0.4585,209.616,334.33,63.3958,87.1319
20240829 00:14:01,841,,8.42933,,1.454,216.035,349.511,68.909,106.294
20240829 00:15:01,901,,8.88,,1.32833,209.354,321.08,69.8405,123.875
20240829 00:16:01,961,,8.59067,,0.430167,216.416,331.922,71.1899,111.195
20240829 00:17:01,1021,,7.44017,,0.0673333,218.021,345.624,67.4045,90.0211
20240829 00:18:01,1081,,7.5405,,0.0526667,212.776,323.589,64.5102,78.8747
20240829 00:19:01,1141,,8.42033,,0.0743333,209.682,328.52,77.7728,92.5892
20240829 00:20:01,1201,,8.41117,,0.0291667,201.159,313.631,57.4326,88.353
20240829 00:21:01,1261,,9.26116,,0.112667,209.873,329.485,67.3742,150.436
20240829 00:22:01,1321,,9.39083,,0.1595,212.495,338.674,82.05,184.816
20240829 00:23:01,1381,,8.95033,,0.063,216.723,351.44,73.7868,99.2806
20240829 00:24:01,1441,,8.72017,,0.354833,212.571,329.996,89.8,288.942
20240829 00:25:01,1501,,7.71017,,0.0358333,213.632,331.572,64.677,79.1526
20240829 00:26:01,1561,,7.65017,,0.119833,210.71,330.962,97.8791,196.693
20240829 00:27:01,1621,,8.01017,,0.033,213.292,331.351,62.2654,98.988
20240829 00:28:01,1681,,7.39083,,0.298667,213.788,325.303,81.4878,231.896
20240829 00:29:01,1741,,9.19,,0.358,210.018,340.522,113.411,301.672
20240829 00:30:01,1801,,8.5,,0.3115,213.668,329.735,97.1731,201.999
20240829 00:31:01,1861,,8.72017,,0.144667,212.059,329.65,76.5428,97.035
20240829 00:32:01,1921,,8.2795,,0.085,212.684,329.268,77.3225,110.11
20240829 00:33:01,1981,,8.52934,,0.9485,217.078,345.133,90.197,437.107
20240829 00:34:01,2041,,8.49983,,0.0821667,216.108,326.214,78.281,99.2294
20240829 00:35:01,2101,,7.53,,0.0491667,210.327,311.551,58.5903,76.664
20240829 00:36:01,2161,,8.26,,0.109333,215.602,337.765,76.8806,151.734
20240829 00:37:01,2221,,9.06933,,0.506,208.288,326.506,78.7397,212.027
20240829 00:38:01,2281,,9.6405,,0.28,208.894,318.722,80.1878,130.463
20240829 00:39:01,2341,,9.94917,,0.1655,208.587,336.122,70.5189,129.437
20240829 00:40:01,2401,,9.83983,,0.079,206.244,316.393,69.3101,115.468
20240829 00:41:01,2461,,9.91033,,0.0698333,212.397,332.715,74.1528,100.553
20240829 00:42:01,2521,,9.99,,0.112,205.98,328.682,78.3361,93.9294
20240829 00:43:01,2581,,9.04967,,0.158,203.253,313.647,65.1932,93.2619
20240829 00:44:01,2641,,8.71033,,0.4715,217.507,338.552,62.73,105.321
20240829 00:45:01,2701,,9.1795,,0.442,216.965,337.499,60.1517,90.5645
20240829 00:46:01,2761,,8.2405,,0.163833,215.918,336.859,60.063,91.1915
20240829 00:47:01,2821,,9.0695,,0.0543333,210.98,325.784,65.9428,92.2837
20240829 00:48:01,2881,,10.6595,,0.123333,214.785,333.92,75.583,117.169
20240829 00:49:01,2941,,9.76117,,0.123167,214.196,335.524,85.1264,126.925
20240829 00:50:01,3001,,8.56967,,0.114667,211.978,328.32,73.0305,110.022
20240829 00:51:01,3061,,8.77033,,0.095,214.197,327.486,74.051,125.048
20240829 00:52:01,3121,,8.28,,0.113333,215.226,331.833,84.7441,134.278
20240829 00:53:01,3181,,9.12016,,0.0446667,213.454,329.663,54.9974,62.6572
