coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
2,0,0,8.58249,20.036,10.8524,0,8.41693,7.64201,26.4489,0,0,0,0,0,45.7344,0,53.1236,53.66,0,77.2135,63.2016,83.5617,80.0115,0,83.5177,90.8714,39.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.994,0,0,147.687,0,0,143.474,159.681,0,164.08,166.847,0,0,0,0,0,0,0,0,0,175.264,0,0,0,0,0,0,0,0,0,0,150.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7027,5.40541,5.40541,0,0,0,2.7027,2.7027,0,2.7027,2.7027,0,0,0,0,0,2.7027,0,0,5.40541,2.7027,0,2.7027,2.7027,0,0,0,2.7027,0,0,0,0,0,2.7027,2.7027,0,0,5.40541,5.40541,0,2.7027,0,2.7027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7027,2.7027,2.7027,0,0,0,2.7027,0,5.40541,0,0,2.7027,2.7027,0,0,0,2.7027,0,2.7027,0,0,0,0,0,0,2.7027,2.7027,2.7027,0
302,0,0,0,0,9.784,14.274,10.1982,27.4554,0,0,51.2229,0,37.3761,35.5763,58.295,0,0,64.8944,67.7012,64.1754,81.1117,76.8655,87.3729,0,0,75.0521,93.4668,85.5405,0,0,83.8407,104.923,0,114.291,112.55,108.925,0,0,0,0,125.447,134.932,0,0,118.413,0,0,0,0,0,154.808,0,0,0,0,161.254,147.406,0,0,0,181.622,184.711,185.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14286,0,2.38095,2.38095,0,0,0,2.38095,2.38095,0,0,0,4.7619,0,0,0,2.38095,0,2.38095,0,0,2.38095,0,0,0,4.7619,0,0,2.38095,2.38095,0,2.38095,0,2.38095,2.38095,0,2.38095,2.38095,2.38095,7.14286,0,0,2.38095,0,0,0,0,0,4.7619,0,2.38095,0,0,4.7619,2.38095,2.38095,0,0,2.38095,0,0,0,0,2.38095,0,0,0,0,0,2.38095,0,0,0,2.38095,0,0,4.7619,0,0,0,0,0,0,0,0,0,2.38095,0,4.7619,0,0,0,0,0,0,0
602,0,0,9.02262,9.51526,18.949,12.9781,9.95619,15.0687,17.8652,23.8075,0,38.5115,16.6897,8.7271,0,0,43.8722,9.39802,0,41.0753,0,0,65.229,0,70.8356,0,70.1726,0,77.4737,80.7076,91.9834,0,0,114.741,0,105.854,111.001,0,119.742,0,117.836,0,0,0,0,0,0,147.284,151.005,0,0,0,0,135.305,151.104,132.706,0,165.394,168.396,0,0,174.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46914,2.46914,6.17284,11.1111,20.9877,4.93827,1.23457,0,0,0,1.23457,1.23457,1.23457,1.23457,1.23457,0,1.23457,0,0,2.46914,0,0,0,1.23457,0,2.46914,0,0,0,2.46914,0,1.23457,0,1.23457,1.23457,0,0,1.23457,1.23457,0,2.46914,0,0,0,0,1.23457,0,0,1.23457,2.46914,0,0,0,0,0,1.23457,1.23457,1.23457,1.23457,1.23457,0,0,0,0,0,1.23457,1.23457,0,0,0,0,0,1.23457,0,3.7037,0,0,0,0,0,0,2.46914,0,0,1.23457,0,1.23457,0,0,0,1.23457,0,0,0,1.23457,0,0,0,0
902,0,0,7.84887,0,10.9237,20.7996,38.7639,14.3788,0,47.8042,35.2005,28.8603,32.3109,6.34287,42.5595,0,46.8354,60.3546,51.2308,0,81.1579,73.5626,85.9582,0,87.9454,0,63.771,0,0,0,0,0,93.9093,0,0,0,120.249,115.303,109.286,0,125.577,0,0,136.799,0,134.88,0,118.124,0,0,158.375,0,157.632,0,0,0,0,0,0,0,0,0,0,190.389,176.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7619,4.7619,2.38095,2.38095,2.38095,0,0,0,0,0,0,2.38095,0,4.7619,2.38095,0,2.38095,0,4.7619,0,7.14286,2.38095,0,0,4.7619,0,2.38095,0,2.38095,2.38095,0,2.38095,0,2.38095,0,0,0,2.38095,0,2.38095,2.38095,0,0,2.38095,0,0,0,0,0,0,0,2.38095,0,0,2.38095,0,2.38095,2.38095,2.38095,0,0,2.38095,0,0,2.38095,2.38095,0,0,0,0,0,0,0,0,0,2.38095,2.38095,0,0,0,0,0,0,0,0,2.38095,0,0,0,0,0,0,4.7619,0,0,0,0
1202,0,0,0,0,0,0,44.5327,0,0,24.4704,56.8221,51.138,62.802,0,28.6305,62.8619,61.8942,64.7458,64.7425,65.3101,76.3659,9.54232,79.9624,0,80.95,0,0,94.7682,74.1083,0,0,108.355,111.868,111.073,0,0,98.2245,116.658,124.792,0,0,0,0,127.852,0,0,0,0,0,0,0,0,160.903,144.387,0,0,0,157.621,0,0,0,177.804,185.811,0,0,0,0,0,178.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7027,2.7027,0,0,0,2.7027,0,0,0,0,0,0,2.7027,0,0,0,0,0,0,2.7027,0,0,5.40541,2.7027,2.7027,2.7027,0,2.7027,8.10811,5.40541,0,2.7027,0,0,2.7027,5.40541,2.7027,2.7027,0,0,0,0,0,0,2.7027,0,2.7027,0,0,0,0,2.7027,5.40541,0,0,2.7027,0,0,0,2.7027,2.7027,0,0,0,0,0,0,0,0,2.7027,0,0,0,0,0,2.7027,0,2.7027,0,0,0,0,0,0,0,2.7027,2.7027,0,0,2.7027,2.7027,0,0,0,0,0,0
1502,0,0,0,0,0,0,0,0,47.3214,0,0,32.9762,38.7302,35.896,51.1341,0,0,57.7976,0,73.3159,80.2686,0,0,48.1128,53.0718,9.30465,0,61.5657,92.0951,103.166,0,0,112.062,0,0,0,0,120.392,0,0,0,0,0,0,0,0,0,0,0,146.326,0,0,153.959,0,0,0,0,0,111.895,0,0,0,0,0,103.498,193.555,0,0,0,0,0,0,0,0,0,0,0,0,0,196.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57143,3.57143,0,0,0,0,3.57143,0,0,0,0,0,3.57143,0,0,3.57143,0,0,0,3.57143,3.57143,3.57143,0,0,3.57143,0,7.14286,0,0,0,0,0,10.7143,0,0,7.14286,0,3.57143,3.57143,0,0,0,3.57143,0,0,0,0,7.14286,0,0,0,3.57143,3.57143,0,0,0,3.57143,0,0,0,0,0,0,0,0,0,0,0,0,3.57143,0,0,3.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57143,0,3.57143,0
1802,0,0,0,0,0,25.629,11.7665,42.8056,47.9976,38.7735,33.6312,51.6001,54.5424,34.3445,58.1982,59.5194,49.6501,52.9763,64.3336,80.8108,0,0,0,83.5222,90.3521,69.5411,97.9407,0,77.9653,106.061,0,0,0,0,110.397,114.52,97.4655,0,0,0,0,129.295,0,0,131.767,0,0,148.482,138.302,0,154.958,0,154.824,0,146.392,0,0,0,164.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96078,0,0,0,0,0,0,1.96078,0,0,0,3.92157,1.96078,0,1.96078,0,7.84314,0,1.96078,1.96078,1.96078,3.92157,5.88235,5.88235,1.96078,0,1.96078,1.96078,3.92157,0,3.92157,0,0,0,1.96078,1.96078,0,0,1.96078,1.96078,1.96078,0,1.96078,3.92157,0,0,0,0,1.96078,0,1.96078,0,1.96078,0,0,0,0,0,0,1.96078,1.96078,0,1.96078,0,0,1.96078,0,0,1.96078,1.96078,0,1.96078,1.96078,1.96078,0,1.96078,0,0,1.96078,0,0,0,0,0,0,0,0,1.96078,0,0,0,0,0,0,0
2102,0,0,7.24712,0,0,11.0014,0,29.9301,51.9582,2.23445,32.8812,0,48.3546,43.0104,49.0894,50.4547,55.1132,61.2841,70.6695,61.4192,70.8574,76.0399,64.1965,6.81214,90.1579,78.0044,96.203,96.0301,0,86.4018,0,65.5286,111.758,0,110.897,95.5262,0,71.1565,105.904,0,133.122,135.062,0,101.507,140.929,139.5,0,139.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.286,193.129,0,0,0,0,0,0,0,0,0,0,0,163.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69492,0,5.08475,0,1.69492,0,0,0,0,0,0,0,0,3.38983,0,1.69492,0,0,1.69492,0,1.69492,1.69492,0,3.38983,3.38983,1.69492,0,1.69492,3.38983,5.08475,1.69492,5.08475,1.69492,1.69492,3.38983,1.69492,3.38983,1.69492,0,0,5.08475,0,1.69492,1.69492,3.38983,0,0,3.38983,0,1.69492,0,1.69492,0,1.69492,3.38983,0,0,0,0,0,0,0,0,0,0,1.69492,1.69492,0,3.38983,5.08475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69492,0,0,0,1.69492,0,0,0,0,0,0,1.69492,1.69492,0,0
2402,0,8.00829,8.38459,11.1098,0,14.6174,0,42.0278,0,33.133,44.9345,0,40.0484,49.5154,46.4953,43.3364,0,48.3744,0,61.9493,67.4857,84.9108,0,0,68.1849,67.2395,0,83.5022,95.786,99.7084,99.4509,0,0,97.8393,0,91.3981,121.123,124.374,117.777,129.105,0,122.374,0,0,111.083,136.742,0,0,140.839,0,0,0,0,133.413,158.54,144.975,165.14,0,0,180.112,0,0,0,0,0,0,0,0,0,0,0,195.935,0,0,0,0,0,180.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63934,8.19672,1.63934,0,0,0,0,0,0,0,3.27869,1.63934,0,4.91803,0,1.63934,0,1.63934,3.27869,0,4.91803,1.63934,0,0,1.63934,0,6.55738,1.63934,1.63934,4.91803,0,0,1.63934,0,0,0,0,0,4.91803,3.27869,1.63934,0,1.63934,0,3.27869,1.63934,1.63934,0,0,0,1.63934,1.63934,1.63934,0,0,0,0,1.63934,1.63934,1.63934,0,4.91803,0,1.63934,0,1.63934,0,1.63934,0,1.63934,0,0,0,0,0,0,1.63934,0,0,1.63934,0,0,0,0,0,0,0,3.27869,0,0,0,0,0,0,1.63934,0,0
2702,0,0,0,0,41.002,0,0,0,50.7785,17.8135,38.5216,55.1972,50.0708,0,0,64.9447,67.3758,60.9861,0,40.7738,60.1294,56.8613,76.2866,82.6483,0,0,83.1002,94.9458,0,0,0,96.3631,108.296,0,115.494,90.3471,99.4807,0,0,0,0,0,0,0,0,0,0,0,125.098,0,152.468,132.108,112.126,146.732,0,0,159.41,0,171.704,0,0,0,0,0,0,0,147.018,0,0,0,0,0,0,0,0,0,0,0,0,195.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5641,0,0,0,0,0,0,0,2.5641,0,0,2.5641,5.12821,0,2.5641,0,2.5641,2.5641,0,2.5641,0,2.5641,5.12821,2.5641,5.12821,2.5641,0,0,0,0,10.2564,0,2.5641,0,2.5641,0,2.5641,5.12821,0,2.5641,0,0,0,0,0,2.5641,2.5641,0,2.5641,2.5641,0,0,0,2.5641,2.5641,0,0,0,2.5641,0,0,0,0,0,0,5.12821,0,0,2.5641,0,0,2.5641,0,0,0,0,0,2.5641,0,0,0,0,0,0,0,0,0,0,0,2.5641,0,0
