seconds,tamb,rh,ws,wd
60,-3.321,90.7,2.85,308
60,-3.232,90.6,3.147,304.6
60,-3.241,90.6,2.849,319.1
60,-3.316,90.5,2.914,321.1
60,-3.308,90.3,2.867,326.6
60,-3.233,90.4,3.324,308.9
60,-3.217,90.2,3.183,309.5
60,-3.319,90.1,3.053,294.6
60,-3.265,91,2.862,289
60,-3.267,91.7,3.185,305.6
60,-3.197,91.4,3.425,296.6
60,-3.228,91.6,3.474,306.6
60,-3.275,90.9,3.216,309.7
60,-3.259,91.3,3.339,302.9
60,-3.275,92.2,2.829,310.3
60,-3.263,91.6,3.218,300.2
60,-3.093,91.7,3.306,298.9
60,-3.179,91.4,2.638,301.9
60,-3.268,91.8,2.623,307.6
60,-3.272,91.5,3.017,311.9
60,-3.168,91.5,2.981,309.6
60,-3.273,91.6,3.327,300.6
60,-3.227,91.7,3.562,310.5
60,-3.277,91.3,3.608,296.5
60,-3.307,90.6,3.699,295.5
60,-3.231,90.6,3.539,299.2
60,-3.222,90.5,3.366,296.5
60,-3.317,90.1,3.461,295.5
60,-3.36,89,3.258,298.9
60,-3.263,89.3,3.035,300.9
60,-3.365,90.5,2.883,299.6
60,-3.261,90.9,3.316,298.5
60,-3.303,91.9,2.759,292.7
60,-3.352,92.3,3.25,289.8
60,-3.23,92,3.428,297.6
60,-3.317,91.6,3.296,288.1
60,-3.404,91.7,3.198,296
60,-3.392,92.1,3.214,299.7
60,-3.263,92.3,3.252,301.2
60,-3.441,92.2,2.778,304.8
60,-3.264,92.3,2.765,286.3
60,-3.366,92,3.337,299.6
60,-3.451,91.6,3.077,299.4
60,-3.266,91.3,2.618,300.5
60,-3.371,91.2,2.644,303.4
60,-3.35,91.3,2.615,291.7
60,-3.378,91,2.586,297.7
60,-3.449,91,2.775,312
60,-3.365,90.9,2.581,299.1
60,-3.457,91.1,2.587,302.8
60,-3.443,91.2,2.6,303.1
60,-3.458,91.1,2.426,300.9
60,-3.358,90.4,2.551,302.1
60,-3.392,90.5,2.261,296.8
60,-3.455,90.4,2.447,289.6
60,-3.443,89.5,2.541,295.5
60,-3.37,89.7,2.573,299.7
60,-3.354,90.3,2.316,286.1
60,-3.456,90.2,2.581,304.7
60,-3.448,90.3,2.363,306.3
60,-3.357,89.7,2.47,305.3
60,-3.455,89.7,2.555,298.3
60,-3.368,90,2.408,293.6
60,-3.457,89.8,2.664,285.5
60,-3.444,89.3,2.661,303.9
60,-3.381,89.1,2.44,293.8
60,-3.353,88.7,2.63,286.4
60,-3.366,88.5,2.272,299.2
60,-3.454,89.3,2.205,288.7
60,-3.265,88.9,2.742,302.6
60,-3.372,89.1,2.502,302.6
60,-3.386,89.3,3.095,284.7
60,-3.458,88.2,2.708,281.5
60,-3.369,87.8,2.675,284.2
60,-3.365,88.7,2.463,307.8
60,-3.366,89.5,2.034,294.4
60,-3.401,89.9,2.109,297.8
60,-3.229,90.2,2.421,290.3
60,-3.323,89.3,2.635,290.2
60,-3.41,89,2.522,283.1
60,-3.443,88.4,2.947,283.1
60,-3.368,88.3,2.697,273.7
60,-3.488,87.9,2.586,281
60,-3.504,88.2,2.452,282.6
60,-3.407,88.3,2.115,275.5
60,-3.498,88.2,2.314,280.6
60,-3.497,88.2,1.993,282.8
60,-3.494,89.1,1.782,283.4
60,-3.412,89.2,2.218,287
60,-3.406,89.3,1.873,278.3
60,-3.502,89.2,2.207,288
60,-3.49,88.8,2.043,292.6
60,-3.428,89,1.973,288.2
60,-3.4,89.5,2.639,297
60,-3.504,89,2.475,288.5
60,-3.461,89.2,2.684,291.2
60,-3.426,89.4,2.548,292.4
60,-3.408,89.6,2.463,270.5
60,-3.412,89.7,2.37,296.3
60,-3.494,89.6,2.398,297.2
60,-3.497,88.9,2.564,295.3
60,-3.319,89.5,2.448,286.2
60,-3.409,89.8,2.241,271.6
60,-3.547,89.8,2.226,278.9
60,-3.536,89.9,2.213,287.3
60,-3.464,90.3,2.241,277.4
60,-3.535,90,2.404,283.4
60,-3.474,90,2.037,285.3
60,-3.443,90.5,2.149,284.5
60,-3.548,90.5,2.509,289.8
60,-3.535,90.7,2.349,276.2
60,-3.549,90.8,2.368,288.9
60,-3.452,90.7,2.132,277.3
60,-3.546,90.7,2.251,285
60,-3.464,90.9,1.981,281.4
60,-3.542,91.5,2.118,296.4
60,-3.543,91.7,2.607,289.9
60,-3.539,92.2,2.132,283.2
60,-3.367,92.1,2.388,286.3
60,-3.449,92.1,2.349,282.2
60,-3.457,91.7,2.806,278.4
60,-3.536,91.1,2.37,279.1
60,-3.422,91.5,2.339,278
60,-3.451,91.7,2.422,285.8
60,-3.55,92,2.551,283.6
60,-3.459,92.2,2.53,284
60,-3.55,91.9,2.582,277.8
60,-3.448,91.5,2.587,278.5
60,-3.55,91,2.424,284.1
60,-3.355,91.1,2.528,278.8
60,-3.46,91.3,2.569,284
60,-3.535,91.6,2.189,278.7
60,-3.507,92,2.357,294
60,-3.581,91.6,2.401,288.7
60,-3.545,91.9,2.21,289
60,-3.582,92,2.078,280.9
60,-3.504,92.2,1.95,276.5
60,-3.495,92.3,2.383,287.5
60,-3.589,92.4,1.797,267.8
