seconds,tamb,rh,ws,wd
60,7.025,54.89,1.95,302.9
60,6.969,54.64,1.184,311.4
60,7.023,55.81,1.178,314
60,7.115,55.84,1.521,322.2
60,7.146,55.7,2.241,280.9
60,7.071,54.73,2.169,255.8
60,7.058,54.16,1.808,250.9
60,7.163,54.65,1.681,285.9
60,7.15,55.1,1.439,278.3
60,7.073,54.48,2.184,274.8
60,7.059,53.57,2.073,280.6
60,6.978,54.07,1.909,284.8
60,7.064,54.09,1.547,284.1
60,6.975,53.15,1.762,266.9
60,6.974,53.49,1.483,265.6
60,7.065,53.97,1.659,265.1
60,7.073,53.43,1.591,270.8
60,7.16,54.16,2.063,272.7
60,7.072,54.02,2.024,264.1
60,7.003,55.21,2.073,261.1
60,7.013,55.34,2.125,275.4
60,6.922,54.74,1.924,285
60,7.021,53.9,2.228,281.8
60,7.018,53.8,2.51,274.3
60,6.838,54.73,2.241,272.5
60,6.793,55.98,2.46,266.3
60,6.74,55.71,2.269,274.5
60,6.709,56.25,2.156,266.8
60,6.83,56.24,2.091,272.1
60,6.794,55.96,2.259,262.4
60,6.878,55.63,2.198,265.5
60,6.921,56.04,2.198,267.9
60,6.925,55.37,2.669,270.2
60,6.783,55.81,1.935,259.1
60,6.792,55.48,1.777,269.5
60,6.794,55.88,1.975,274.9
60,6.877,55.61,2.491,269.6
60,6.752,55.19,1.89,266.3
60,6.827,55.13,2.243,267
60,6.893,55.98,2.171,266.3
60,6.792,55.39,2.434,258.2
60,6.92,54.83,2.502,266.2
60,6.937,55.32,2.141,258.8
60,6.956,54.52,1.949,267.4
60,7.014,54.03,2.194,260.4
60,7.016,53.6,2.633,270
60,7.114,53.37,2.587,274.3
60,7.159,53.53,2.685,278.3
60,7.138,53.55,2.817,270.3
60,7.117,53.04,2.831,280
60,7.101,53.21,2.829,282.5
60,7.027,54.02,2.631,276.9
60,7.061,53.63,2.719,281.2
60,7.027,54.11,2.412,277.3
60,7.111,54.63,2.316,261.7
60,7.023,54.37,2.512,272.5
60,7.06,53.58,2.955,269.3
60,7.023,53.33,2.966,267.3
60,7.021,53.9,2.074,271.6
60,6.969,54.76,2.164,263.6
60,7.114,54,2.729,267.6
60,7.092,54.3,2.241,263.4
60,7.119,54.09,2.205,266.4
60,7.156,54.59,2.086,261
60,6.981,53.34,2.656,272.9
60,7.01,54.47,2.127,269
60,7.06,54.86,1.862,283.6
