seconds,tamb,rh,ws,wd
60,3.145,94.5,1.075,296.8
60,3.225,94.7,1.16,305.4
60,3.186,94.8,1.249,308.7
60,3.181,95,1.148,297.8
60,3.138,95,1.057,311.7
60,3.084,94.9,1.009,295.8
60,3.087,95.4,1.058,306.4
60,3.061,95.4,1.143,301.7
60,2.995,95.2,1.089,315.8
60,3.1,95.2,0.823,313.5
60,2.994,95.1,0.688,320.7
60,3.097,95.4,0.786,321.9
60,3.081,95.4,0.791,319.3
60,3.133,95.3,0.844,327.5
60,3.121,95.1,0.921,320.7
60,3.09,94.7,0.916,325.6
60,3.162,94.7,0.884,315.1
60,3.253,94.8,0.975,322.7
60,3.192,94.3,1.019,315.4
60,3.228,94.1,1.163,318.1
60,3.307,94.1,1.179,317.5
60,3.416,94.5,1.31,322.1
60,3.316,94.4,1.571,314.6
60,3.315,94.2,1.642,321.4
60,3.194,94.3,1.71,323.4
60,3.135,94.1,1.609,327
60,2.958,94.6,1.661,315.4
60,2.904,94.9,1.557,329
60,2.903,95.6,1.568,315.2
60,2.87,95.5,1.761,310
60,2.729,95.3,1.65,325.2
60,2.674,95.4,1.718,318.9
60,2.691,95.5,1.419,317.7
60,2.646,95.6,1.53,319.3
60,2.593,95.6,1.504,321
60,2.687,95.7,1.583,324.2
60,2.629,95.9,1.664,317.6
60,2.643,96,1.604,329.1
60,2.629,96.1,1.432,320.1
60,2.793,96.1,1.557,309
60,2.78,95.7,1.718,315.6
60,2.663,95.5,1.475,304.7
60,2.643,95.6,1.566,302.4
60,2.635,95.5,1.437,307
60,2.754,95.6,1.726,300.4
60,2.687,95.2,1.682,306.7
60,2.727,95.2,1.542,296.1
60,2.776,95.1,1.642,305.1
60,2.859,95,1.602,305.5
60,2.897,95.2,1.431,307.3
60,2.809,94.8,1.243,292.3
60,2.904,94.7,1.225,312.1
60,2.902,94.4,1.057,295.9
60,2.811,94.3,1.277,281.3
60,2.903,94.1,1.682,276.3
60,3.012,94,1.537,274.5
60,2.848,93.8,1.465,261.2
60,2.718,93.4,1.56,272.8
60,2.643,93.5,1.481,270.5
60,2.635,93.7,1.261,271.8
60,2.627,94.2,1.201,264.2
60,2.735,94.2,1.075,280.9
60,2.641,94,0.724,290
60,2.627,94,0.92,277.5
60,2.641,93.8,0.702,273.6
60,2.718,93.8,0.601,266.1
60,2.634,93.7,0.822,267.6
60,2.636,93.6,0.696,269.5
60,2.69,93.6,0.658,257.9
60,2.709,93.4,0.466,270.1
60,2.69,93.4,0.423,267.3
60,2.724,93.4,0.495,278.6
60,2.732,93.4,0.426,311.9
60,2.719,93.5,0.366,303.5
60,2.769,93.4,0.457,329.7
60,2.825,93.3,0.554,314.3
60,2.867,92.6,0.627,310.2
60,2.901,92.4,0.693,320
60,2.862,92.2,0.684,315.9
60,2.926,92.5,0.742,316
60,2.868,92.5,0.915,346.4
60,2.949,92.5,1.045,327.7
60,2.982,92.5,0.902,322.6
60,2.917,92.9,0.884,349.8
60,3.1,93.1,0.743,337.7
60,2.904,93.1,0.733,347.6
60,2.907,93.2,0.851,349.1
60,2.917,93.2,0.835,350.4
60,3.008,93.2,0.844,344.5
60,2.904,93.1,0.843,6.906
60,2.919,93.2,0.98,6.973
60,2.964,93.2,0.942,8.52
60,2.874,93.4,0.962,18.84
60,2.775,93.1,0.791,19.58
60,2.817,93.3,0.691,41.76
60,2.818,93.5,0.727,27.43
60,2.814,93.6,0.714,29.58
60,2.776,94.1,0.982,24.09
60,2.814,94.1,1.005,17.48
60,2.772,94.1,0.898,18.25
60,2.643,94.1,0.614,4.648
60,2.727,94.1,0.634,12.4
60,2.674,94.3,0.691,12.67
60,2.698,94.5,0.841,343.8
60,2.583,94.7,0.866,345.8
60,2.633,94.9,0.807,351.8
60,2.615,95.1,0.82,352.8
60,2.61,95.3,0.879,345.5
60,2.63,95.5,0.733,323.2
60,2.641,95.6,0.498,334.6
60,2.634,95.7,0.487,347.9
60,2.625,95.8,0.405,337.2
60,2.629,95.8,0.387,337.3
60,2.628,95.8,0.451,346.7
60,2.538,95.7,0.573,347.6
60,2.551,95.6,0.596,349.3
60,2.625,95.7,0.689,346
60,2.541,95.6,0.683,351.3
60,2.643,95.7,0.746,0.007
60,2.72,95.7,0.786,1.517
60,2.54,95.4,0.725,3.392
60,2.549,95.2,0.711,7.675
60,2.535,95.1,0.557,13.14
60,2.623,95.1,0.547,16.47
60,2.627,95.1,0.603,16.23
60,2.536,95.1,0.546,26.14
60,2.547,95.2,0.426,28.49
60,2.547,95.2,0.268,37.65
60,2.634,95.4,0.056,37.74
60,2.5,95.3,0,37.92
60,2.543,95.4,0,37.87
60,2.443,95.3,0.139,209.8
60,2.406,95.2,0.564,196.9
60,2.413,95.4,0.485,208.3
60,2.398,95.6,0.48,205.2
60,2.49,95.7,0.595,206.7
60,2.546,95.8,0.567,208.4
60,2.447,95.7,0.635,202.7
60,2.497,95.8,0.599,207.3
60,2.535,95.8,0.493,208.6
60,2.452,95.7,0.482,208.6
60,2.441,95.7,0.464,208.5
60,2.454,95.7,0.302,208.5
60,2.576,95.8,0.103,208.6
60,2.445,95.6,0,208.6
60,2.499,95.6,0,208.6
60,2.596,95.7,0,208.6
60,2.485,95.6,0,208.6
60,2.491,95.6,0,208.6
60,2.473,95.5,0,208.6
60,2.469,95.6,0,208.6
60,2.486,95.6,0,208.6
60,2.369,95.5,0,208.6
60,2.365,95.5,0,208.6
60,2.403,95.6,0,208.6
60,2.394,95.5,0,208.6
60,2.362,95.3,0,208.6
60,2.216,95.1,0,208.6
60,2.312,95.2,0,228.6
60,2.413,95.5,0,283.4
60,2.266,95.6,0.219,310.2
60,2.307,95.6,0.564,317.7
60,2.451,95.5,0.691,321.8
60,2.41,94.9,0.771,330.1
60,2.532,94.4,0.771,341.2
60,2.577,94.1,0.751,352.3
60,2.545,94.2,0.694,0.007
60,2.533,94.2,0.768,2.533
60,2.586,94.4,0.851,1.431
60,2.622,94.6,0.96,354.1
60,2.718,94.4,1.068,352
60,2.547,94,1.021,354.4
60,2.585,93.9,0.985,0.007
60,2.49,93.7,0.885,10.09
60,2.555,93.6,0.823,16.7
60,2.444,93.7,0.786,31.45
60,2.408,93.8,0.946,30.28
60,2.408,93.9,0.926,39.29
60,2.473,94.2,0.629,49.46
60,2.447,94.3,0.588,59.72
60,2.386,94.5,0.591,66.89
60,2.31,94.5,0.624,66.77
60,2.322,94.6,0.725,66.98
60,2.31,94.8,0.728,66.94
60,2.269,94.8,0.725,66.77
60,2.229,94.9,0.804,67.99
60,2.294,95,0.784,68.1
60,2.274,95,0.825,68.04
60,2.413,95,0.8,67.31
60,2.215,94.4,0.702,63.5
60,2.267,94,0.613,61.72
60,2.276,93.5,0.65,61.63
60,2.306,93.3,0.724,61.57
60,2.41,93,0.493,60.88
60,2.368,92.6,0.4,60.77
60,2.351,92.1,0.124,60.82
60,2.462,91.8,0,60.88
60,2.534,91.5,0,61.15
60,2.441,91.5,0.271,144.6
60,2.539,92.3,0.835,142.3
60,2.487,92.9,0.844,141.7
60,2.35,93.2,0.684,148.9
60,2.318,93.5,0.472,142.7
60,2.393,93.8,0.755,133.3
60,2.259,94,0.673,138.1
60,2.362,94.2,0.583,139
60,2.223,94.2,0.552,138.8
60,2.293,94.4,0.706,138.9
60,2.228,94.5,0.56,124.5
60,2.276,94.5,0.657,118
