coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
1,0,0,8.88705,12.5656,11.2122,8.98466,29.9512,13.1753,9.24873,0,32.4872,0,0,0,0,0,65.82,0,0,0,0,0,4.51654,0,0,0,0,0,0,0,0,0,0,0,0,108.253,115.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.033,0,0,0,0,0,0,0,168.264,0,0,0,0,0,0,0,0,0,38.7485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40741,3.7037,22.2222,11.1111,11.1111,3.7037,0,3.7037,0,0,0,0,0,0,0,0,0,3.7037,0,0,0,3.7037,0,3.7037,0,3.7037,0,0,0,0,0,0,3.7037,0,3.7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037,0,0,3.7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037,0,0,0,0,3.7037,0,0,0,0,0,0,0,0,0,0
301,0,0,9.99812,9.57099,11.5129,14.8213,9.85452,10.3254,6.75129,8.06919,12.6485,0,54.3023,0,0,33.2924,0,0,73.477,0,0,0,0,75.5767,1.86023,0,0,0,0,0,0,0,90.0986,0,0,0,0,0,0,0,0,0,0,0,128.347,0,135.196,0,0,0,0,0,0,0,0,160.799,0,0,0,0,0,0,0,0,0,0,0,198.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,3.84615,7.69231,15.3846,19.2308,11.5385,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,3.84615,0,0,0,0,0,0,3.84615,3.84615,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615
601,0,0,9.46907,10.8758,14.4592,9.14159,15.171,7.44947,0,12.672,10.6575,0,0,10.4879,0,0,37.8023,0,0,0,0,0,7.23471,0,0,0,0,99.4243,0,99.4008,0,0,0,0,0,0,0,0,0,0,0,0,134.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.793,0,0,0,0,0,0,0,0,115.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6364,18.1818,13.6364,0,9.09091,0,4.54545,0,0,4.54545,0,0,0,0,0,4.54545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,4.54545,0,0,0,0,4.54545,0,4.54545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54545,0,0,0,0,4.54545
901,0,8.25075,13.7654,10.2898,11.6354,6.99873,15.2787,10.6653,12.5316,6.36282,10.4445,0,0,33.3449,0,11.0049,0,69.7702,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4161,99.1813,0,0,0,0,0,0,0,103.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333,3.33333,6.66667,6.66667,10,23.3333,16.6667,3.33333,0,0,3.33333,0,0,0,0,0,3.33333,0,0,0,0,0,0,0,0,0,0,0,0,3.33333,0,0,0,0,3.33333,0,0,0,0,0,0,0,0,0,0,0,6.66667,0,0,0,0,3.33333,0,3.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,0,7.49887,8.84713,8.26217,12.0607,19.3827,5.85791,0,8.57817,8.32802,11.3013,31.0662,12.9454,50.8093,3.97135,5.33246,0,0,0,75.0458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5641,10.2564,5.12821,10.2564,20.5128,23.0769,2.5641,5.12821,0,0,0,0,2.5641,0,0,0,0,0,2.5641,0,0,2.5641,0,0,0,0,0,0,0,2.5641,2.5641,0,0,0,0,0,0,2.5641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,0,0,9.73558,10.7234,13.3641,13.8498,10.668,20.2249,12.0044,13.7608,18.0455,8.1947,18.2167,8.28627,27.6482,0,7.51577,39.0332,12.4126,0,74.3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.347,45.0299,0,0,0,0,0,0,157.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444,0,2.22222,12.2222,15.5556,26.6667,8.88889,10,2.22222,2.22222,0,0,1.11111,0,0,1.11111,1.11111,2.22222,0,0,0,1.11111,1.11111,1.11111,1.11111,0,0,1.11111,0,0,0,0,0,0,0,1.11111,0,1.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111,0,0,0,0,0,0,0,0,1.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,0,8.67784,11.2255,10.8505,10.9155,11.2827,14.3885,13.4309,12.2381,10.4856,11.7638,5.91378,17.5541,65.1407,21.4953,39.9551,57.4919,0,0,0,1.28525,0,0,0,0,0,0,0,0,0,105.063,0,112.072,0,0,0,0,0,0,0,0,124.439,0,0,0,0,0,0,0,0,0,0,0,164.462,0,0,0,144.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857,2.85714,4.28571,9.28571,27.8571,17.8571,11.4286,3.57143,2.85714,1.42857,2.14286,0.714286,1.42857,0,0.714286,0,0.714286,0.714286,0,1.42857,0,0.714286,0,0,0,0,0.714286,0,0,0,0,1.42857,0.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0.714286,0,0,0,0,0,0.714286,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0.714286,0,0,0,0.714286,0,0,0,0,0.714286,0,0,0,0,0,0,0,0,0,0,0,0.714286
2101,0,9.08538,9.51453,11.9001,11.4006,14.5426,10.2774,7.07478,18.8018,21.7357,21.3715,0,14.7903,8.21272,7.09969,6.62135,0,73.482,0,0,0,3.16603,82.9923,0,7.23787,0,0,0,0,0,0,0,99.8341,0,0,0,0,101.111,0,0,132.375,0,0,0,0,0,0,0,0,0,0,0,0,0,144.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.218,0,0,0,0,0,0,0,90.8239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,5.20833,5.20833,13.5417,13.5417,25,8.33333,2.08333,2.08333,1.04167,2.08333,1.04167,1.04167,1.04167,0,4.16667,1.04167,0,0,0,0,2.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04167,0,0,0,0,1.04167,0,0,0,0,0,0,0,1.04167,1.04167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04167,0,0,0,0,0,1.04167,0,0,0,0,0,0,1.04167,1.04167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,10.2046,0,9.66628,10.952,11.0362,11.7655,9.28139,9.09534,11.6239,22.2984,20.5512,7.35601,21.157,6.50762,11.7126,37.9136,11.7616,7.46208,0,0,3.177,73.1952,0,87.9963,0,0,0,0,0,0,0,0,0,0,110.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05344,3.81679,3.05344,16.7939,19.084,22.9008,10.687,8.39695,1.52672,0.763359,0,0.763359,0,0.763359,0,0,0,0,0,0,0,0.763359,0,0.763359,0,0.763359,1.52672,0,0,0,0,0,0,0.763359,0,0.763359,0,0,0.763359,0,0,0,0,0.763359,0,0,0,0,0,0,0,0,0,0.763359,0,0,0.763359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2701,0,9.33793,9.67015,11.8559,11.5162,12.9167,10.2895,12.2209,10.7623,12.2275,9.12825,20.1344,8.32471,28.0735,19.4575,48.6251,0,0,0,0,0,0,3.15243,0,0,95.1395,0,0,0,0,0,0,0,0,0,0,106.627,0,0,0,0,0,0,0,87.6434,0,0,0,0,0,0,0,0,0,0,0,0,0,146.944,0,0,0,0,0,0,0,0,0,177.059,0,0,0,0,0,0,0,0,0,0,196.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07692,1.53846,3.84615,13.8462,17.6923,27.6923,9.23077,1.53846,2.30769,3.07692,1.53846,0.769231,1.53846,0.769231,0,0,0,0,0.769231,0,0,0.769231,0.769231,0.769231,0,0.769231,0,0.769231,0,0,0,1.53846,0,0,0,0,0,0,0,0,0,0,0,0.769231,0,0,0,0.769231,0,0,0,0,0,0.769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769231,0,0,0,0,0,0,0,0,0.769231,0,0.769231
