avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240815 00:01:00,60,,21.4003,,0.366,243.651,377.634,74.1631,172.99
20240815 00:02:01,121,,21.2013,,0.294833,241.216,372.84,69.6449,174.819
20240815 00:03:00,180,,18.9602,,0.275333,250.197,378.36,77.1786,111.079
20240815 00:04:00,240,,17.8413,,0.155833,249.945,375.116,64.3421,88.4316
20240815 00:05:00,300,,19.2088,,1.59,244.879,378.538,88.6734,470.881
20240815 00:06:00,360,,18.3017,,0.3525,244.791,369.622,75.3584,145.936
20240815 00:07:01,421,,17.4093,,0.6155,250.432,371.955,77.4761,221.132
20240815 00:08:00,480,,18.1288,,0.523667,241.762,367.514,74.6774,229.086
20240815 00:09:00,540,,17.8898,,0.2985,246.943,379.681,72.5872,109.479
20240815 00:10:00,600,,17.7687,,0.663167,251.262,378.019,81.0968,294.004
20240815 00:11:00,660,,17.4095,,0.1195,247.119,367.039,67.0807,81.9816
20240815 00:12:01,721,,18.5398,,0.255167,244.814,369.899,70.3636,136.519
20240815 00:13:00,780,,18.0803,,2.1665,249.302,375.62,84.7101,496.342
20240815 00:14:00,840,,20.1683,,0.329667,246.431,367.42,66.621,145.355
20240815 00:15:01,901,,18.5593,,0.309333,247.326,374.008,72.7544,127.443
20240815 00:16:00,960,,17.5888,,0.182,245.974,371.121,66.7482,103.654
20240815 00:17:00,1020,,17.5198,,0.156167,252.443,376.398,64.0095,82.5885
20240815 00:18:00,1080,,18.0882,,0.2045,246.34,369.812,68.8115,120.798
20240815 00:19:00,1140,,18.1412,,0.386167,252.145,377.386,73.4551,111.67
20240815 00:20:01,1201,,19.4098,,0.799167,250.018,382.745,77.9446,160.717
20240815 00:21:00,1260,,22.8697,,0.6185,251.429,381.771,79.4184,171.533
20240815 00:22:00,1320,,22.9622,,0.524,239.169,375.133,72.6854,119.668
20240815 00:23:00,1380,,20.4997,,0.258333,241.965,374.362,70.8886,124.719
20240815 00:24:00,1440,,20.1295,,0.418167,235.108,366.624,79.1445,123.11
20240815 00:25:00,1500,,18.6613,,0.697,245.011,366.903,75.8852,188.817
20240815 00:26:00,1560,,18.68,,0.648167,246.928,376.217,77.9213,134.525
20240815 00:27:00,1620,,18.3002,,0.883167,257.6,379.962,74.7129,131.314
20240815 00:28:00,1680,,19.1395,,2.97833,253.408,376.603,81.04,407.986
20240815 00:29:00,1740,,18.5308,,2.83033,251.127,377.862,79.011,329.659
20240815 00:30:01,1801,,20.6592,,2.80483,273.684,394.309,78.3149,309.904
20240815 00:31:00,1860,,19.2793,,1.58883,270.204,390.482,73.5954,153.606
20240815 00:32:00,1920,,17.7093,,2.3425,258.819,380.449,76.8583,158.018
20240815 00:33:00,1980,2.16,19.1188,1.2155,1.88817,255.581,381.096,73.5826,156.414
20240815 00:34:00,2040,,20.21,,3.34817,261.236,386.316,78.5479,268.385
20240815 00:35:00,2100,,20.9575,,2.31067,271.482,391.486,74.4768,180.15
20240815 00:36:00,2160,2.39,20.6392,1.1765,1.82967,272.599,390.875,70.477,164.612
20240815 00:37:01,2221,2.27,17.109,2.10467,3.27433,272.041,390.475,73.0105,384.902
20240815 00:38:00,2280,,17.0495,,2.16017,266.83,386.493,74.4982,194.854
20240815 00:39:00,2340,,17.2092,,2.402,261.318,379.221,72.512,232.398
20240815 00:40:00,2400,,18.8197,,1.63,248.24,372.602,76.2585,172.418
20240815 00:41:00,2460,,24.1407,,2.83233,239.002,373.452,79.5695,339.245
20240815 00:42:01,2521,,25.0592,,1.538,238.141,369.754,72.7167,130.199
20240815 00:43:00,2580,,25.0995,,1.637,236.556,373.856,76.8154,145.589
20240815 00:44:00,2640,,25.57,,2.60733,244.278,375.109,80.0538,248.727
20240815 00:45:01,2701,,23.9492,,1.23833,238.584,370.651,72.8288,136.071
20240815 00:46:00,2760,,23.4588,,2.3485,237.546,366.018,77.9386,242.005
20240815 00:47:00,2820,,22.9113,,1.56783,245.122,374.376,75.8808,156.053
20240815 00:48:01,2881,,22.46,,1.92533,244.662,370.52,79.1977,192.192
20240815 00:49:00,2940,,17.7907,,1.056,248.449,372.067,69.2337,140.511
20240815 00:50:00,3000,,15.6498,,2.142,250.489,368.824,78.7108,214.741
20240815 00:51:00,3060,,16.3102,,3.32833,249.154,362.981,77.4383,246.218
20240815 00:52:00,3120,,18.9102,,2.36317,263.395,377.849,70.5524,179.924
20240815 00:53:01,3181,,16.5503,,1.6435,264.235,378.552,70.3711,131.771
20240815 00:54:00,3240,,15.4695,,2.72417,255.854,370.854,74.4891,218.427
20240815 00:55:00,3300,,16.9002,,3.04467,264.858,377.764,76.0486,187.595
20240815 00:56:00,3360,4.07983,18.7995,2.51517,3.9075,264.85,381.397,74.5362,185.432
20240815 00:57:00,3420,3.51016,17.3112,1.7445,2.71117,263.215,378,73.7625,123.034
20240815 00:58:00,3480,,21.3695,,3.8405,273.959,388.137,77.8815,203.372
20240815 00:59:00,3540,,18.041,,1.64867,269.478,381.638,74.0841,144.39
20240815 01:00:00,3600,,23.501,,1.05817,280.304,393.419,69.6897,121.606
20240815 01:01:00,3660,,24.7018,,1.834,278.642,389.961,74.405,152.039
20240815 01:02:00,3720,,24.7492,,2.71083,266.853,381.012,76.8392,430.987
20240815 01:03:00,3780,,21.2308,,1.6005,259.444,381.276,75.7733,153.052
20240815 01:04:00,3840,,19.64,,2.01733,259.171,376.289,75.4635,210.78
20240815 01:05:01,3901,2.05,19.8698,1.2235,1.9025,256.051,372.956,73.1904,165.685
20240815 01:06:00,3960,,19.9398,,2.53433,262.536,381.854,75.3779,148.686
20240815 01:07:00,4020,,20.5295,,2.4305,258.323,375.786,73.8118,153.756
20240815 01:08:00,4080,3.44,22.8998,3.06217,4.76233,259.41,374.906,79.3219,228.5
20240815 01:09:00,4140,3.21017,26.2585,1.9035,2.95833,253.857,375.837,76.7795,150.505
20240815 01:10:01,4201,3.43,36.52,2.34583,3.64633,267.873,389.95,78.1967,165.374
20240815 01:11:00,4260,3.42967,35.3092,4.235,6.58067,256.251,380.122,81.5531,373.764
20240815 01:12:00,4320,3.11,25.7998,2.19117,3.405,242.596,362.88,76.5975,193.454
20240815 01:13:00,4380,2.94,22.9,1.971,3.064,241.649,358.669,77.9036,169.113
20240815 01:14:00,4440,,22.4602,,3.89017,256.97,374.055,78.3769,191.502
20240815 01:15:01,4501,,25.5195,,2.87917,265.786,383.281,80.4632,187.905
20240815 01:16:00,4560,,20.1215,,1.50217,258.981,373.69,71.9563,170.004
20240815 01:17:00,4620,,23.8802,,2.6075,267.615,388.392,76.4174,188.798
20240815 01:18:00,4680,,24.3897,,4.14917,278.159,396.036,83.3848,352.02
20240815 01:19:01,4741,,16.8518,,1.6965,267.03,384.137,76.1233,138.93
20240815 01:20:00,4800,,20.0993,,4.051,262.198,377.486,77.9958,355.589
20240815 01:21:00,4860,2.81017,25.8698,2.92033,4.54267,268.605,383.847,76.8819,342.787
20240815 01:22:00,4920,2.46,24.819,2.595,4.03133,263.418,382.163,77.25,356.958
20240815 01:23:01,4981,2.56,25.9285,1.8885,2.93683,262.241,380.122,80.7888,156.704
20240815 01:24:00,5040,,22.2297,,3.4695,261.922,378.413,78.6546,250.86
20240815 01:25:00,5100,,19.2087,,2.3025,262.381,381.537,76.8573,157.395
20240815 01:26:00,5160,,18.8595,,2.84267,263.234,380.315,82.7483,265.345
20240815 01:27:00,5220,,18.4,,1.24783,269.254,380.758,76.9304,142.032
20240815 01:28:00,5280,,18.4997,,2.43617,263.136,376.898,78.9534,307.181
20240815 01:29:01,5341,,20.5303,,2.85917,266.431,384.803,84.8439,253.127
20240815 01:30:00,5400,,21.6607,,1.08517,267.083,381.885,72.1772,137.186
20240815 01:31:00,5460,,22.67,,2.52333,263.337,383.332,76.4286,438.706
20240815 01:32:00,5520,,23.7598,,2.66033,256.425,376.551,79.5181,276.545
20240815 01:33:00,5580,,22.1092,,2.01333,253.097,370.736,76.6999,151.294
20240815 01:34:00,5640,2.25,21.8192,1.79767,2.79667,255.564,377.384,77.5215,221.708
20240815 01:35:00,5700,,25.489,,2.38767,262.75,382.929,74.6209,149.162
20240815 01:36:00,5760,,26.6298,,3.4335,259.09,377.153,80.2305,179.039
20240815 01:37:00,5820,,26.4683,,3.34333,260.978,378.436,78.2045,171.629
20240815 01:38:00,5880,3.36983,28.8898,2.38733,3.7125,261.682,377.536,79.692,153.453
20240815 01:39:00,5940,3.24,29.6493,2.59667,4.03767,267.206,383.742,77.326,267.942
20240815 01:40:00,6000,3.31983,28.3312,3.5345,5.4955,262.711,379.553,80.3854,320.022
20240815 01:41:00,6060,3.58016,24.8888,2.7625,4.29733,263.237,383.722,79.11,179.371
20240815 01:42:00,6120,3.60017,21.7307,2.877,4.47667,265.663,378.372,76.4753,287.467
20240815 01:43:00,6180,3.55,19.7693,2.22033,3.45283,256.756,368.921,77.2157,145.274
20240815 01:44:01,6241,3.70016,18.4615,2.26933,3.5305,255.755,369.628,76.0208,149.493
20240815 01:45:00,6300,3.63983,19.4295,1.85267,2.881,245.358,356.46,72.0233,147.241
20240815 01:46:00,6360,3.85016,20.8297,3.4205,5.32267,251.863,367.655,76.9015,251.233
20240815 01:47:00,6420,3.54983,21.9685,3.10833,4.835,247.95,363.296,80.4425,196.398
20240815 01:48:00,6480,3.46017,21.3107,2.0775,3.23167,243.011,355.09,74.4248,161.947
20240815 01:49:00,6540,,20.0303,,3.1795,253.397,368.341,78.4299,147.253
20240815 01:50:00,6600,3.76016,21.7493,3.107,4.829,244.996,361.442,76.066,279.24
20240815 01:51:00,6660,3.66016,19.3305,2.96783,4.61533,246.012,364.676,78.8201,200.69
20240815 01:52:00,6720,3.45983,17.7288,2.65917,4.13633,257.023,364.774,74.8952,238.824
20240815 01:53:00,6780,3.62017,20.15,3.29617,5.129,259.794,370.5,78.0029,313.903
20240815 01:54:00,6840,4,24.7507,4.37333,6.80333,250.63,370.646,80.2024,332.233
20240815 01:55:00,6900,3.92017,31.0207,2.487,3.8685,259.457,378.79,75.2432,171.814
20240815 01:56:00,6960,,32.9915,,6.8625,255.83,376.715,76.5644,335.293
20240815 01:57:01,7021,4.33967,32.57,3.189,4.96,254.588,383.602,75.854,193.373
20240815 01:58:01,7081,4.6,33.6612,2.94083,4.57367,254.626,373.97,73.5924,185.561
20240815 01:59:00,7140,4.3,31.7295,3.62967,5.64733,253.28,373.437,77.1542,260.315
20240815 02:00:00,7200,4.05983,29.7598,2.8695,4.46483,257.227,377.886,76.6802,192.27
20240815 02:01:00,7260,4.16,28.6202,2.9445,4.581,262.389,382.443,75.0997,212.797
20240815 02:02:00,7320,5.24033,30.0003,3.06517,4.77017,246.184,374.522,76.3248,141.008
20240815 02:03:00,7380,4.95017,27.7797,3.7255,5.795,252.075,377.098,77.2886,237.703
20240815 02:04:00,7440,4.84967,27.6798,2.7115,4.2205,250.037,371.483,75.9973,135.422
20240815 02:05:01,7501,5.49967,24.3088,3.6175,5.627,238.852,362.148,76.3142,166.848
20240815 02:06:00,7560,5.09983,26.619,4.26833,6.64167,239.729,364.694,78.0444,278.515
20240815 02:07:00,7620,4.31,28.7118,3.101,4.82367,245.665,369.245,77.1049,179.721
20240815 02:08:00,7680,4.31,28.2505,3.5395,5.50617,244.82,365.872,76.9396,235.941
20240815 02:09:00,7740,4.89,26.4398,3.19967,4.97633,242.2,364.246,77.5466,165.082
20240815 02:10:01,7801,4.70967,25.4085,2.94333,4.57933,244.233,373.714,75.9415,156.952
20240815 02:11:00,7860,4.13017,23.51,2.1965,3.41867,235.424,357.086,71.8498,154.402
20240815 02:12:00,7920,3.99,23.6602,4.0585,6.31517,238.914,362.175,84.991,230.8
