avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240718 00:01:01,61,,54.7815,,0.967333,218.159,315.494,72.0961,178.447
20240718 00:02:01,121,,,,0.791,210.562,293.828,69.1741,132.029
20240718 00:03:01,181,,52.4245,,0.625167,218.889,313.724,72.9913,117.805
20240718 00:04:01,241,,53.9865,,1.10917,212.514,306.992,83.4583,214.351
20240718 00:05:01,301,,,,0.901833,208.735,278.219,75.7051,150.666
20240718 00:06:00,360,,47.9995,,0.691667,214.395,299.467,74.399,124.2
20240718 00:07:00,420,,,,1.77367,215.274,303.316,79.4515,384.498
20240718 00:08:01,481,,46.9268,,1.081,214.252,297.081,81.4404,185.497
20240718 00:09:00,540,,47.2215,,0.5965,213.841,294.824,71.4425,133.785
20240718 00:10:01,601,,46.6638,,0.660333,213.157,295.152,71.3269,138.022
20240718 00:11:01,661,,49.6173,,0.699667,214.458,301.194,70.5391,122.433
20240718 00:12:01,721,,47.6213,,1.66433,219.995,317.029,76.8977,390.325
20240718 00:13:00,780,,43.8738,,1.03467,225.65,319.665,76.957,174.084
20240718 00:14:00,840,,42.0797,,0.6085,216.263,292.295,70.729,121.106
20240718 00:15:01,901,,42.8943,,0.821333,221.656,303.021,77.7962,134.604
20240718 00:16:01,961,,43.2502,,0.679,220.377,301.695,71.2989,112.971
20240718 00:17:01,1021,,,,0.556167,224.426,321.037,68.4368,98.925
20240718 00:18:01,1081,,53.7892,,0.984833,228.475,336.683,72.7545,193.725
20240718 00:19:00,1140,,47.372,,1.3145,223.595,314.196,76.0107,274.515
20240718 00:20:00,1200,,41.1443,,0.892667,214.765,285.703,73.7073,118.574
20240718 00:21:01,1261,,39.9938,,0.6275,221.964,293.699,72.2524,131.565
20240718 00:22:00,1320,,42.0875,,2.42467,219.233,283.13,82.2153,424.119
20240718 00:23:01,1381,,46.5435,,0.581333,221.831,317.433,68.2169,110.835
20240718 00:24:01,1441,,45.7177,,0.4855,219.115,308.689,66.1271,111.749
20240718 00:25:01,1501,,44.3582,,0.726167,216.07,301.271,74.9626,165.033
20240718 00:26:01,1561,,42.9238,,1.014,215.841,293.831,76.2351,160.088
20240718 00:27:01,1621,,40.8122,,0.762,218.168,289.837,71.2093,111.091
20240718 00:28:00,1680,,40.8062,,0.933167,223.226,295.599,74.7696,159.773
20240718 00:29:01,1741,,43.2125,,0.791167,220.745,299.221,76.0094,143.268
20240718 00:30:01,1801,,,,1.27183,214.085,291.326,81.5364,221.616
20240718 00:31:00,1860,,38.5255,,1.6035,212.877,281.13,83.0842,335.121
20240718 00:32:01,1921,,40.9285,,1.0355,214.092,289.836,79.2986,149.413
20240718 00:33:00,1980,,43.0548,,0.8135,216.382,305.151,75.8771,143.076
20240718 00:34:01,2041,,,,0.993333,216.861,292.933,76.9542,156.409
20240718 00:35:01,2101,,41.0345,,0.683833,217.433,295.209,74.5419,118.803
20240718 00:36:00,2160,,43.0465,,0.589167,216.301,286.024,72.6391,113.536
20240718 00:37:01,2221,,41.1285,,0.544833,221.518,293.734,74.6463,110.893
20240718 00:38:00,2280,,37.7528,,0.639,219.29,285.988,71.4205,130.273
20240718 00:39:00,2340,,40.7843,,0.713333,220.296,290.061,71.9167,116.278
20240718 00:40:01,2401,,45.69,,0.646167,215.49,292.417,71.837,134.951
20240718 00:41:01,2461,,48.2568,,1.18433,209.738,278.531,73.0982,259.206
20240718 00:42:01,2521,,,,0.962167,215.994,295.925,77.4919,168.91
20240718 00:43:01,2581,,,,0.755333,211.934,274.105,73.2127,130.379
20240718 00:44:01,2641,,43.8042,,0.483,213.306,293.497,67.2513,102.695
20240718 00:45:00,2700,,43.4352,,0.663,216.078,296.703,72.9884,155.198
20240718 00:46:01,2761,,47.572,,0.550667,208.226,285.606,70.5807,94.6469
20240718 00:47:01,2821,,44.8172,,0.865167,214.54,295.36,76.3178,179.195
20240718 00:48:00,2880,,48.9345,,0.9475,214.319,297.33,74.0092,192.603
20240718 00:49:01,2941,,48.0113,,0.977833,209.715,277.416,72.077,156.494
20240718 00:50:00,3000,,45.2607,,0.645,212.427,291.001,68.3557,137.601
20240718 00:51:00,3060,,44.5092,,1.195,211.358,277.767,80.3916,208.409
20240718 00:52:00,3120,,46.63,,1.36517,211.642,283.122,85.1116,201.693
20240718 00:53:00,3180,,50.9302,,1.147,211.506,291.52,75.0702,188.262
20240718 00:54:01,3241,,52.8397,,0.901166,218.431,304.807,75.6138,149.687
20240718 00:55:00,3300,,,,1.80117,218.759,293.999,78.5093,267.502
20240718 00:56:01,3361,,39.5987,,0.5425,221.192,305.598,73.4951,107.128
20240718 00:57:01,3421,,,,0.959167,221.379,311.738,75.9073,178.84
20240718 00:58:01,3481,,47.0403,,0.582,220.442,304.437,69.1683,109.493
20240718 00:59:01,3541,,48.7768,,1.048,216.836,301.24,77.0944,271.305
20240718 01:00:00,3600,,56.4885,,1.29783,205.892,278.926,83.5359,204.097
20240718 01:01:00,3660,,53.5597,,0.769333,211.128,299.978,79.2214,136.891
20240718 01:02:01,3721,,,,0.909833,226.612,318.315,78.9172,143.233
20240718 01:03:01,3781,,51.7278,,0.925333,218.082,300.999,75.8099,191.193
