coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
1,0,0,9.42581,14.2559,25.1442,37.4392,33.8149,37.0748,40.1482,29.3026,37.009,42.3796,41.7408,44.0147,0,58.9791,59.3673,49.7487,57.4468,61.5037,77.1753,80.9296,76.6071,85.4177,77.8267,92.4665,90.9514,76.9608,93.4088,0,0,0,95.0126,0,105.785,109.962,116.037,0,0,122.617,0,0,0,0,127.548,142.285,134.285,0,0,0,0,0,0,0,0,0,0,175.791,0,0,182.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222,2.22222,2.22222,0,0,1.11111,1.11111,1.11111,0,3.33333,2.22222,2.22222,3.33333,1.11111,2.22222,3.33333,4.44444,1.11111,3.33333,1.11111,5.55556,2.22222,1.11111,1.11111,1.11111,2.22222,2.22222,4.44444,0,1.11111,0,1.11111,3.33333,2.22222,1.11111,2.22222,2.22222,2.22222,5.55556,0,2.22222,1.11111,0,1.11111,2.22222,0,1.11111,1.11111,1.11111,0,0,0,1.11111,0,0,3.33333,0,0,0,0,2.22222,0,0,0,1.11111,0,0,0,1.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111,0,0,0,1.11111,0,0,0,0,0,0,0,0
301,0,0,9.10828,17.8093,21.3201,9.14023,36.4138,44.2386,44.5963,30.3975,13.1962,36.5407,50.3676,38.4036,56.5262,55.8591,42.4339,0,74.1929,65.574,64.9738,77.4975,82.0074,0,74.233,65.9856,77.9068,0,94.6023,94.4774,0,102.802,100.518,0,102.996,0,0,114.85,0,127.599,0,134.658,137.913,139.761,0,0,115.615,0,0,0,0,99.8924,161.755,110.244,0,0,0,0,0,0,0,0,0,0,190.438,187.144,195.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185,0,0.925926,0,2.77778,0.925926,0,1.85185,1.85185,0.925926,0,0,1.85185,0.925926,0.925926,2.77778,0.925926,2.77778,0.925926,4.62963,2.77778,1.85185,0.925926,5.55556,1.85185,2.77778,2.77778,0.925926,0,1.85185,1.85185,3.7037,0,3.7037,2.77778,2.77778,0,2.77778,2.77778,1.85185,0.925926,2.77778,0,0,0,0.925926,0,1.85185,0.925926,1.85185,2.77778,0,2.77778,0,0.925926,0.925926,0,0.925926,0,0,0.925926,0,0.925926,0.925926,0.925926,0,0,0.925926,0.925926,0.925926,0,0,0,0,0,0,0,0,0,0,0.925926,0,0,0,0,0,0,0,0,0,0,0,0.925926,0,1.85185,0.925926,0,0.925926,0,0
601,0,0,0,27.3658,24.375,24.5102,21.1131,24.1472,34.0899,38.1234,47.4059,37.9618,45.4977,58.6811,52.1573,61.588,57.8934,66.4227,0,71.8346,70.576,80.6408,78.5002,0,82.8986,98.6687,88.9765,97.8029,0,93.9033,0,0,99.1939,0,0,109.459,121.818,89.6811,0,0,0,0,124.409,130.808,134.582,0,0,0,0,0,0,0,0,0,0,0,164.939,0,0,0,0,0,0,180.56,0,0,0,0,174.155,0,0,0,0,0,0,0,0,0,197.744,81.6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19149,1.06383,0,1.06383,1.06383,0,2.12766,0,2.12766,1.06383,3.19149,1.06383,1.06383,1.06383,0,0,2.12766,4.25532,1.06383,4.25532,0,1.06383,3.19149,6.38298,3.19149,2.12766,4.25532,0,0,4.25532,3.19149,3.19149,3.19149,1.06383,1.06383,1.06383,8.51064,2.12766,1.06383,0,1.06383,2.12766,1.06383,1.06383,2.12766,2.12766,0,0,0,0,0,0,0,1.06383,0,0,2.12766,1.06383,1.06383,0,0,0,0,1.06383,0,1.06383,0,0,0,0,0,0,0,0,0,0,0,0,1.06383,0,0,0,0,1.06383,0,0,1.06383,0,0,0,0,0,0,0,1.06383,0
901,0,0,0,12.2481,32.0897,19.9021,31.4907,24.4468,39.2202,43.7728,47.4193,48.5787,55.076,51.6346,58.9371,54.2737,0,54.2808,76.4819,63.0548,77.3495,0,83.0468,84.8231,0,86.789,88.4006,98.2221,77.5028,101.07,108.605,108.067,113.755,114.319,113.413,117.623,0,117.973,0,0,117.697,131.613,137.789,0,142.055,0,0,0,0,146.281,0,0,0,126.668,0,0,0,0,0,0,0,0,0,0,189.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05263,0,0,1.05263,1.05263,1.05263,0,1.05263,1.05263,1.05263,2.10526,1.05263,2.10526,0,2.10526,2.10526,1.05263,1.05263,5.26316,2.10526,2.10526,3.15789,7.36842,1.05263,3.15789,2.10526,6.31579,5.26316,0,1.05263,4.21053,0,0,0,2.10526,2.10526,3.15789,1.05263,0,1.05263,0,0,2.10526,1.05263,2.10526,1.05263,0,1.05263,1.05263,0,0,0,2.10526,0,4.21053,2.10526,3.15789,0,0,0,1.05263,0,0,1.05263,0,0,1.05263,1.05263,0,1.05263,0,1.05263,0,0,0,0,0,0,0,1.05263,0,0,0,0,0,0,0,0,0,0,0,0,1.05263,0,0,0,0,0
1201,0,0,8.04887,18.1485,13.4679,38.3421,26.4301,36.7647,32.5743,35.1616,46.7987,49.4193,52.8144,39.4613,61.382,50.7251,69.4958,63.4858,76.4857,52.5777,0,75.6755,77.0039,72.9938,71.1827,86.3479,54.905,98.551,97.7711,100.208,0,102.656,99.6974,105.56,0,110.694,122.305,0,0,0,0,0,0,0,123.527,0,0,0,129.346,0,0,152.114,0,0,168.261,0,173.001,0,0,0,0,173.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80374,0.934579,0,1.86916,0,1.86916,1.86916,3.73832,0.934579,2.80374,0.934579,0.934579,0.934579,0.934579,2.80374,4.6729,1.86916,2.80374,2.80374,0,1.86916,2.80374,4.6729,2.80374,2.80374,4.6729,4.6729,3.73832,0.934579,1.86916,0.934579,0.934579,0.934579,0.934579,1.86916,0.934579,0.934579,2.80374,0.934579,0,0.934579,0,1.86916,1.86916,1.86916,1.86916,0.934579,1.86916,1.86916,0.934579,0,0.934579,0,0,0,0,0,1.86916,0,0,0,0,0,0,0,0,0,0.934579,0,0,0,0.934579,0.934579,0,0,0,0,0,0,0,0.934579,0,1.86916,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,0,0,5.72401,11.0382,25.5021,26.5531,27.4314,27.6464,36.4026,49.3136,41.1483,29.1448,43.5497,43.6894,61.1447,62.0885,38.4323,60.4064,60.5151,70.1774,70.6341,72.7195,85.9178,85.6795,0,89.7214,92.2941,98.3335,89.4933,106.561,90.0322,108.732,106.96,112.702,110.81,0,0,0,0,0,0,0,130.639,131.832,131.117,0,0,0,0,0,0,0,0,0,0,0,0,175.489,0,0,0,0,0,0,191.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83486,2.75229,2.75229,2.75229,0.917431,0.917431,0,0.917431,0.917431,1.83486,2.75229,2.75229,2.75229,1.83486,0.917431,0.917431,0.917431,0.917431,2.75229,1.83486,2.75229,0,3.66972,4.58716,0.917431,2.75229,1.83486,1.83486,3.66972,3.66972,2.75229,2.75229,0,1.83486,0,1.83486,2.75229,0.917431,0.917431,0.917431,2.75229,0.917431,1.83486,0.917431,1.83486,0,1.83486,2.75229,0,0.917431,0,1.83486,0.917431,0.917431,0.917431,0.917431,0,0,0,0,0,0,0.917431,1.83486,0,0.917431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917431,0,0.917431,0,0,0,0,0,0.917431,0,0,0,0
1801,0,0,22.1737,14.6918,19.6253,20.309,30.4066,28.2277,37.3817,36.9967,46.3508,38.9252,44.9234,50.6685,37.696,57.811,67.4473,60.6308,63.7296,79.082,35.6237,79.3105,78.6489,82.5169,72.2886,94.3117,90.7119,90.6438,93.5444,0,108.725,0,0,113.011,113.001,0,0,0,127.941,0,131.219,0,0,139.302,135.584,0,0,0,0,153.889,158.661,0,0,153.277,0,166.906,171.268,0,0,0,181.146,176.908,0,0,0,0,194.149,0,187.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66667,1.66667,0.833333,0.833333,1.66667,3.33333,0.833333,0,0.833333,1.66667,0.833333,0,0.833333,3.33333,1.66667,0.833333,1.66667,5,0,1.66667,4.16667,0.833333,1.66667,0.833333,1.66667,2.5,3.33333,3.33333,0,3.33333,0.833333,2.5,1.66667,4.16667,1.66667,0,1.66667,2.5,3.33333,0.833333,0.833333,1.66667,1.66667,1.66667,1.66667,0.833333,0,0,0,0,0,2.5,0,0.833333,1.66667,0.833333,0,0,0,0,0.833333,1.66667,0,0,1.66667,0,0.833333,0.833333,0,0,0,0,0,0.833333,0,0.833333,0.833333,0.833333,0.833333,0,0,0,1.66667,0,0,1.66667,0,0.833333,0,0,0,0,0,0,0.833333,0,0.833333
2101,0,0,0,15.0015,24.4033,0,21.7511,27.5929,31.5391,34.5205,26.2785,33.1888,40.3603,57.9304,44.8343,44.9716,58.5838,49.5836,54.3375,61.3744,64.0772,72.277,72.6526,0,74.9855,87.9533,96.1848,0,0,0,0,107.746,0,0,111.782,0,119.934,121.91,122.297,0,0,132.905,0,0,0,0,0,0,127.097,0,0,0,0,0,0,0,0,147.738,0,0,0,0,181.532,0,0,193.453,0,183.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111,1.11111,0,2.22222,2.22222,2.22222,1.11111,0,1.11111,1.11111,2.22222,6.66667,1.11111,0,2.22222,1.11111,0,2.22222,1.11111,0,1.11111,1.11111,2.22222,4.44444,1.11111,4.44444,1.11111,6.66667,1.11111,2.22222,3.33333,1.11111,2.22222,2.22222,0,3.33333,3.33333,1.11111,0,1.11111,2.22222,1.11111,0,1.11111,0,2.22222,0,0,1.11111,0,0,1.11111,2.22222,0,1.11111,0,1.11111,1.11111,2.22222,1.11111,1.11111,0,2.22222,0,0,1.11111,0,0,0,0,0,0,1.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111,1.11111,0,0,1.11111,0,0,1.11111,0,0,0
2401,0,0,0,10.6041,28.6884,33.8112,34.4317,36.4402,35.6105,38.2844,32.379,29.3385,52.8009,55.5267,53.1113,41.249,66.5746,53.7672,55.9514,67.7832,57.2701,76.328,78.144,64.6028,83.7124,82.609,0,88.8569,76.6249,76.4381,103.404,0,93.5417,99.8184,0,119.11,122.391,121.435,101.299,116.754,129.581,126.18,116.711,132.156,0,0,0,0,0,0,0,0,0,134.234,0,0,163.947,0,0,0,0,179.771,0,0,0,180.712,194.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3245,2.64901,0.662252,2.64901,1.3245,0.662252,1.3245,0,0.662252,1.3245,3.31126,0.662252,2.64901,1.98675,1.3245,3.97351,0.662252,1.98675,1.3245,3.97351,5.29801,2.64901,3.31126,5.29801,1.3245,1.3245,1.98675,1.98675,1.98675,0.662252,1.98675,3.31126,2.64901,1.3245,0.662252,1.98675,0.662252,1.98675,1.3245,0.662252,1.3245,0.662252,1.98675,0.662252,0,0,0.662252,1.98675,0.662252,1.3245,0,0.662252,0.662252,0.662252,0,0.662252,1.98675,0,1.98675,0.662252,0.662252,0.662252,1.3245,0.662252,0.662252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662252,0,0,0,0,0,0,0,0.662252,0.662252,0,0,0,0,0,0,0.662252,0,0
2701,0,0,0,11.7191,20.5475,26.119,30.1023,32.8956,44.9908,38.4605,44.0858,40.5842,43.7522,52.3179,50.6833,61.4426,64.3574,44.7698,63.7917,73.4088,70.0141,61.3364,78.2153,86.6231,92.3151,95.1608,0,101.072,97.17,94.3497,106.232,104.642,113.013,97.2573,114.586,99.5054,0,117.304,125.199,129.741,0,0,133.426,136.366,0,0,0,0,151.201,152.223,0,0,0,147.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757576,0,0,0,0.757576,2.27273,2.27273,1.51515,2.27273,0.757576,1.51515,0.757576,1.51515,2.27273,1.51515,0.757576,0.757576,3.78788,4.54545,0,2.27273,2.27273,1.51515,2.27273,3.78788,3.0303,2.27273,2.27273,3.0303,1.51515,6.81818,1.51515,3.0303,0.757576,3.0303,3.0303,0,0.757576,2.27273,0.757576,1.51515,0.757576,0,1.51515,0.757576,1.51515,0.757576,0.757576,0.757576,0.757576,2.27273,0.757576,0,0.757576,0.757576,0.757576,0.757576,0.757576,1.51515,0.757576,0.757576,0,0,0,1.51515,0,1.51515,0,1.51515,0,0,0,0,0,0,0.757576,0.757576,0,0,0,0,0.757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
