avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 02:56:00,10560,,86.0182,,0.2695,237.542,332.939,72.3075,110.826
20240711 02:57:00,10620,,101.555,,0.2855,259.462,370.003,69.3725,119.95
20240711 02:58:00,10680,,97.1185,,0.296,271.09,380.903,72.8832,117.104
20240711 02:59:00,10740,,111.786,,0.270833,271.596,380.315,74.1006,133.373
20240711 03:00:00,10800,,,,0.180833,256.872,369.982,62.756,94.1779
20240711 03:01:00,10860,,123.048,,0.295833,260.621,372.43,70.7277,132.89
20240711 03:02:00,10920,,114.436,,0.492833,253.239,363.847,75.835,155.956
20240711 03:03:00,10980,,131.81,,0.841667,259.489,372.874,74.8226,226.683
20240711 03:04:00,11040,,,,0.949333,254.159,369.921,76.2853,206.198
20240711 03:05:00,11100,,143.236,,0.365333,263.794,379.407,69.223,166.604
20240711 03:06:00,11160,,158.243,,0.258333,269.399,386.444,70.5142,102.214
20240711 03:07:00,11220,,150.671,,0.424167,258.746,378.039,71.0434,119.444
20240711 03:08:00,11280,,184.208,,0.296833,278.084,393.686,65.1831,107.192
20240711 03:09:00,11340,,146.636,,0.431833,269.239,384.403,74.0647,144.55
20240711 03:10:00,11400,,157.289,,1.93433,284.933,395.58,82.1551,519.298
20240711 03:11:00,11460,,171.799,,0.479667,271.834,387.379,78.3084,121.1
20240711 03:12:00,11520,,168.073,,0.6635,276.571,392.525,81.6611,240.584
20240711 03:13:00,11580,,,,0.242333,276.558,391.958,67.8789,109.921
20240711 03:14:00,11640,,147.776,,0.651833,258.99,376.505,74.432,213.868
20240711 03:15:00,11700,,138.579,,0.344167,261.03,379.643,72.3459,123.072
20240711 03:16:00,11760,,,,0.555833,273.179,388.272,71.6974,232.351
20240711 03:17:00,11820,,136.492,,0.19,265.665,382.223,65.3441,94.9498
20240711 03:18:00,11880,,135.714,,0.424167,260.839,379.057,67.9218,128.223
20240711 03:19:00,11940,,147.484,,0.699,269.965,387.308,69.642,278.3
20240711 03:20:00,12000,,134.161,,0.190833,264.038,381.31,61.4856,84.117
20240711 03:21:00,12060,,141.387,,0.34,273.889,389.175,70.3478,118.023
20240711 03:22:00,12120,,112.889,,0.6405,273.37,387.286,75.7382,206.937
20240711 03:23:00,12180,,,,0.415333,268.8,383.327,73.283,161.395
20240711 03:24:00,12240,,95.2788,,0.304333,237.242,340.453,70.0748,104.358
20240711 03:25:00,12300,,72.3363,,0.290833,221.104,280.094,73.4026,145.814
20240711 03:26:00,12360,,76.7637,,0.349333,219.824,284.283,74.8226,156.108
20240711 03:27:00,12420,,,,1.19533,225.27,292.114,85.986,314.728
20240711 03:28:00,12480,,,,0.436667,238.639,334.375,80.7627,131.912
20240711 03:29:00,12540,,1487.63,,0.464667,239.802,338.243,80.3256,147.03
20240711 03:30:00,12600,,96.4213,,0.249333,262.968,376.53,65.9098,91.6455
20240711 03:31:00,12660,,102.754,,0.234833,265.935,379.657,74.2509,104.82
20240711 03:32:00,12720,,111.652,,0.278167,251.64,363.246,69.3929,118.925
20240711 03:33:00,12780,,,,0.555333,238.895,356.562,68.4613,255.204
20240711 03:34:00,12840,,130.338,,0.366833,264.263,382.66,71.7534,170.963
20240711 03:35:00,12900,,151.851,,0.1855,274.208,391.609,59.7536,85.4076
20240711 03:36:00,12960,,114.214,,1.18883,243.974,360.902,76.8586,320.046
20240711 03:37:00,13020,,107.417,,0.192,224.52,331.214,64.7508,85.0776
20240711 03:38:00,13080,,128.358,,0.343833,240.486,360.583,73.7235,130.845
20240711 03:39:00,13140,,,,0.496167,245.586,366.98,78.6683,144.049
20240711 03:40:00,13200,,134.874,,0.292833,242.851,364.262,66.6184,115.222
20240711 03:41:00,13260,,152.42,,0.443667,254.608,377.171,70.7138,165.156
20240711 03:42:00,13320,,153.275,,0.224667,253.441,374.965,66.8047,88.3537
20240711 03:43:00,13380,,133.617,,0.554333,244.224,363.476,76.107,182.406
