seconds,tamb,rh,ws,wd
60,1.391,97.3,2.136,324.9
60,1.506,97.6,2.43,322.3
60,1.367,97.4,2.602,311
60,1.365,97.3,2.51,308.4
60,1.497,97.3,2.61,333.8
60,1.4,97.2,2.417,314.8
60,1.322,97.1,2.535,324.3
60,1.261,97.1,2.497,312.6
60,1.311,97.2,2.517,312.6
60,1.41,97.4,2.399,328.3
60,1.415,97.3,2.625,311.4
60,1.272,97.1,2.664,313.4
60,1.309,97.3,2.682,322.5
60,1.354,97.4,2.867,309.8
60,1.441,97.4,2.783,301.9
60,1.176,97.1,2.965,319.1
60,1.261,97.3,2.817,308.9
60,1.314,97.4,2.927,331.2
60,1.354,97.5,2.991,322.4
60,1.286,97.4,2.693,316.2
60,1.262,97.4,2.367,309.5
60,1.182,97.4,2.355,307.5
60,1.179,97.4,2.275,305.3
60,1.294,97.5,2.089,308.1
60,1.255,97.6,2.076,301.2
60,1.18,97.6,2.115,321.3
60,1.274,97.8,2.034,306.9
60,1.411,97.8,1.867,322
60,1.382,97.8,1.387,308.7
60,1.327,97.7,1.16,306.2
60,1.31,97.7,1.287,323
60,1.219,97.7,0.987,296.9
60,1.224,97.6,0.751,308.4
60,1.208,97.7,0.959,293.5
60,1.125,97.7,1.057,341.4
60,1.122,97.7,1.446,313.1
60,1.033,97.6,1.395,318.5
60,1.086,97.6,1.331,308.7
60,1.124,97.8,1.222,313.7
60,1.092,97.8,1.155,317.2
60,1.212,97.9,1.411,307.1
60,1.263,98,1.937,335.6
60,1.214,97.9,1.757,334.6
60,1.168,97.9,1.194,320.5
60,1.224,98,1.336,318.6
60,1.302,98,1.465,318.1
60,1.307,98,1.383,343.9
60,1.278,98,1.787,345.5
60,1.137,97.8,1.787,351.2
60,1.131,97.9,1.699,332.7
60,1.172,98,1.674,354.4
60,1.169,97.9,1.766,335.9
60,1.343,98,1.712,347.3
60,1.307,98.2,1.565,348.3
60,1.223,98.1,1.423,323.3
60,1.32,98.2,1.872,318.4
60,1.309,98,1.885,326.4
60,1.273,98.1,1.596,339.4
60,1.395,98.2,1.506,320.1
60,1.308,98.2,1.514,325.9
60,1.412,98.3,1.646,328.4
60,1.568,98.4,1.891,340.5
60,1.535,98.3,1.978,320.1
60,1.446,98.2,2.31,323.1
60,1.268,98,2.135,322.9
60,1.361,98.2,2.347,339.5
60,1.469,98.2,1.811,349.4
60,1.505,98.3,2.117,340.1
60,1.365,98.3,1.935,336.5
60,1.446,98.3,1.867,343.5
60,1.404,98.3,1.743,336.6
60,1.308,98.2,1.398,339.2
60,1.394,98.3,1.872,339.5
60,1.307,98.2,1.434,331.9
60,1.488,98.4,1.62,334
60,1.403,98.3,1.633,337.8
60,1.243,98.2,1.254,323.8
60,1.273,98.2,1.241,338.8
60,1.23,98.2,1.179,329.5
60,1.229,98.3,1.022,292.8
60,1.318,98.4,1.058,328.8
60,1.494,98.4,1.326,328.2
60,1.374,98.3,1.068,324.9
60,1.511,98.5,1.679,336.1
60,1.353,98.3,1.606,336.2
60,1.44,98.4,1.406,317.4
60,1.579,98.5,1.891,340.2
60,1.456,98.4,1.437,338.4
60,1.487,98.4,1.927,327.2
60,1.487,98.4,1.882,332.6
60,1.488,98.3,1.967,329.6
60,1.353,98.2,1.676,327.4
60,1.431,98.4,1.839,328.7
60,1.356,98.3,1.679,325.4
60,1.436,98.4,2.071,327.3
60,1.455,98.3,1.887,333.9
60,1.363,98.4,1.883,335.8
60,1.361,98.3,1.744,323.6
60,1.398,98.3,1.847,303.9
60,1.32,98.3,2.256,309.5
60,1.316,98.3,1.975,315.6
60,1.228,98.3,1.998,309.8
60,1.224,98.3,2.032,337.8
60,1.274,98.3,1.784,317.1
60,1.352,98.5,2.156,330.8
60,1.428,98.5,2.047,321.9
60,1.44,98.4,2.035,326.9
60,1.214,98.2,1.733,317.3
60,1.307,98.4,1.334,320.7
60,1.263,98.4,1.473,317.2
60,1.312,98.4,1.89,334.5
60,1.393,98.4,1.877,318.4
60,1.403,98.4,2.022,329.5
60,1.229,98.3,1.663,322.8
60,1.35,98.5,1.38,325.2
60,1.371,98.5,1.494,325.3
60,1.321,98.4,1.782,320
60,1.399,98.4,1.395,311.7
60,1.398,98.4,1.295,332.8
60,1.32,98.4,1.158,316
60,1.41,98.4,1.233,315.3
60,1.465,98.5,1.579,312.9
60,1.455,98.4,1.529,312
60,1.411,98.3,1.586,302.5
60,1.442,98.4,1.519,315.4
60,1.497,98.4,1.743,306
60,1.446,98.3,1.673,309.9
60,1.318,98.3,1.56,312.9
60,1.227,98.2,1.705,308.9
60,1.17,98.2,1.548,320.9
60,1.18,98.2,1.388,315.6
60,1.179,98.3,1.408,325.4
60,1.224,98.3,1.498,306.6
60,1.309,98.3,1.491,296.2
60,1.174,98.2,1.64,304.9
60,1.213,98.3,1.731,300.9
60,1.126,98.2,1.609,316.6
60,1.215,98.3,1.885,320.6
60,1.122,98.2,1.767,302.7
60,1.247,98.4,1.663,313.5
60,1.17,98.3,1.989,318.8
60,1.162,98.2,2.171,290.1
60,1.045,98.2,2.36,302
60,0.955,98.1,2.293,296.6
60,1.131,98.3,2.148,304.1
60,0.986,98.3,2.239,308.5
60,1.098,98.4,2.507,301.3
60,1.137,98.3,2.659,300.7
60,0.9,98.2,1.914,295
60,0.971,98.3,2.249,309.5
60,0.999,98.4,2.904,317.1
60,0.99,98.3,2.754,301.6
60,0.983,98.4,2.747,312.8
60,0.863,98.3,2.278,306.5
60,0.851,98.3,2.145,314.7
60,0.933,98.4,2.479,300.5
60,0.859,98.3,2.538,302.6
60,0.94,98.5,2.362,305.8
60,0.917,98.3,2.171,307.2
60,0.801,98.4,2.319,300
60,0.955,98.5,2.476,307.3
60,0.85,98.4,2.303,289.1
60,0.948,98.5,2.1,287.8
60,1.035,98.6,1.839,301.5
60,1.031,98.6,1.844,315.9
60,1.043,98.5,1.789,311.6
60,0.852,98.4,1.844,319.8
60,0.766,98.4,2.001,325.9
60,0.803,98.4,1.939,308.6
60,0.756,98.5,2.069,323.1
60,0.727,98.4,1.984,324.7
60,0.757,98.6,2.218,314.2
60,0.767,98.5,2.045,328.1
60,0.764,98.5,2.011,300.9
60,0.848,98.6,1.865,319.4
60,0.999,98.7,1.792,301.7
60,0.847,98.6,1.632,316.9
60,1,98.7,1.379,305.5
60,0.989,98.7,1.393,313.9
60,0.986,98.7,1.493,303.6
60,1.044,98.7,1.622,299.7
60,0.896,98.6,1.545,311.5
60,0.982,98.7,1.444,309.4
60,1.002,98.7,1.508,295.2
60,0.85,98.6,1.383,310.8
60,0.987,98.7,1.387,313.5
60,0.987,98.7,1.251,308.9
60,0.898,98.6,1.463,306.3
60,0.986,98.7,1.578,292.3
60,1.091,98.7,1.485,295.3
60,0.856,98.6,1.393,307.7
60,1.075,98.8,1.338,304.5
60,0.904,98.7,1.382,301.5
60,0.862,98.6,1.441,300.3
60,0.848,98.6,1.406,303.5
60,0.898,98.8,1.602,274.6
60,0.907,98.7,1.457,287.6
60,0.943,98.7,1.39,273.5
60,1.123,98.9,1.16,311.5
60,0.995,98.8,1.24,329.6
60,0.999,98.7,1.06,323.5
60,1.041,98.7,0.872,309.9
60,1.026,98.8,0.923,314.3
60,1.089,98.8,0.8,293.3
60,0.952,98.8,0.779,291.9
60,0.988,98.8,0.665,278.7
60,0.949,98.8,0.291,260.8
60,0.947,98.8,0.013,258.4
60,1.079,98.8,0.142,253.1
60,0.995,98.7,0.325,259.4
60,0.986,98.7,0.23,259.3
60,1.169,98.9,0,259.2
60,1.13,98.8,0,259.3
60,1.135,98.8,0,259.3
60,1.176,98.8,0,259.4
60,1.204,98.8,0,259.5
60,1.201,98.9,0.256,19.92
60,1.169,98.9,0.617,13.82
60,1.307,98.9,0.722,17.15
60,1.229,98.8,0.799,32.43
60,1.315,98.9,0.813,30.84
60,1.353,98.8,0.75,4.617
60,1.428,98.9,1.003,0.009
60,1.35,98.8,1.037,337.2
60,1.307,98.8,0.902,341
