avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240827 00:01:00,60,,3.4205,,0,313.318,412.056,78.6854,141.357
20240827 00:02:00,120,,,,0.00366667,302.946,411.761,66.5689,66.5689
20240827 00:03:00,180,,2.97033,,0.00183333,293.571,402.211,52.0616,52.0616
20240827 00:04:01,241,,,,0.00216667,300.563,409.671,54.9846,54.9846
20240827 00:05:00,300,,3.34967,,0.0438333,303.254,405.656,85.5884,148.312
20240827 00:06:00,360,,,,0.000833333,306.405,409.393,39.6189,39.6189
20240827 00:07:00,420,,3.79017,,0,298.277,402.869,78.6356,142.34
20240827 00:08:00,480,,2.8,,0.00383333,294.937,396.292,66.5689,66.5689
20240827 00:09:00,540,,,,0.00283333,309.769,411.149,40.746,40.9179
20240827 00:10:00,600,,3.07017,,0,313.698,412.568,78.8444,142.815
20240827 00:11:01,661,,3.17017,,0.00133333,314.324,410.369,45.4161,45.4161
20240827 00:12:00,720,,,,0.00133333,306.373,410.513,46.6736,46.6736
20240827 00:13:00,780,,2.92,,0.0123333,298.45,398.339,78.8865,81.6039
20240827 00:14:00,840,,3.09983,,0,302.064,409.557,79.3178,143.708
20240827 00:15:00,900,,3.39,,0,296.356,404.024,79.3178,143.708
20240827 00:16:00,960,,3.26983,,0.0195,297.798,408.08,75.6049,91.1522
20240827 00:17:00,1020,,2.76,,0,299.778,415.683,79.3643,144.009
20240827 00:18:00,1080,,,,0,294.583,408.434,79.3643,144.009
20240827 00:19:00,1140,,,,0,295.811,406.506,79.4116,144.313
20240827 00:20:00,1200,,,,0.00283333,300.129,415.059,45.303,48.1572
20240827 00:21:00,1260,,,,0.005,283.788,404.284,55.707,63.357
20240827 00:22:00,1320,,,,0,304.363,417.219,77.7479,117.373
20240827 00:23:00,1380,,,,0,304.068,406.855,77.7479,117.373
20240827 00:24:00,1440,,3.18,,0.0111667,294.283,408.726,56.6459,66.1598
20240827 00:25:00,1500,,,,0.006,295.939,412.259,78.4226,78.4226
20240827 00:26:01,1561,,,,0,293.885,422.607,77.7618,117.618
20240827 00:27:00,1620,,,,0,296.42,407.936,77.7958,117.858
20240827 00:28:00,1680,,2.29,,1.09483,300.654,411.415,282.935,501.508
20240827 00:29:00,1740,,,,0,300.025,407.376,77.3999,117.852
20240827 00:30:00,1800,,,,0.0258333,313.425,424.259,131.768,131.768
20240827 00:31:00,1860,,,,0.1085,302.137,414.952,109.853,209.161
20240827 00:32:00,1920,,2.6,,0.0178333,284.366,411.632,85.0219,101.595
20240827 00:33:00,1980,,,,0.003,292.577,411.839,61.332,61.332
20240827 00:34:00,2040,,,,0.0126667,285.707,409.937,103.052,103.052
20240827 00:35:00,2100,,,,0.0065,296.252,407.356,63.0528,63.1936
20240827 00:36:00,2160,,,,0.00266667,287.855,416.966,59.6796,59.6796
20240827 00:37:00,2220,,3.32017,,0.00116667,284.258,400.627,44.1925,44.1925
20240827 00:38:00,2280,,,,0,302.939,411.496,77.415,119.7
20240827 00:39:00,2340,,,,0,297.898,418.237,77.415,119.7
20240827 00:40:00,2400,,,,0.127,291.926,412.586,233.831,233.831
20240827 00:41:00,2460,,,,0,272.534,396.84,77.3067,120.021
20240827 00:42:00,2520,,,,0,290.078,415.522,77.3067,120.021
20240827 00:43:00,2580,,,,0.0413333,295.152,424.129,155.231,155.231
20240827 00:44:00,2640,,,,0,270.695,408.041,77.3067,120.021
20240827 00:45:00,2700,,,,0.00633333,268.701,407.682,61.1306,68.6861
20240827 00:46:00,2760,,4.86017,,0.177833,231.777,334.921,67.7114,115.047
20240827 00:47:00,2820,,6.44967,,0.160167,227.693,327.386,62.9449,84.9255
20240827 00:48:00,2880,,6.51,,0.207667,225.834,317.585,63.5367,101.488
20240827 00:49:00,2940,,5.78067,,0.7,233.026,326.525,70.1235,266.637
20240827 00:50:00,3000,,,,0.208,241.824,339.708,68.1307,148.255
20240827 00:51:00,3060,,4,,0.154,244.214,348.054,62.8058,115.782
20240827 00:52:00,3120,,4.6195,,0.142667,222.821,306.389,59.5341,72.5826
20240827 00:53:00,3180,,6.32,,0.422667,229.314,318.794,69.309,186.41
20240827 00:54:00,3240,,6.82017,,0.32,232.023,318.389,63.5098,125.574
20240827 00:55:00,3300,,9.01017,,0.376667,233.328,315.956,67.5159,88.616
20240827 00:56:00,3360,,6.15983,,0.316,239.738,326.797,68.5516,93.4849
20240827 00:57:00,3420,,8.26983,,1.981,241.674,332.476,68.6675,516.59
20240827 00:58:00,3480,,7.9505,,0.516,241.213,322.967,65.5087,166.339
20240827 00:59:00,3540,,7.46017,,0.5785,233.7,322.323,66.691,144.67
20240827 01:00:00,3600,,8.60033,,0.5565,232.957,317.849,66.8866,148.081
20240827 01:01:00,3660,,8.6805,,0.587167,241.959,340.687,67.5087,193.86
20240827 01:02:00,3720,,11.2397,,0.471167,237.401,317.825,64.9682,101.468
20240827 01:03:00,3780,,13.1693,,1.16883,241.936,314.993,70.7318,190.82
20240827 01:04:00,3840,,10.1592,,1.474,244.816,322.657,68.4591,294.834
20240827 01:05:00,3900,,8.26,,0.385167,237.531,322.052,62.5805,101.264
20240827 01:06:00,3960,,8.85,,0.4255,240.738,325.2,62.2476,91.8276
20240827 01:07:00,4020,,8.53967,,0.52,238.856,321.539,67.4012,114.113
20240827 01:08:00,4080,,9.25967,,0.8975,238.185,307.533,67.5708,120.161
20240827 01:09:00,4140,,6.62,,1.5475,238.461,305.717,74.001,202.469
20240827 01:10:00,4200,,6.84017,,0.6995,239.687,307.708,67.1919,146.161
20240827 01:11:00,4260,,10.5495,,0.807833,245.276,304.551,72.1281,149.408
20240827 01:12:00,4320,,13.6307,,0.7915,239.298,294.132,67.3056,117.645
20240827 01:13:00,4380,,10.7605,,0.582,236.414,303.782,62.718,114.687
20240827 01:14:00,4440,,9.26983,,0.553667,237.975,308.903,63.4238,109.974
20240827 01:15:00,4500,,10.1103,,0.612167,230.891,295.887,64.6805,119.98
20240827 01:16:00,4560,,10.49,,0.843167,252.489,334.803,68.1533,116.889
20240827 01:17:00,4620,,7.88967,,1.147,243.57,293.579,69.1938,132.971
20240827 01:18:00,4680,,8.62017,,0.922167,240.886,304.951,73.0523,161.537
20240827 01:19:00,4740,,8.4295,,0.677167,240.696,308.707,67.1979,134.357
20240827 01:20:00,4800,,8.71967,,0.580167,243.039,313.03,61.7345,100.32
20240827 01:21:00,4860,,8.67017,,0.4075,236.637,308.254,62.9047,82.6101
20240827 01:22:00,4920,,8.52934,,0.784333,235.752,314.082,66.5425,153.655
20240827 01:23:00,4980,,9.90983,,0.654833,231.876,302.991,65.7234,102.341
20240827 01:24:00,5040,,9.89017,,0.813,232.907,296.978,69.0259,126.796
