seconds,tamb,rh,ws,wd
60,2.038,99.4,1.354,299.2
60,2.039,99.5,1.33,289.6
60,2.02,99.5,1.344,301.1
60,1.95,99.4,1.321,294.9
60,1.892,99.4,1.457,302.6
60,1.895,99.4,1.544,298.8
60,1.943,99.5,1.403,300.2
60,1.932,99.5,1.259,305.8
60,1.857,99.4,1.155,311
60,1.842,99.4,1.222,302.9
60,2.085,99.6,1.331,300.1
60,1.887,99.5,1.328,295.1
60,1.903,99.4,1.243,297.1
60,1.977,99.5,1.305,278.8
60,1.904,99.4,1.297,267.8
60,2.096,99.5,1.112,255.8
60,2.07,99.5,1.039,265.3
60,2.069,99.5,1.138,274
60,1.985,99.5,1.016,256.6
60,2.067,99.5,0.9,274.4
60,1.978,99.4,1.024,265.9
60,1.993,99.4,0.792,254.2
60,2.019,99.5,0.856,251.4
60,1.945,99.4,1.055,256.8
60,2.12,99.5,0.871,256.7
60,1.938,99.4,0.995,256.7
60,2.022,99.5,1.24,267.7
60,1.932,99.4,1.104,271.3
60,2.034,99.4,0.905,248.8
60,2.018,99.5,0.91,250.7
60,1.946,99.4,0.694,237.5
60,2.075,99.5,0.905,246.5
60,2.084,99.5,0.745,239.5
60,1.992,99.4,0.671,239.1
60,2.012,99.5,0.577,239.1
60,2.04,99.5,0.394,239
60,2.021,99.5,0.225,239
60,2.03,99.5,0.232,239
60,2.03,99.5,0.031,239
60,2.119,99.6,0,239.1
60,2.08,99.4,0,239.3
60,2.069,99.5,0.139,254
60,2.037,99.4,0.33,273.9
60,2.031,99.4,0.315,274.3
60,2.068,99.5,0.1,274.4
60,2.128,99.5,0.008,274.4
60,2.116,99.5,0,274.3
60,2.034,99.4,0,274.3
60,2.113,99.5,0,274.4
60,2.023,99.5,0,274.3
60,2.039,99.4,0.129,303.4
60,2.081,99.5,0.635,305.3
60,2.085,99.5,0.477,298.7
60,2.134,99.5,0.284,288.8
60,2.209,99.6,0.038,288.8
60,2.113,99.5,0.044,288.7
60,2.037,99.4,0,288.8
60,2.1,99.5,0.044,288.9
60,2.038,99.4,0.136,289
60,2.123,99.5,0.217,325.5
60,2.106,99.5,0.335,340.5
60,2.119,99.5,0.299,341.4
60,2.115,99.5,0.098,348.2
60,2.03,99.5,0.336,348.3
60,2.039,99.4,0.276,348.3
60,2.023,99.4,0.074,348.2
60,2.126,99.5,0,348.3
60,2.098,99.5,0,348.2
60,2.023,99.4,0,348.3
60,2.115,99.5,0,348.4
60,2.111,99.5,0,348.4
60,2.114,99.5,0,348.5
60,2.039,99.4,0,348.7
60,2.126,99.5,0.356,26.47
60,2.024,99.5,0.552,34.77
60,2.084,99.4,0.581,30.53
60,2.149,99.5,0.627,37.68
60,2.072,99.5,0.787,30.6
60,2.085,99.4,0.777,44.68
60,2.071,99.4,0.897,49.18
60,2.075,99.5,0.897,61.18
60,2.164,99.5,0.947,74.82
60,2.071,99.4,0.861,73.04
60,2.262,99.6,0.836,73.58
60,2.125,99.5,0.771,70.82
60,2.023,99.4,0.826,74.61
60,2.035,99.4,0.768,70.51
60,2.032,99.4,0.66,71.26
60,2.032,99.6,0.603,74.83
60,2.1,99.6,0.575,77.21
60,2.119,99.5,0.59,77.07
60,1.98,99.6,0.524,77.28
60,2.074,99.4,0.477,85.4
60,2.057,99.5,0.562,85.5
60,2.046,99.5,0.467,85.5
60,1.992,99.4,0.466,85.6
60,1.978,99.4,0.441,85.6
60,1.992,99.4,0.448,104.1
60,1.987,99.4,0.474,104
60,1.978,99.5,0.441,104
60,2.074,99.5,0.448,99.9
60,1.981,99.4,0.513,99.8
60,1.984,99.5,0.546,99.8
60,2.039,99.4,0.493,90.8
60,2.074,99.5,0.541,97.1
60,2.082,99.4,0.537,83.7
60,2.215,99.5,0.627,83.2
60,2.115,99.5,0.683,83.3
60,2.129,99.4,0.771,85.5
60,2.12,99.4,0.696,87.8
60,2.116,99.5,0.791,90.6
60,2.217,99.5,1.014,90.9
60,2.196,99.5,1.065,95.9
60,2.119,99.5,1.088,91.9
60,2.27,99.6,1.148,99.1
60,2.255,99.6,1.285,104.8
60,2.12,99.5,1.312,97
60,2.13,99.4,1.243,102.4
60,2.238,99.5,1.521,110.5
60,2.293,99.5,1.552,108.6
60,2.358,99.5,2.105,113.9
60,2.338,99.5,2.053,120.8
60,2.337,99.5,2.076,129.8
60,2.268,99.5,1.816,120.8
60,2.297,99.5,1.606,121.4
60,2.392,99.5,1.21,112.1
60,2.39,99.5,1.218,109.8
60,2.301,99.4,1.281,121.9
60,2.3,99.5,1.243,124.6
60,2.498,99.6,1.486,112.8
60,2.301,99.4,1.921,126.3
60,2.357,99.5,2.899,133.9
60,2.311,99.4,3.005,140.6
60,2.395,99.5,3.025,128.5
60,2.383,99.5,2.76,147.6
60,2.491,99.5,2.842,140.8
60,2.312,99.3,3.378,143.8
60,2.297,99.3,3.121,131.5
60,2.302,99.3,3.482,140.9
60,2.407,99.3,4.082,166.7
60,2.388,99.2,4.237,146.9
60,2.375,99.2,3.786,131.7
60,2.39,99.1,3.835,134.6
60,2.431,99,3.724,146.1
60,2.388,99,3.443,135
60,2.583,98.9,4.113,157.1
60,2.405,98.7,4.176,145.1
60,2.575,98.6,4.41,147.4
60,2.391,98.1,4.32,144.6
60,2.54,97.9,5.014,153
60,2.497,97.4,5.027,150.3
60,2.663,97,5.047,144.2
60,2.625,96.1,4.737,145.4
60,2.673,95.1,5.076,146.5
60,2.574,94.5,5.147,136.3
60,2.623,94.1,4.743,155.2
60,2.585,93.6,4.779,128.7
60,2.671,93.7,5.142,145
60,2.57,93,5.295,152.3
60,2.624,93.1,5.009,137.9
60,2.586,92.7,4.911,143.3
60,2.651,92.6,5.063,150.5
60,2.649,92.7,4.717,156.4
60,2.663,92.9,4.591,149.7
60,2.616,92.1,5.299,137.1
60,2.525,92.1,5.096,160.9
60,2.533,92.1,4.722,153
60,2.618,92.1,4.185,144.8
60,2.527,91.6,5.127,166.5
60,2.605,91.5,4.727,156
60,2.64,91.6,5.132,131.1
60,2.623,91.5,4.892,157
60,2.664,91.5,5.25,179.5
60,2.588,91.4,5.284,149.4
60,2.582,91.3,5.222,151.3
60,2.478,91.1,5.455,168
60,2.489,91.1,5.687,156.3
60,2.583,91,5.204,145.6
60,2.484,90.9,5.849,145.8
60,2.532,90.9,5.383,132.6
60,2.449,91,5.517,160.7
60,2.471,90.6,6.012,146.5
60,2.438,90.4,6.092,148
60,2.547,90.9,5.05,136.9
60,2.532,90.9,5.083,145.5
60,2.435,90.7,5.78,150.6
60,2.449,90.8,5.444,146.3
60,2.393,90.7,5.622,155.3
60,2.388,90.6,4.831,146.8
60,2.403,90.2,5.557,185.3
60,2.487,90.1,5.339,147
60,2.388,89.9,5.235,158.7
60,2.402,89.5,5.547,174.3
60,2.523,89.2,5.731,130.3
60,2.433,89.2,5.336,185
60,2.445,89.2,5.362,152.9
60,2.534,89.5,5.341,155.7
60,2.523,88.9,5.646,184.1
60,2.444,88.7,5.382,167.9
60,2.536,88.8,5.356,150
60,2.528,89,4.684,162.5
60,2.439,89.6,4.964,141.4
60,2.529,89,5.753,172.8
60,2.483,88.6,5.16,174.2
60,2.559,88.4,4.475,156.7
60,2.495,88.9,4.426,148.3
60,2.484,88.6,5.754,148.9
60,2.571,88.7,5.119,166.5
60,2.494,88.8,4.533,165.7
60,2.58,89.3,3.922,171.6
60,2.568,89.2,4.947,183.5
60,2.588,88.9,4.328,162.5
60,2.495,88.5,5.13,162.6
60,2.526,88.3,5.258,176.6
60,2.574,88.6,4.624,161.4
60,2.541,89,4.88,157.9
60,2.521,88.1,5.671,174.1
60,2.515,88.4,4.546,159.9
60,2.539,88.4,4.142,185.6
60,2.436,89.1,3.642,180.2
60,2.477,89.3,3.08,174.8
60,2.49,89.5,2.215,200.7
60,2.481,90.5,2.486,207
60,2.402,91.4,2.262,214.4
60,2.388,91.6,2.125,222.7
60,2.26,91.5,2.336,260.2
60,2.347,91.8,2.076,205.9
60,2.266,91.6,1.477,238.8
