avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240624 20:09:01,72541,,87.8743,,2.80083,189.779,322.704,78.4861,321.64
20240624 20:10:01,72601,,84.7462,,1.84583,205.892,334.499,75.5733,210.417
20240624 20:11:01,72661,,81.9855,,1.36433,204.066,329.277,75.3353,187.928
20240624 20:12:01,72721,,,,1.58183,186.658,271.138,77.0714,179.378
20240624 20:13:01,72781,,,,1.45367,195.567,313.096,75.7678,257.273
20240624 20:14:01,72841,,83.1582,,0.529,211.452,350.537,66.7787,105.873
20240624 20:15:01,72901,,91.5725,,1.1615,213.377,355.153,72.6781,168.668
20240624 20:16:01,72961,,88.3413,,0.799333,208.649,342.679,72.844,121.724
20240624 20:17:01,73021,,86.7745,,1.266,203.874,340.368,74.931,223.38
20240624 20:18:01,73081,,81.841,,0.6715,219.848,362.296,71.2206,112.385
20240624 20:19:01,73141,,92.5592,,2.27667,227.719,371.884,77.1144,469.962
20240624 20:20:01,73201,,,,0.952833,210.237,347.461,72.975,154.403
20240624 20:21:01,73261,,69.061,,2.92733,210.977,353.702,80.0014,418.951
20240624 20:22:01,73321,,69.3918,,1.29517,215.985,357.326,73.3463,282.162
20240624 20:23:01,73381,,72.2103,,1.08333,224.977,370.693,72.0496,145.989
20240624 20:24:01,73441,,74.9265,,0.748667,214.871,357.451,71.5155,128.321
20240624 20:25:01,73501,,77.9837,,0.578667,226.257,371.481,67.9819,124.624
20240624 20:26:01,73561,,74.6998,,0.528667,216.478,361.36,65.5538,123.836
20240624 20:27:01,73621,,98.2168,,0.938167,235.775,384.251,72.0445,134.442
20240624 20:28:01,73681,,,,0.982333,203.012,341.095,75.3997,130.813
20240624 20:29:01,73741,,87.815,,0.633333,216.268,364.087,65.9651,99.8746
20240624 20:30:01,73801,,80.9387,,0.936667,197.227,350.523,72.8097,164.405
20240624 20:31:01,73861,,,,0.707333,214.495,354.328,70.0453,120.04
