seconds,tamb,rh,ws,wd
60,4.228,80.3,1.393,244.7
60,4.316,80.4,1.266,269
60,4.362,79.94,1.436,276.8
60,4.365,79.23,1.282,284.4
60,4.46,79.43,1.235,276.3
60,4.448,79.84,1.607,273.4
60,4.462,79.93,2.156,288.5
60,4.506,79.7,2.298,270.7
60,4.417,79.91,2.086,260.8
60,4.435,79.9,2.587,270.3
60,4.422,80.1,2.551,273.1
60,4.283,80.1,2.834,267.9
60,4.318,80,2.618,249.6
60,4.209,80.3,2.659,260
60,4.162,80.5,2.898,265.9
60,4.151,81.1,2.458,261.8
60,4.146,80.8,2.564,252.5
60,4.047,81,2.19,260.2
60,4.23,80.6,2.416,251.3
60,4.05,80.6,2.249,265.2
60,4.003,80.9,3.033,241.4
60,4.058,81.5,2.804,260.5
60,3.967,81.1,2.87,251.1
60,3.973,81.5,2.501,255.6
60,3.99,81.2,2.535,250.5
60,3.913,81.3,2.577,254.3
60,4,81.3,2.767,266.1
60,3.917,81.3,2.723,266.4
60,3.951,81.1,3.095,256.4
60,3.908,81.1,2.979,260.2
60,3.918,81.7,2.46,269
60,4.011,81.1,2.793,271.4
60,4.002,80.9,3.121,275.1
60,4.075,81,2.902,274.1
60,4,80.9,2.617,277.8
60,4.012,81,2.721,286.4
60,4.151,80.8,3.206,274
60,4.05,80.4,3.255,277.9
60,4.133,80.8,3.087,278.2
60,4.042,80.5,3.309,268.2
60,4.004,80.7,3.16,271.6
60,4.012,80.6,3.113,271.2
60,4.062,80.8,3.066,270.3
60,4.001,80.7,2.87,269.8
60,3.996,80.9,2.772,260.4
60,4.142,80.9,2.947,270.9
60,3.919,81,3.123,263.9
60,3.919,81.1,2.981,266
60,3.864,81.1,3.141,259.5
60,3.862,81.7,2.644,276.4
60,3.784,81.5,2.867,273.6
60,3.916,81.6,2.636,265.6
60,4.045,81,2.817,262.8
60,3.962,80.8,2.535,269.8
60,3.918,81,2.254,256.7
60,3.912,81,2.579,273.2
60,3.858,80.8,2.737,269.8
60,3.868,81,2.278,258.2
60,4.061,81,2.558,251.5
60,3.994,80.7,2.37,259
60,3.951,80.5,2.261,249.8
60,4.006,80.5,2.782,266.4
60,3.973,80.6,2.365,254.5
60,3.915,80.7,2.594,257.7
60,3.903,80.5,2.347,249.9
60,4.006,80.6,2.118,258.2
60,3.956,80.7,1.593,273.2
60,4,80.9,2.011,265
60,3.953,80.4,2.308,254.9
60,3.961,80.2,2.283,248.7
60,4.059,80.4,2.177,251.9
60,4.004,79.92,1.875,244.5
60,3.995,79.9,2.39,274.9
60,4.091,80.2,2.355,264.5
60,4.006,79.77,2.342,264.4
60,4.092,79.72,2.231,263.1
60,4.151,80.2,1.637,248.9
60,4.097,80.3,2.061,258.8
60,4.122,80,2.022,258.9
60,4.041,79.71,1.749,251.5
60,4.046,79.71,1.873,260.3
60,4.145,79.87,1.846,264.1
60,4.147,79.67,1.976,267
60,4.194,79.38,2.277,270.2
60,4.176,79.33,1.921,268.9
60,4.09,79.41,1.684,252.8
60,4.188,79.69,1.519,233.2
60,4.179,79.65,1.343,251.1
60,4.126,79.36,1.271,256.4
60,4.185,79.38,0.892,238.8
60,4.138,79.73,0.869,206.3
60,4.057,80.5,0.72,210.7
60,4.136,80.3,0.877,207.1
60,4.056,79.73,0.809,199.8
60,4.151,79.9,0.658,207.7
60,4.142,79.7,0.614,218.1
60,4.198,79.38,0.559,229.7
60,4.185,79.11,0.614,207.7
60,4.277,79.01,0.611,212.7
60,4.36,78.92,0.722,213.9
60,4.316,79.52,0.454,220.1
60,4.363,78.52,0.523,241.9
60,4.504,78.16,0.425,247
60,4.542,78.07,0.157,247.2
60,4.699,77.95,0,247
60,4.641,77.45,0,247
60,4.606,77.15,0,247
60,4.651,77.57,0,246.9
60,4.733,76.84,0.108,153.1
60,4.653,76.63,0.137,154.8
60,4.654,77.37,0.302,77.83
60,4.571,79.11,0.43,92.9
60,4.425,79.94,0.459,84
60,4.386,80.6,0.995,80
60,4.197,81.4,1.563,71.87
60,4.102,81.9,1.852,70.66
60,4.027,82.5,1.793,63.04
60,3.87,82.9,1.927,64.18
60,3.776,83.1,1.939,63.72
60,3.765,84.1,1.642,63.03
60,3.699,84.3,1.909,71.49
60,3.603,84.2,1.557,50.94
60,3.637,84.9,1.664,71.6
60,3.55,84.8,1.72,69.84
60,3.496,84.9,1.981,79.09
60,3.532,85.2,1.756,71.28
60,3.464,85.1,1.751,82.6
60,3.65,85.5,1.446,83.8
60,3.451,85,1.576,73.28
60,3.453,85,1.609,67.15
60,3.562,85.2,1.537,77.36
60,3.505,85,1.516,70.98
60,3.546,85,1.264,73.34
60,3.499,84.9,1.029,74.42
60,3.508,85,0.857,79.33
60,3.509,84.9,1.014,60.11
60,3.502,85.2,1.062,47.16
60,3.496,84.8,1.176,47.63
60,3.496,84.7,0.804,37.08
60,3.593,84.8,0.72,49.15
60,3.601,85,0.773,63
60,3.555,84.7,1.067,65.8
60,3.638,84.7,1.085,75.29
60,3.557,84.6,1.003,66.38
60,3.556,84.6,0.936,59.02
60,3.555,84.7,0.831,67.45
60,3.596,85,0.693,81
60,3.552,84.7,0.748,59.03
60,3.593,85.3,0.706,56.72
60,3.501,85.2,0.472,69.64
60,3.625,84.9,0.372,69.62
60,3.545,85,0.431,69.66
60,3.646,84.8,0.423,69.61
60,3.599,84.4,0.173,84
60,3.672,84.4,0.258,67.73
