avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240807 00:01:01,61,,39.6983,,1.31,235.13,370.489,85.7681,164.468
20240807 00:02:01,121,,42.1503,,1.05783,228.885,367.107,75.8889,153.538
20240807 00:03:01,181,,42.4673,,0.744667,231.489,368.426,71.8507,126.269
20240807 00:04:01,241,,42.471,,1.272,229.406,365.444,78.208,157.463
20240807 00:05:01,301,,42.3598,,1.119,233.519,372.841,77.563,153.198
20240807 00:06:01,361,,49.1077,,0.711833,225.079,369.232,71.8486,109.575
20240807 00:07:01,421,,41.3073,,2.33333,236.467,377.075,81.5887,407.672
20240807 00:08:01,481,,37.7715,,0.999,235.357,372.854,75.9729,143.097
20240807 00:09:01,541,,36.8702,,1.01667,239.601,373.375,76.9178,132.445
20240807 00:10:01,601,,35.797,,1.58217,238.953,374.118,77.954,191.883
20240807 00:11:01,661,,40.7162,,1.39467,236.072,374.175,76.9981,212.855
20240807 00:12:01,721,,42.039,,0.922167,232.575,370.645,78.8574,130.565
20240807 00:13:01,781,,43.3372,,1.72483,230.297,367.128,85.3813,217.649
20240807 00:14:01,841,,44.617,,0.844333,234.396,374.469,73.1612,116.192
20240807 00:15:01,901,,43.8078,,1.84983,227.819,364.461,80.1217,256.009
20240807 00:16:01,961,,45.6595,,1.32733,232.551,369.759,84.5238,234.429
20240807 00:17:01,1021,,42.1498,,0.594833,234.225,371.304,69.9034,106.937
20240807 00:18:01,1081,,49.2438,,1.3895,217.292,370.307,79.7991,200.331
20240807 00:19:01,1141,,42.5393,,0.846833,230.538,366.176,75.8726,123.142
20240807 00:20:01,1201,,42.1602,,2.0005,237.327,378.135,86.1488,334.261
20240807 00:21:01,1261,,41.6003,,0.9895,231.044,367.713,81.1291,152.02
20240807 00:22:01,1321,,41.9603,,1.25167,238.925,373.639,77.9872,226.444
20240807 00:23:01,1381,,40.2578,,1.38583,238.561,377.662,78.9287,260.118
20240807 00:24:01,1441,,41.1485,,1.21717,236.464,372.064,86.8489,137.504
20240807 00:25:01,1501,,39.9178,,0.814333,237.549,374.197,77.6085,131.476
20240807 00:26:01,1561,,40.2917,,0.817333,236.947,370.599,74.7335,160.589
20240807 00:27:01,1621,,41.4188,,0.794833,243.178,381.002,71.4116,151.603
