avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240627 01:17:00,4620,,58.9303,,1.64317,244.995,336.419,75.6894,220.998
20240627 01:18:00,4680,,,,1.26217,246.526,340.336,70.9189,208.021
20240627 01:19:00,4740,,58.95,,0.949667,245.667,340.264,68.428,155.504
20240627 01:20:00,4800,,66.8288,,2.08567,242.657,331.404,74.2871,270.258
20240627 01:21:00,4860,,56.3722,,1.20483,244.663,335.235,73.3012,131.004
20240627 01:22:00,4920,,64.4138,,1.561,251.511,351.319,71.1976,194.498
20240627 01:23:00,4980,,64.9848,,1.32183,246.87,337.503,71.7359,134.885
20240627 01:24:00,5040,,66.089,,1.25333,240.935,318.936,72.2878,132.49
20240627 01:25:00,5100,,58.2292,,1.195,231.797,300.7,73.2133,214.703
20240627 01:26:00,5160,,62.9182,,1.36783,238.268,323.162,76.1045,190.515
20240627 01:27:00,5220,,68.4707,,0.783833,239.914,325.937,70.0286,140.691
20240627 01:28:00,5280,,65.7678,,0.963333,233.302,313.669,69.3704,174.4
20240627 01:29:00,5340,,62.1287,,1.37433,236.608,318.569,71.4957,197.791
20240627 01:30:00,5400,,66.5803,,1.0625,246.215,342.744,69.587,223.239
20240627 01:31:00,5460,,62.9347,,0.940333,242.41,333.227,70.958,204.736
20240627 01:32:00,5520,,60.2188,,0.815333,232.204,313.609,72.7214,126.704
20240627 01:33:00,5580,,65.1253,,1.1175,230.347,306.244,71.4393,153.367
20240627 01:34:00,5640,,70.9963,,2.2745,238.646,331.117,78.2076,334.714
20240627 01:35:00,5700,,63.1797,,1.51817,228.723,306.131,72.8089,246.133
20240627 01:36:00,5760,,56.7347,,2.11417,230.64,309.662,75.6969,354.499
20240627 01:37:00,5820,,68.3528,,0.719167,247.839,343.564,69.7009,121.482
20240627 01:38:00,5880,,,,3.181,243.16,332.78,75.6661,420.259
20240627 01:39:00,5940,,70.4008,,5.06967,246.125,339.806,87.6671,468.559
20240627 01:40:00,6000,,79.2188,,1.164,250.245,346.9,72.6209,135.77
20240627 01:41:00,6060,,,,1.54317,231.477,302.552,78.5869,168.038
20240627 01:42:00,6120,,58.3142,,1.31933,223.253,278.231,74.103,169.061
20240627 01:43:00,6180,,,,1.008,237.963,332.093,71.6354,141.572
20240627 01:44:00,6240,,68.4817,,1.298,244.852,345.374,70.9106,226.535
20240627 01:45:00,6300,,63.6478,,0.7005,239.335,324.909,66.4834,115.266
20240627 01:46:00,6360,,53.1477,,0.934833,234.689,305.028,70.3916,145.799
20240627 01:47:00,6420,,56.4883,,2.6335,232.247,299.618,76.7024,361.091
20240627 01:48:00,6480,,71.7103,,1.42217,232.793,314.742,70.6332,162.207
20240627 01:49:00,6540,,79.2137,,0.638,250.543,347.271,67.9171,103.964
20240627 01:50:00,6600,,66.375,,2.15483,232.102,305.928,74.7169,276.678
20240627 01:51:00,6660,,69.1293,,1.50517,229.203,293.23,74.4242,207.874
20240627 01:52:00,6720,,71.0538,,2.74417,233.198,304.66,75.7505,423.088
